date,mean,Ward_No
8/12/2018,-0.302541284,90
8/12/2018,-0.510477662,117
8/12/2018,-0.457470507,118
8/12/2018,-0.457551309,127
8/12/2018,-0.509024962,121
8/12/2018,-0.503883251,123
8/12/2018,-0.50637553,122
8/12/2018,-0.393872023,119
8/12/2018,-0.399184922,135
8/12/2018,-0.421001681,134
8/12/2018,-0.41090813,131
8/12/2018,-0.510340144,115
8/12/2018,-0.408212306,138
8/12/2018,-0.391397692,142
8/12/2018,-0.393828907,141
8/12/2018,-0.393872023,137
8/12/2018,-0.393872023,140
8/12/2018,-0.346950145,23
8/12/2018,-0.350038142,19
8/12/2018,-0.35334909,38
8/12/2018,-0.336855673,27
8/12/2018,-0.348935437,24
8/12/2018,-0.343313155,29
8/12/2018,-0.35334909,37
8/12/2018,-0.35334909,37
8/12/2018,-0.35334909,39
8/12/2018,-0.305119325,75
8/12/2018,-0.303080928,77
8/12/2018,-0.35334909,34
8/12/2018,-0.302447468,83
8/12/2018,-0.302447468,80
8/12/2018,-0.384018937,58
8/12/2018,-0.381327331,57
8/12/2018,-0.37670536,56
8/12/2018,-0.307995398,147
8/12/2018,-0.350791467,148
8/12/2018,-0.480005042,100
8/12/2018,-0.389057218,149
8/12/2018,-0.503352424,126
8/12/2018,-0.50378561,124
8/12/2018,-0.444861776,128
8/12/2018,-0.50901398,114
8/12/2018,-0.503802135,108
8/12/2018,-0.434310168,120
8/12/2018,-0.411885972,136
8/12/2018,-0.397198576,139
8/12/2018,-0.35334909,40
8/12/2018,-0.35334909,36
8/12/2018,-0.349460512,20
8/12/2018,-0.322973386,21
8/12/2018,-0.307675383,76
8/12/2018,-0.32028668,63
8/12/2018,-0.319168742,73
8/12/2018,-0.302447468,84
8/12/2018,-0.302447468,81
8/12/2018,-0.381207114,55
8/12/2018,-0.377151704,53
8/12/2018,-0.401876653,59
8/12/2018,-0.505176585,110
8/12/2018,-0.500853169,106
8/12/2018,-0.510477662,116
8/12/2018,-0.378645525,150
