date,mean,Ward_No
8/12/2018,0.539949246,48
8/12/2018,0.866121861,47
8/12/2018,0.535049832,46
8/12/2018,0.913002328,45
8/12/2018,0.923804517,44
8/12/2018,0.768250623,43
8/12/2018,0.690868035,42
8/12/2018,0.553508557,41
8/12/2018,0.633543567,40
8/12/2018,0.814666982,39
8/12/2018,0.850504791,38
8/12/2018,0.930500461,37
8/12/2018,0.929975507,36
8/12/2018,0.703910837,35
8/12/2018,0.475955713,34
8/12/2018,0.446669606,33
8/12/2018,0.462316704,32
8/12/2018,0.463745598,31
8/12/2018,0.659379494,30
8/12/2018,0.930753887,29
8/12/2018,0.930753887,28
8/12/2018,0.846784191,27
8/12/2018,0.710334588,26
8/12/2018,0.703252266,25
8/12/2018,0.384829378,24
8/12/2018,0.747890162,23
8/12/2018,0.784099556,22
8/12/2018,0.930753887,21
8/12/2018,0.44243436,20
8/12/2018,0.513517558,19
8/12/2018,0.61441374,18
8/12/2018,0.959477951,17
8/12/2018,0.95986126,16
8/12/2018,0.891552358,15
8/12/2018,0.845805374,14
8/12/2018,0.819208362,13
8/12/2018,0.536133968,12
8/12/2018,0.778515489,11
8/12/2018,0.977993653,10
8/12/2018,0.860006309,9
8/12/2018,0.716951625,8
8/12/2018,0.832042545,7
8/12/2018,0.990242392,6
8/12/2018,0.989598934,5
8/12/2018,0.955230553,4
8/12/2018,0.55999765,3
8/12/2018,0.501842986,2
8/12/2018,0.576076714,1
8/13/2018,0.894670863,48
8/13/2018,1.148303638,47
8/13/2018,0.873385842,46
8/13/2018,1.445328099,45
8/13/2018,1.28306358,44
8/13/2018,1.058819072,43
8/13/2018,1.097914101,42
8/13/2018,0.753818898,41
8/13/2018,1.231064539,40
8/13/2018,1.345504822,39
8/13/2018,1.516665796,38
8/13/2018,1.531328552,37
8/13/2018,1.550400638,36
8/13/2018,1.3562559,35
8/13/2018,0.358106823,34
8/13/2018,0.584235583,33
8/13/2018,1.151393333,32
8/13/2018,1.483747425,31
8/13/2018,1.79308236,30
8/13/2018,1.73213829,29
8/13/2018,1.720058743,28
8/13/2018,1.482741784,27
8/13/2018,1.443258306,26
8/13/2018,1.33272534,25
8/13/2018,1.384465448,24
8/13/2018,1.260404842,23
8/13/2018,1.455959942,22
8/13/2018,1.725781918,21
8/13/2018,1.025042047,20
8/13/2018,1.101825692,19
8/13/2018,1.759402478,18
8/13/2018,1.725733835,17
8/13/2018,1.628144257,16
8/13/2018,1.472857968,15
8/13/2018,1.366099367,14
8/13/2018,1.334759498,13
8/13/2018,1.505412074,12
8/13/2018,1.447929304,11
