date,mean,Ward_No
7/14/2018,-1.231655697,18
7/14/2018,-1.233831314,17
7/14/2018,-1.237039024,16
7/14/2018,-1.238290572,15
7/14/2018,-1.200876062,14
7/14/2018,-1.186020359,13
7/14/2018,-1.195635738,12
7/14/2018,-1.248704709,11
7/14/2018,-1.19470803,10
7/14/2018,-1.176671089,09
7/14/2018,-1.18262122,08
7/14/2018,-1.173887702,07
7/14/2018,-1.17601452,06
7/14/2018,-1.173912406,05
7/14/2018,-1.187608547,04
7/14/2018,-1.196075695,03
7/14/2018,-1.242911074,02
7/14/2018,-1.232049923,01
7/15/2018,-1.082557581,48
7/15/2018,-1.254227108,47
7/15/2018,-1.21513705,46
7/15/2018,-1.367326381,45
7/15/2018,-1.15791639,44
7/15/2018,-1.127709642,43
7/15/2018,-1.175568266,42
7/15/2018,-1.188167795,41
7/15/2018,-1.28377358,40
7/15/2018,-1.174536139,39
7/15/2018,-1.126539786,38
7/15/2018,-1.116763877,37
7/15/2018,-1.138454117,36
7/15/2018,-1.221049263,35
7/15/2018,-0.972150918,34
7/15/2018,-0.827430973,33
7/15/2018,-0.723295398,32
7/15/2018,-0.951959811,31
7/15/2018,-0.949297235,30
7/15/2018,-1.011993977,29
7/15/2018,-1.013477159,28
7/15/2018,-1.012671639,27
7/15/2018,-1.038059889,26
7/15/2018,-1.160499377,25
7/15/2018,-1.113378557,24
7/15/2018,-1.01919098,23
7/15/2018,-1.011364347,22
7/15/2018,-1.011764219,21
7/15/2018,-0.833964341,20
7/15/2018,-0.839816884,19
7/15/2018,-1.009533625,18
7/15/2018,-1.011762576,17
7/15/2018,-0.985336449,16
7/15/2018,-0.998424898,15
7/15/2018,-0.977033516,14
7/15/2018,-1.003040487,13
7/15/2018,-0.921759714,12
7/15/2018,-0.920499254,11
7/15/2018,-0.974156219,10
7/15/2018,-0.893148019,09
7/15/2018,-0.775732211,08
7/15/2018,-0.752880193,07
7/15/2018,-0.818221932,06
7/15/2018,-0.746497907,05
7/15/2018,-0.774727084,04
7/15/2018,-0.747277676,03
7/15/2018,-0.725010582,02
7/15/2018,-0.731827439,01
7/16/2018,-0.447099792,48
7/16/2018,-0.347995536,47
7/16/2018,-0.304287271,46
7/16/2018,-0.460243712,45
7/16/2018,-0.501010299,44
7/16/2018,-0.501010299,43
7/16/2018,-0.498996623,42
7/16/2018,-0.49685588,41
7/16/2018,-0.496530038,40
7/16/2018,-0.500931028,39
7/16/2018,-0.500914574,38
7/16/2018,-0.501010299,37
7/16/2018,-0.501010299,36
7/16/2018,-0.484096675,35
7/16/2018,-0.348571853,34
7/16/2018,-0.521908614,33
7/16/2018,-0.500061989,32
7/16/2018,-0.500062248,31
7/16/2018,-0.500390326,30
7/16/2018,-0.501090009,29
7/16/2018,-0.501010299,28
7/16/2018,-0.501668468,27
7/16/2018,-0.500124109,26
7/16/2018,-0.495222558,25
7/16/2018,-0.472356581,24
7/16/2018,-0.464410164,23
7/16/2018,-0.50496259,22
7/16/2018,-0.503828129,21
7/16/2018,-0.513548985,20
7/16/2018,-0.479004456,19
7/16/2018,-0.492314163,18
7/16/2018,-0.521230027,17
7/16/2018,-0.521154819,16
7/16/2018,-0.521769737,15
7/16/2018,-0.472133375,14
7/16/2018,-0.465148221,13
7/16/2018,-0.458218718,12
7/16/2018,-0.470111897,11
7/16/2018,-0.521957182,10
7/16/2018,-0.474550053,09
7/16/2018,-0.443796284,08
7/16/2018,-0.466475778,07
7/16/2018,-0.522788026,06
7/16/2018,-0.512749758,05
7/16/2018,-0.502103175,04
7/16/2018,-0.441699616,03
7/16/2018,-0.470421407,02
7/16/2018,-0.52795389,01
7/17/2018,-0.724867299,48
7/17/2018,-0.467295472,47
7/17/2018,-0.292715593,46
7/17/2018,-0.346088761,45
7/17/2018,-0.450296386,44
7/17/2018,-0.554713907,43
7/17/2018,-0.888590608,42
7/17/2018,-0.894710917,41
7/17/2018,-0.683117055,40
7/17/2018,-0.716688319,39
7/17/2018,-0.792516466,38
7/17/2018,-0.475666052,37
7/17/2018,-0.364699164,36
7/17/2018,-0.246078367,35
7/17/2018,-0.485284375,34
7/17/2018,-0.682346134,33
7/17/2018,-0.728671099,32
7/17/2018,-0.425574072,31
7/17/2018,-0.452178665,30
7/17/2018,-0.572574398,29
7/17/2018,-0.776365074,28
