WARD_NO,date,Temperature_Mean
166,1/1/2001,297.0934143
167,1/1/2001,297.0934143
180,1/1/2001,297.0934143
181,1/1/2001,297.0934143
182,1/1/2001,297.0934143
146,1/1/2001,297.0934143
147,1/1/2001,297.0934143
148,1/1/2001,297.0934143
151,1/1/2001,297.0934143
152,1/1/2001,297.0934143
178,1/1/2001,297.0934143
173,1/1/2001,297.0934143
176,1/1/2001,297.0934143
2,4/1/2001,298.5455627
3,4/1/2001,298.5455627
4,4/1/2001,298.5455627
51,4/1/2001,298.5437804
53,4/1/2001,298.5453441
54,4/1/2001,298.5377642
55,4/1/2001,298.5302626
56,4/1/2001,298.5036511
81,4/1/2001,298.5021973
87,4/1/2001,298.5021973
10,4/1/2001,298.5455627
11,4/1/2001,298.5455627
5,4/1/2001,298.5455627
6,4/1/2001,298.5455627
7,4/1/2001,298.5455627
8,4/1/2001,298.5455627
9,4/1/2001,298.5455627
130,4/1/2001,298.7144694
159,4/1/2001,298.7144775
40,4/1/2001,298.7859417
72,4/1/2001,298.7160453
16,4/1/2001,298.5455627
160,4/1/2001,298.5021973
17,4/1/2001,298.5455627
37,4/1/2001,298.5455627
38,4/1/2001,298.5455627
42,4/1/2001,298.5455627
69,4/1/2001,298.545529
73,4/1/2001,298.5039539
12,4/1/2001,298.5467859
13,4/1/2001,298.5455627
14,4/1/2001,298.6750773
15,4/1/2001,298.5455627
39,4/1/2001,298.6019098
41,4/1/2001,298.5808381
70,4/1/2001,298.5411281
71,4/1/2001,298.615499
102,4/1/2001,298.5021973
43,4/1/2001,298.5455627
44,4/1/2001,298.5455627
67,4/1/2001,298.5383619
68,4/1/2001,298.5455627
74,4/1/2001,298.5021973
75,4/1/2001,298.5234886
35,4/1/2001,298.5425299
36,4/1/2001,298.5455627
45,4/1/2001,298.5455627
64,4/1/2001,298.5345402
65,4/1/2001,298.5353418
66,4/1/2001,298.5455627
76,4/1/2001,298.5097303
18,4/1/2001,298.5455627
19,4/1/2001,298.5455627
20,4/1/2001,298.5455627
21,4/1/2001,298.5455627
22,4/1/2001,298.5455627
