WARD_NAME,WARD_NO,date,mean
HBR Layout,24,2001-01-01,4.90E-08
Banasavadi,27,2001-01-01,4.90E-08
Kammanahalli,28,2001-01-01,4.90E-08
Kacharkanahalli,29,2001-01-01,4.90E-08
Kadugondanahalli,30,2001-01-01,4.90E-08
Lingarajapura,49,2001-01-01,4.90E-08
Maruthi Seva Nagar,59,2001-01-01,3.22E-07
Konena Agrahara,113,2001-01-01,5.73E-07
Benniganahalli,50,2001-01-01,3.22E-07
C V Raman Nagar,57,2001-01-01,5.73E-07
New Tippasandara,58,2001-01-01,5.73E-07
Sarvagna Nagar,79,2001-01-01,5.73E-07
Hoysala Nagar,80,2001-01-01,5.73E-07
Jeevanbhima Nagar,88,2001-01-01,5.73E-07
Sampangiram Nagar,110,2001-01-01,5.73E-07
Ramaswamy Palya,62,2001-01-01,4.90E-08
Jayamahal,63,2001-01-01,4.85E-07
Halsoor,90,2001-01-01,5.73E-07
Bharathi Nagar,91,2001-01-01,5.73E-07
Shivaji Nagar,92,2001-01-01,5.73E-07
Vasanth Nagar,93,2001-01-01,5.73E-07
Shantala Nagar,111,2001-01-01,5.73E-07
Domlur,112,2001-01-01,5.73E-07
Agaram,114,2001-01-01,5.73E-07
Vannarpet,115,2001-01-01,5.73E-07
Nilasandra,116,2001-01-01,5.73E-07
Shanthi Nagar,117,2001-01-01,5.73E-07
Jogupalya,89,2001-01-01,5.73E-07
Chickpete,109,2001-01-01,5.73E-07
Cottonpete,120,2001-01-01,5.73E-07
Binnipete,121,2001-01-01,5.73E-07
Dattatreya Temple,77,2001-01-01,5.28E-07
Gandhinagar,94,2001-01-01,5.73E-07
Subhash Nagar,95,2001-01-01,5.73E-07
Okalipuram,96,2001-01-01,5.73E-07
Basaveshwara Nagar,100,2001-01-01,5.73E-07
Kamakshipalya,101,2001-01-01,5.73E-07
Shivanagara,107,2001-01-01,5.73E-07
Sriramamandir,108,2001-01-01,5.73E-07
Dayananda Nagar,97,2001-01-01,5.73E-07
Prakash Nagar,98,2001-01-01,5.73E-07
Rajaji Nagar,99,2001-01-01,5.73E-07
Kaveripura,103,2001-01-01,5.73E-07
Govindaraja Nagar,104,2001-01-01,5.73E-07
Agrahara Dasarahalli,105,2001-01-01,5.73E-07
Dr. Raj Kumar Ward,106,2001-01-01,5.73E-07
Marenahalli,125,2001-01-01,5.73E-07
Maruthi Mandir ward,126,2001-01-01,5.73E-07
Mudalapalya,127,2001-01-01,5.73E-07
Nagarabhavi,128,2001-01-01,5.73E-07
Nayandahalli,131,2001-01-01,5.73E-07
Kempapura Agrahara,122,2001-01-01,5.73E-07
Vijayanagar,123,2001-01-01,5.73E-07
Hosahalli,124,2001-01-01,5.73E-07
Attiguppe,132,2001-01-01,5.73E-07
Hampi Nagar,133,2001-01-01,5.73E-07
Bapuji Nagar,134,2001-01-01,5.73E-07
Gali Anjenaya Temple ward,157,2001-01-01,5.73E-07
Deepanjali Nagar,158,2001-01-01,5.73E-07
Padarayanapura,135,2001-01-01,5.73E-07
Jagajivanaramnagar,136,2001-01-01,5.73E-07
Rayapuram,137,2001-01-01,5.73E-07
Chalavadipalya,138,2001-01-01,5.73E-07
K R Market,139,2001-01-01,5.73E-07
Chamrajapet,140,2001-01-01,5.73E-07
Azad Nagar,141,2001-01-01,5.73E-07
Sudham Nagara,118,2001-01-01,5.73E-07
Dharmaraya Swamy Temple,119,2001-01-01,5.73E-07
Sunkenahalli,142,2001-01-01,5.73E-07
Vishveshwara Puram,143,2001-01-01,5.73E-07
Siddapura,144,2001-01-01,5.73E-07
Hombegowda Nagara,145,2001-01-01,5.73E-07
Jayanagar,153,2001-01-01,5.73E-07
Hanumanth Nagar,155,2001-01-01,5.73E-07
Srinagar,156,2001-01-01,5.73E-07
Basavanagudi,154,2001-01-01,5.73E-07
Girinagar,162,2001-01-01,5.73E-07
Katriguppe,163,2001-01-01,5.73E-07
Vidyapeeta ward,164,2001-01-01,5.73E-07
Hosakerehalli,161,2001-01-01,5.73E-07
Ganesh Mandir ward,165,2001-01-01,5.73E-07
Karisandra,166,2001-01-01,5.73E-07
Yediyur,167,2001-01-01,5.73E-07
Banashankari Temple ward,180,2001-01-01,5.73E-07
Kumaraswamy Layout,181,2001-01-01,5.73E-07
Padmanabha Nagar,182,2001-01-01,5.73E-07
Lakkasandra,146,2001-01-01,5.73E-07
Adugodi,147,2001-01-01,5.73E-07
Ejipura,148,2001-01-01,5.73E-07
Koramangala,151,2001-01-01,5.73E-07
Suddagunte Palya,152,2001-01-01,5.73E-07
Sarakki,178,2001-01-01,5.73E-07
Jakkasandra,173,2001-01-01,5.73E-07
BTM Layout,176,2001-01-01,5.73E-07
Chowdeswari Ward,2,2001-01-01,4.90E-08
Atturu,3,2001-01-01,4.90E-08
Yelahanka Satellite Town,4,2001-01-01,4.90E-08
Vijnanapura,51,2001-01-01,7.05E-08
Basavanapura,53,2001-01-01,5.16E-08
Hudi,54,2001-01-01,1.78E-07
Devasandra,55,2001-01-01,2.34E-07
A Narayanapura,56,2001-01-01,5.55E-07
Vijnana Nagar,81,2001-01-01,5.73E-07
HAL Airport,87,2001-01-01,5.73E-07
Dodda Bommasandra,10,2001-01-01,4.90E-08
Kuvempu Nagar,11,2001-01-01,4.90E-08
Jakkuru,5,2001-01-01,4.90E-08
Thanisandra,6,2001-01-01,4.90E-08
Byatarayanapura,7,2001-01-01,4.90E-08
Kodigehalli,8,2001-01-01,4.90E-08
Vidyaranyapura,9,2001-01-01,4.90E-08
Ullalu,130,2001-01-01,4.66E-07
Kengeri,159,2001-01-01,4.66E-07
Dodda Bidarakallu,40,2001-01-01,1.38E-07
Herohalli,72,2001-01-01,4.57E-07
Jalahalli,16,2001-01-01,4.90E-08
Rajarajeshwari Nagar,160,2001-01-01,5.73E-07
J P Park,17,2001-01-01,4.90E-08
Yeshwanthpura,37,2001-01-01,4.90E-08
HMT Ward,38,2001-01-01,4.90E-08
Lakshmi Devi Nagar,42,2001-01-01,4.90E-08
Laggere,69,2001-01-01,4.94E-08
Kottegepalya,73,2001-01-01,5.52E-07
Shettihalli,12,2001-01-01,4.92E-08
Mallasandra,13,2001-01-01,4.90E-08
Bagalakunte,14,2001-01-01,6.63E-08
T Dasarahalli,15,2001-01-01,4.90E-08
Chokkasandra,39,2001-01-01,5.65E-08
Peenya Industrial Area,41,2001-01-01,5.37E-08
Rajagopal Nagar,70,2001-01-01,1.03E-07
Hegganahalli,71,2001-01-01,2.42E-07
Vrisabhavathi Nagar,102,2001-01-01,5.73E-07
Nandini Layout,43,2001-01-01,4.90E-08
Marappana Palya,44,2001-01-01,4.90E-08
Nagapura,67,2001-01-01,1.36E-07
Mahalakshimpuram,68,2001-01-01,4.90E-08
Shakthi Ganapathi Nagar,74,2001-01-01,5.73E-07
Shankar Matt,75,2001-01-01,3.16E-07
Aramane Nagara,35,2001-01-01,8.56E-08
Mattikere,36,2001-01-01,4.90E-08
Malleswaram,45,2001-01-01,4.90E-08
Rajamahal Guttahalli,64,2001-01-01,1.82E-07
Kadu Malleshwar Ward,65,2001-01-01,1.72E-07
Subramanya Nagar,66,2001-01-01,4.90E-08
Gayithri Nagar,76,2001-01-01,4.82E-07
Radhakrishna Temple Ward,18,2001-01-01,4.90E-08
Sanjaya Nagar,19,2001-01-01,4.90E-08
Ganga Nagar,20,2001-01-01,4.90E-08
Hebbala,21,2001-01-01,4.90E-08
Vishwanath Nagenahalli,22,2001-01-01,4.90E-08
Manorayanapalya,33,2001-01-01,4.90E-08
Gangenahalli,34,2001-01-01,4.90E-08
Jayachamarajendra Nagar,46,2001-01-01,4.90E-08
Kushal Nagar,31,2001-01-01,4.90E-08
Kaval Bairasandra,32,2001-01-01,4.90E-08
Devara Jeevanahalli,47,2001-01-01,4.90E-08
Muneshwara Nagar,48,2001-01-01,4.90E-08
Sagayarapuram,60,2001-01-01,4.90E-08
S K Garden,61,2001-01-01,8.67E-08
Pulikeshinagar,78,2001-01-01,5.14E-07
Nagavara,23,2001-01-01,4.90E-08
Pattabhiram Nagar,168,2001-01-01,5.73E-07
Byrasandra,169,2001-01-01,5.73E-07
Shakambari Nagar,179,2001-01-01,5.73E-07
Varthuru,149,2001-01-01,5.97E-07
Bellanduru,150,2001-01-01,5.73E-07
Garudachar Playa,82,2001-01-01,5.73E-07
Kadugodi,83,2001-01-01,5.77E-07
Hagadur,84,2001-01-01,6.18E-07
Dodda Nekkundi,85,2001-01-01,5.73E-07
HSR Layout,174,2001-01-01,5.73E-07
Bommanahalli,175,2001-01-01,5.73E-07
Jaraganahalli,186,2001-01-01,5.73E-07
Puttenahalli,187,2001-01-01,5.73E-07
Bilekhalli,188,2001-01-01,5.73E-07
Hongasandra,189,2001-01-01,5.73E-07
Mangammanapalya,190,2001-01-01,5.73E-07
Singasandra,191,2001-01-01,5.73E-07
Arakere,193,2001-01-01,5.73E-07
Uttarahalli,184,2001-01-01,5.73E-07
Yelchenahalli,185,2001-01-01,5.73E-07
Begur,192,2001-01-01,5.73E-07
Gottigere,194,2001-01-01,5.73E-07
Konankunte,195,2001-01-01,5.73E-07
Anjanapura,196,2001-01-01,5.73E-07
Kempegowda Ward,1,2001-01-01,4.90E-08
K R Puram,52,2001-01-01,4.90E-08
Jnana Bharathi ward,129,2001-01-01,5.34E-07
Jayanagar East,170,2001-01-01,5.73E-07
Gurappanapalya,171,2001-01-01,5.73E-07
Chikkalsandra,183,2001-01-01,5.73E-07
Vasanthpura,197,2001-01-01,5.73E-07
J P Nagar,177,2001-01-01,5.73E-07
Madivala,172,2001-01-01,5.73E-07
Ramamurthy Nagar,26,2001-01-01,4.90E-08
Horamavu,25,2001-01-01,4.90E-08
Marathahalli,86,2001-01-01,5.73E-07
Hemmigepura,198,2001-01-01,5.25E-07
HBR Layout,24,2001-04-01,2.36E-05
Banasavadi,27,2001-04-01,2.36E-05
Kammanahalli,28,2001-04-01,2.36E-05
Kacharkanahalli,29,2001-04-01,2.36E-05
Kadugondanahalli,30,2001-04-01,2.36E-05
Lingarajapura,49,2001-04-01,2.36E-05
Maruthi Seva Nagar,59,2001-04-01,2.46E-05
Konena Agrahara,113,2001-04-01,2.56E-05
Benniganahalli,50,2001-04-01,2.46E-05
C V Raman Nagar,57,2001-04-01,2.56E-05
New Tippasandara,58,2001-04-01,2.56E-05
Sarvagna Nagar,79,2001-04-01,2.56E-05
Hoysala Nagar,80,2001-04-01,2.56E-05
Jeevanbhima Nagar,88,2001-04-01,2.56E-05
Sampangiram Nagar,110,2001-04-01,2.56E-05
Ramaswamy Palya,62,2001-04-01,2.36E-05
Jayamahal,63,2001-04-01,2.53E-05
Halsoor,90,2001-04-01,2.56E-05
Bharathi Nagar,91,2001-04-01,2.56E-05
Shivaji Nagar,92,2001-04-01,2.56E-05
Vasanth Nagar,93,2001-04-01,2.56E-05
Shantala Nagar,111,2001-04-01,2.56E-05
Domlur,112,2001-04-01,2.56E-05
Agaram,114,2001-04-01,2.56E-05
Vannarpet,115,2001-04-01,2.56E-05
Nilasandra,116,2001-04-01,2.56E-05
Shanthi Nagar,117,2001-04-01,2.56E-05
Jogupalya,89,2001-04-01,2.56E-05
Chickpete,109,2001-04-01,2.56E-05
Cottonpete,120,2001-04-01,2.56E-05
Binnipete,121,2001-04-01,2.56E-05
Dattatreya Temple,77,2001-04-01,2.54E-05
Gandhinagar,94,2001-04-01,2.56E-05
Subhash Nagar,95,2001-04-01,2.56E-05
Okalipuram,96,2001-04-01,2.56E-05
Basaveshwara Nagar,100,2001-04-01,2.56E-05
Kamakshipalya,101,2001-04-01,2.56E-05
Shivanagara,107,2001-04-01,2.56E-05
Sriramamandir,108,2001-04-01,2.56E-05
Dayananda Nagar,97,2001-04-01,2.56E-05
Prakash Nagar,98,2001-04-01,2.56E-05
Rajaji Nagar,99,2001-04-01,2.56E-05
Kaveripura,103,2001-04-01,2.56E-05
Govindaraja Nagar,104,2001-04-01,2.56E-05
Agrahara Dasarahalli,105,2001-04-01,2.56E-05
Dr. Raj Kumar Ward,106,2001-04-01,2.56E-05
Marenahalli,125,2001-04-01,2.56E-05
Maruthi Mandir ward,126,2001-04-01,2.56E-05
Mudalapalya,127,2001-04-01,2.56E-05
Nagarabhavi,128,2001-04-01,2.56E-05
Nayandahalli,131,2001-04-01,2.56E-05
Kempapura Agrahara,122,2001-04-01,2.56E-05
Vijayanagar,123,2001-04-01,2.56E-05
Hosahalli,124,2001-04-01,2.56E-05
Attiguppe,132,2001-04-01,2.56E-05
Hampi Nagar,133,2001-04-01,2.56E-05
Bapuji Nagar,134,2001-04-01,2.56E-05
Gali Anjenaya Temple ward,157,2001-04-01,2.56E-05
Deepanjali Nagar,158,2001-04-01,2.56E-05
Padarayanapura,135,2001-04-01,2.56E-05
Jagajivanaramnagar,136,2001-04-01,2.56E-05
Rayapuram,137,2001-04-01,2.56E-05
Chalavadipalya,138,2001-04-01,2.56E-05
K R Market,139,2001-04-01,2.56E-05
Chamrajapet,140,2001-04-01,2.56E-05
Azad Nagar,141,2001-04-01,2.56E-05
Sudham Nagara,118,2001-04-01,2.56E-05
Dharmaraya Swamy Temple,119,2001-04-01,2.56E-05
Sunkenahalli,142,2001-04-01,2.56E-05
Vishveshwara Puram,143,2001-04-01,2.56E-05
Siddapura,144,2001-04-01,2.56E-05
Hombegowda Nagara,145,2001-04-01,2.56E-05
Jayanagar,153,2001-04-01,2.56E-05
Hanumanth Nagar,155,2001-04-01,2.56E-05
Srinagar,156,2001-04-01,2.56E-05
Basavanagudi,154,2001-04-01,2.56E-05
Girinagar,162,2001-04-01,2.56E-05
Katriguppe,163,2001-04-01,2.56E-05
Vidyapeeta ward,164,2001-04-01,2.56E-05
Hosakerehalli,161,2001-04-01,2.56E-05
Ganesh Mandir ward,165,2001-04-01,2.56E-05
Karisandra,166,2001-04-01,2.56E-05
Yediyur,167,2001-04-01,2.56E-05
Banashankari Temple ward,180,2001-04-01,2.56E-05
Kumaraswamy Layout,181,2001-04-01,2.56E-05
Padmanabha Nagar,182,2001-04-01,2.56E-05
Lakkasandra,146,2001-04-01,2.56E-05
Adugodi,147,2001-04-01,2.56E-05
Ejipura,148,2001-04-01,2.56E-05
Koramangala,151,2001-04-01,2.56E-05
Suddagunte Palya,152,2001-04-01,2.56E-05
Sarakki,178,2001-04-01,2.56E-05
Jakkasandra,173,2001-04-01,2.56E-05
BTM Layout,176,2001-04-01,2.56E-05
Chowdeswari Ward,2,2001-04-01,2.36E-05
Atturu,3,2001-04-01,2.36E-05
Yelahanka Satellite Town,4,2001-04-01,2.36E-05
Vijnanapura,51,2001-04-01,2.36E-05
Basavanapura,53,2001-04-01,2.36E-05
Hudi,54,2001-04-01,2.40E-05
Devasandra,55,2001-04-01,2.43E-05
A Narayanapura,56,2001-04-01,2.55E-05
Vijnana Nagar,81,2001-04-01,2.56E-05
HAL Airport,87,2001-04-01,2.56E-05
Dodda Bommasandra,10,2001-04-01,2.36E-05
Kuvempu Nagar,11,2001-04-01,2.36E-05
Jakkuru,5,2001-04-01,2.36E-05
Thanisandra,6,2001-04-01,2.36E-05
Byatarayanapura,7,2001-04-01,2.36E-05
Kodigehalli,8,2001-04-01,2.36E-05
Vidyaranyapura,9,2001-04-01,2.36E-05
Ullalu,130,2001-04-01,2.63E-05
Kengeri,159,2001-04-01,2.63E-05
Dodda Bidarakallu,40,2001-04-01,2.51E-05
Herohalli,72,2001-04-01,2.62E-05
Jalahalli,16,2001-04-01,2.36E-05
Rajarajeshwari Nagar,160,2001-04-01,2.56E-05
J P Park,17,2001-04-01,2.36E-05
Yeshwanthpura,37,2001-04-01,2.36E-05
HMT Ward,38,2001-04-01,2.36E-05
Lakshmi Devi Nagar,42,2001-04-01,2.36E-05
Laggere,69,2001-04-01,2.36E-05
Kottegepalya,73,2001-04-01,2.55E-05
Shettihalli,12,2001-04-01,2.36E-05
Mallasandra,13,2001-04-01,2.36E-05
Bagalakunte,14,2001-04-01,2.43E-05
T Dasarahalli,15,2001-04-01,2.36E-05
Chokkasandra,39,2001-04-01,2.39E-05
Peenya Industrial Area,41,2001-04-01,2.37E-05
Rajagopal Nagar,70,2001-04-01,2.38E-05
Hegganahalli,71,2001-04-01,2.47E-05
Vrisabhavathi Nagar,102,2001-04-01,2.56E-05
Nandini Layout,43,2001-04-01,2.36E-05
Marappana Palya,44,2001-04-01,2.36E-05
Nagapura,67,2001-04-01,2.39E-05
Mahalakshimpuram,68,2001-04-01,2.36E-05
Shakthi Ganapathi Nagar,74,2001-04-01,2.56E-05
Shankar Matt,75,2001-04-01,2.46E-05
Aramane Nagara,35,2001-04-01,2.37E-05
Mattikere,36,2001-04-01,2.36E-05
Malleswaram,45,2001-04-01,2.36E-05
Rajamahal Guttahalli,64,2001-04-01,2.41E-05
Kadu Malleshwar Ward,65,2001-04-01,2.40E-05
Subramanya Nagar,66,2001-04-01,2.36E-05
Gayithri Nagar,76,2001-04-01,2.53E-05
Radhakrishna Temple Ward,18,2001-04-01,2.36E-05
Sanjaya Nagar,19,2001-04-01,2.36E-05
Ganga Nagar,20,2001-04-01,2.36E-05
Hebbala,21,2001-04-01,2.36E-05
Vishwanath Nagenahalli,22,2001-04-01,2.36E-05
Manorayanapalya,33,2001-04-01,2.36E-05
Gangenahalli,34,2001-04-01,2.36E-05
Jayachamarajendra Nagar,46,2001-04-01,2.36E-05
Kushal Nagar,31,2001-04-01,2.36E-05
Kaval Bairasandra,32,2001-04-01,2.36E-05
Devara Jeevanahalli,47,2001-04-01,2.36E-05
Muneshwara Nagar,48,2001-04-01,2.36E-05
Sagayarapuram,60,2001-04-01,2.36E-05
S K Garden,61,2001-04-01,2.37E-05
Pulikeshinagar,78,2001-04-01,2.54E-05
Nagavara,23,2001-04-01,2.36E-05
Pattabhiram Nagar,168,2001-04-01,2.56E-05
Byrasandra,169,2001-04-01,2.56E-05
Shakambari Nagar,179,2001-04-01,2.56E-05
Varthuru,149,2001-04-01,2.55E-05
Bellanduru,150,2001-04-01,2.56E-05
Garudachar Playa,82,2001-04-01,2.56E-05
Kadugodi,83,2001-04-01,2.50E-05
Hagadur,84,2001-04-01,2.54E-05
Dodda Nekkundi,85,2001-04-01,2.56E-05
HSR Layout,174,2001-04-01,2.56E-05
Bommanahalli,175,2001-04-01,2.56E-05
Jaraganahalli,186,2001-04-01,2.56E-05
Puttenahalli,187,2001-04-01,2.56E-05
Bilekhalli,188,2001-04-01,2.56E-05
Hongasandra,189,2001-04-01,2.56E-05
Mangammanapalya,190,2001-04-01,2.56E-05
Singasandra,191,2001-04-01,2.56E-05
Arakere,193,2001-04-01,2.56E-05
Uttarahalli,184,2001-04-01,2.56E-05
Yelchenahalli,185,2001-04-01,2.56E-05
Begur,192,2001-04-01,2.56E-05
Gottigere,194,2001-04-01,2.56E-05
Konankunte,195,2001-04-01,2.56E-05
Anjanapura,196,2001-04-01,2.56E-05
Kempegowda Ward,1,2001-04-01,2.36E-05
K R Puram,52,2001-04-01,2.36E-05
Jnana Bharathi ward,129,2001-04-01,2.59E-05
Jayanagar East,170,2001-04-01,2.56E-05
Gurappanapalya,171,2001-04-01,2.56E-05
Chikkalsandra,183,2001-04-01,2.56E-05
Vasanthpura,197,2001-04-01,2.56E-05
J P Nagar,177,2001-04-01,2.56E-05
Madivala,172,2001-04-01,2.56E-05
Ramamurthy Nagar,26,2001-04-01,2.36E-05
Horamavu,25,2001-04-01,2.36E-05
Marathahalli,86,2001-04-01,2.56E-05
Hemmigepura,198,2001-04-01,2.59E-05
HBR Layout,24,2001-07-01,4.44E-05
Banasavadi,27,2001-07-01,4.44E-05
Kammanahalli,28,2001-07-01,4.44E-05
Kacharkanahalli,29,2001-07-01,4.44E-05
Kadugondanahalli,30,2001-07-01,4.44E-05
Lingarajapura,49,2001-07-01,4.44E-05
Maruthi Seva Nagar,59,2001-07-01,4.33E-05
Konena Agrahara,113,2001-07-01,4.23E-05
Benniganahalli,50,2001-07-01,4.33E-05
C V Raman Nagar,57,2001-07-01,4.23E-05
New Tippasandara,58,2001-07-01,4.23E-05
Sarvagna Nagar,79,2001-07-01,4.23E-05
Hoysala Nagar,80,2001-07-01,4.23E-05
Jeevanbhima Nagar,88,2001-07-01,4.23E-05
Sampangiram Nagar,110,2001-07-01,4.23E-05
Ramaswamy Palya,62,2001-07-01,4.44E-05
Jayamahal,63,2001-07-01,4.27E-05
Halsoor,90,2001-07-01,4.23E-05
Bharathi Nagar,91,2001-07-01,4.23E-05
Shivaji Nagar,92,2001-07-01,4.23E-05
Vasanth Nagar,93,2001-07-01,4.23E-05
Shantala Nagar,111,2001-07-01,4.23E-05
Domlur,112,2001-07-01,4.23E-05
Agaram,114,2001-07-01,4.23E-05
Vannarpet,115,2001-07-01,4.23E-05
Nilasandra,116,2001-07-01,4.23E-05
Shanthi Nagar,117,2001-07-01,4.23E-05
Jogupalya,89,2001-07-01,4.23E-05
Chickpete,109,2001-07-01,4.23E-05
Cottonpete,120,2001-07-01,4.23E-05
Binnipete,121,2001-07-01,4.23E-05
Dattatreya Temple,77,2001-07-01,4.25E-05
Gandhinagar,94,2001-07-01,4.23E-05
Subhash Nagar,95,2001-07-01,4.23E-05
Okalipuram,96,2001-07-01,4.23E-05
Basaveshwara Nagar,100,2001-07-01,4.23E-05
Kamakshipalya,101,2001-07-01,4.23E-05
Shivanagara,107,2001-07-01,4.23E-05
Sriramamandir,108,2001-07-01,4.23E-05
Dayananda Nagar,97,2001-07-01,4.23E-05
Prakash Nagar,98,2001-07-01,4.23E-05
Rajaji Nagar,99,2001-07-01,4.23E-05
Kaveripura,103,2001-07-01,4.23E-05
Govindaraja Nagar,104,2001-07-01,4.23E-05
Agrahara Dasarahalli,105,2001-07-01,4.23E-05
Dr. Raj Kumar Ward,106,2001-07-01,4.23E-05
Marenahalli,125,2001-07-01,4.23E-05
Maruthi Mandir ward,126,2001-07-01,4.23E-05
Mudalapalya,127,2001-07-01,4.23E-05
Nagarabhavi,128,2001-07-01,4.23E-05
Nayandahalli,131,2001-07-01,4.23E-05
Kempapura Agrahara,122,2001-07-01,4.23E-05
Vijayanagar,123,2001-07-01,4.23E-05
Hosahalli,124,2001-07-01,4.23E-05
Attiguppe,132,2001-07-01,4.23E-05
Hampi Nagar,133,2001-07-01,4.23E-05
Bapuji Nagar,134,2001-07-01,4.23E-05
Gali Anjenaya Temple ward,157,2001-07-01,4.23E-05
Deepanjali Nagar,158,2001-07-01,4.23E-05
Padarayanapura,135,2001-07-01,4.23E-05
Jagajivanaramnagar,136,2001-07-01,4.23E-05
Rayapuram,137,2001-07-01,4.23E-05
Chalavadipalya,138,2001-07-01,4.23E-05
K R Market,139,2001-07-01,4.23E-05
Chamrajapet,140,2001-07-01,4.23E-05
Azad Nagar,141,2001-07-01,4.23E-05
Sudham Nagara,118,2001-07-01,4.23E-05
Dharmaraya Swamy Temple,119,2001-07-01,4.23E-05
Sunkenahalli,142,2001-07-01,4.23E-05
Vishveshwara Puram,143,2001-07-01,4.23E-05
Siddapura,144,2001-07-01,4.23E-05
Hombegowda Nagara,145,2001-07-01,4.23E-05
Jayanagar,153,2001-07-01,4.23E-05
Hanumanth Nagar,155,2001-07-01,4.23E-05
Srinagar,156,2001-07-01,4.23E-05
Basavanagudi,154,2001-07-01,4.23E-05
Girinagar,162,2001-07-01,4.23E-05
Katriguppe,163,2001-07-01,4.23E-05
Vidyapeeta ward,164,2001-07-01,4.23E-05
Hosakerehalli,161,2001-07-01,4.23E-05
Ganesh Mandir ward,165,2001-07-01,4.23E-05
Karisandra,166,2001-07-01,4.23E-05
Yediyur,167,2001-07-01,4.23E-05
Banashankari Temple ward,180,2001-07-01,4.23E-05
Kumaraswamy Layout,181,2001-07-01,4.23E-05
Padmanabha Nagar,182,2001-07-01,4.23E-05
Lakkasandra,146,2001-07-01,4.23E-05
Adugodi,147,2001-07-01,4.23E-05
Ejipura,148,2001-07-01,4.23E-05
Koramangala,151,2001-07-01,4.23E-05
Suddagunte Palya,152,2001-07-01,4.23E-05
Sarakki,178,2001-07-01,4.23E-05
Jakkasandra,173,2001-07-01,4.23E-05
BTM Layout,176,2001-07-01,4.23E-05
Chowdeswari Ward,2,2001-07-01,4.44E-05
Atturu,3,2001-07-01,4.44E-05
Yelahanka Satellite Town,4,2001-07-01,4.44E-05
Vijnanapura,51,2001-07-01,4.43E-05
Basavanapura,53,2001-07-01,4.44E-05
Hudi,54,2001-07-01,4.38E-05
Devasandra,55,2001-07-01,4.37E-05
A Narayanapura,56,2001-07-01,4.24E-05
Vijnana Nagar,81,2001-07-01,4.23E-05
HAL Airport,87,2001-07-01,4.23E-05
Dodda Bommasandra,10,2001-07-01,4.44E-05
Kuvempu Nagar,11,2001-07-01,4.44E-05
Jakkuru,5,2001-07-01,4.44E-05
Thanisandra,6,2001-07-01,4.44E-05
Byatarayanapura,7,2001-07-01,4.44E-05
Kodigehalli,8,2001-07-01,4.44E-05
Vidyaranyapura,9,2001-07-01,4.44E-05
Ullalu,130,2001-07-01,4.22E-05
Kengeri,159,2001-07-01,4.22E-05
Dodda Bidarakallu,40,2001-07-01,4.44E-05
Herohalli,72,2001-07-01,4.22E-05
Jalahalli,16,2001-07-01,4.44E-05
Rajarajeshwari Nagar,160,2001-07-01,4.23E-05
J P Park,17,2001-07-01,4.44E-05
Yeshwanthpura,37,2001-07-01,4.44E-05
HMT Ward,38,2001-07-01,4.44E-05
Lakshmi Devi Nagar,42,2001-07-01,4.44E-05
Laggere,69,2001-07-01,4.44E-05
Kottegepalya,73,2001-07-01,4.24E-05
Shettihalli,12,2001-07-01,4.44E-05
Mallasandra,13,2001-07-01,4.44E-05
Bagalakunte,14,2001-07-01,4.46E-05
T Dasarahalli,15,2001-07-01,4.44E-05
Chokkasandra,39,2001-07-01,4.45E-05
Peenya Industrial Area,41,2001-07-01,4.45E-05
Rajagopal Nagar,70,2001-07-01,4.42E-05
Hegganahalli,71,2001-07-01,4.38E-05
Vrisabhavathi Nagar,102,2001-07-01,4.23E-05
Nandini Layout,43,2001-07-01,4.44E-05
Marappana Palya,44,2001-07-01,4.44E-05
Nagapura,67,2001-07-01,4.41E-05
Mahalakshimpuram,68,2001-07-01,4.44E-05
Shakthi Ganapathi Nagar,74,2001-07-01,4.23E-05
Shankar Matt,75,2001-07-01,4.33E-05
Aramane Nagara,35,2001-07-01,4.42E-05
Mattikere,36,2001-07-01,4.44E-05
Malleswaram,45,2001-07-01,4.44E-05
Rajamahal Guttahalli,64,2001-07-01,4.39E-05
Kadu Malleshwar Ward,65,2001-07-01,4.39E-05
Subramanya Nagar,66,2001-07-01,4.44E-05
Gayithri Nagar,76,2001-07-01,4.27E-05
Radhakrishna Temple Ward,18,2001-07-01,4.44E-05
Sanjaya Nagar,19,2001-07-01,4.44E-05
Ganga Nagar,20,2001-07-01,4.44E-05
Hebbala,21,2001-07-01,4.44E-05
Vishwanath Nagenahalli,22,2001-07-01,4.44E-05
Manorayanapalya,33,2001-07-01,4.44E-05
Gangenahalli,34,2001-07-01,4.44E-05
Jayachamarajendra Nagar,46,2001-07-01,4.44E-05
Kushal Nagar,31,2001-07-01,4.44E-05
Kaval Bairasandra,32,2001-07-01,4.44E-05
Devara Jeevanahalli,47,2001-07-01,4.44E-05
Muneshwara Nagar,48,2001-07-01,4.44E-05
Sagayarapuram,60,2001-07-01,4.44E-05
S K Garden,61,2001-07-01,4.42E-05
Pulikeshinagar,78,2001-07-01,4.26E-05
Nagavara,23,2001-07-01,4.44E-05
Pattabhiram Nagar,168,2001-07-01,4.23E-05
Byrasandra,169,2001-07-01,4.23E-05
Shakambari Nagar,179,2001-07-01,4.23E-05
Varthuru,149,2001-07-01,4.23E-05
Bellanduru,150,2001-07-01,4.23E-05
Garudachar Playa,82,2001-07-01,4.23E-05
