DISPLAY_NA,WARD_NAME,WARD_NO,date,EVI_mean,NDVI_mean
"Ramanjaneya Temple Road, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru",Lakshmi Devi Nagar,42,1/1/2002,1518.161495,2669.606301
"0 17th Main Road, Narasimhaswamy Nagar, Laggere, Bengaluru",Laggere,69,1/1/2002,1507.05374,2481.695872
"Service Road, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru",Kottegepalya,73,1/1/2002,1720.393795,2919.61987
"Kammagondana Halli Road, Srikrupa Layout, Abbigere, Abbigere, Bengaluru",Shettihalli,12,1/1/2002,2091.711469,3630.530013
"3rd Main, Shetty Halli, Jalahalli West, Bengaluru",Mallasandra,13,1/1/2002,1803.216175,3018.093178
"Manjunath Nagar Main Road, Vijayalakshmi Layout, Manjunatha Nagar, Bagalakunte, Bengaluru",Bagalakunte,14,1/1/2002,1880.31618,3205.46536
"0 1st Cross Road, Kalahasti Nagar, Prashanth Nagar, T. Dasarahalli, Bengaluru",T Dasarahalli,15,1/1/2002,1693.886206,2974.901852
"Andrahalli Main Road, Vidya Nagar, Peenya, Bengaluru",Chokkasandra,39,1/1/2002,1908.388042,3346.087285
"400 12th Cross Road, Peenya Industrial Area Phase IV, Peenya, Bengaluru",Peenya Industrial Area,41,1/1/2002,1636.318233,2914.474003
"2nd Main Road, Rajagopala Nagar, Peenya, Bengaluru",Rajagopal Nagar,70,1/1/2002,1541.170812,2534.753936
"6th Cross Road, Lakshman Nagar, State Bank of India Colony, Bengaluru",Hegganahalli,71,1/1/2002,1491.478613,2524.119143
"Sai Residency, Sannakki Bayalu, Vrishabha Nagar, Kamaksipalya, Bengaluru",Vrisabhavathi Nagar,102,1/1/2002,1479.320183,2546.066875
"0 5th Cross Road, Panchadeep Colony, Nandini Layout, Bengaluru",Nandini Layout,43,1/1/2002,1473.945631,2561.430865
"500 9th Cross, APMC Yard, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru",Marappana Palya,44,1/1/2002,1377.481477,2624.876296
"Samartha Infosolutions, 3rd Main Road, West of Chord Road 2nd Stage, Nagapura, Bengaluru",Nagapura,67,1/1/2002,1558.577931,2790.485042
"0 8th Cross Road, Satyanarayana Layout, Maruthi Nagar, Bengaluru",Mahalakshimpuram,68,1/1/2002,1371.882056,2493.170751
"Olety Heritage, 15th Main Road, Maruthi Nagar, Basaweshwara Nagar, Bengaluru",Shakthi Ganapathi Nagar,74,1/1/2002,1468.001797,2486.607525
"100 18th Main Road, JC Nagar, Kurubarahalli, Basaweshwara Nagar, Bengaluru",Shankar Matt,75,1/1/2002,1388.556903,2386.728363
"94, RMV 2nd Stage, Ashwath Nagar, Armane Nagar, Bengaluru",Aramane Nagara,35,1/1/2002,2053.435335,3747.941269
"500 MD Rajsikhar Road, Gokula Extension, Mathikere Extension, Mathikere, Bengaluru",Mattikere,36,1/1/2002,1638.442517,2959.870869
"18, Malleshwaram West, Bengaluru",Malleswaram,45,1/1/2002,1774.372962,3422.828516
"0 DB Street, M V Block, Guttahalli, Bengaluru",Rajamahal Guttahalli,64,1/1/2002,1629.128406,3041.485109
"49, Malleshwaram West, Bengaluru",Kadu Malleshwar Ward,65,1/1/2002,1516.170716,2809.792375
"2500 1st Main Road, E block, 2nd Stage, Rajaji Nagar, Bengaluru",Subramanya Nagar,66,1/1/2002,1681.81141,3022.427303
"0 2nd Cross Road, Srirampura, Bengaluru",Gayithri Nagar,76,1/1/2002,1363.72217,2602.372775
"400 8th Cross Road, RMV 2nd Stage, Dollars Colony, R.M.V. 2nd Stage, Bengaluru",Radhakrishna Temple Ward,18,1/1/2002,1862.067687,3223.724973
"0 6th B Cross Road, RMV, Stage 2, Sanjaynagar, Bengaluru",Sanjaya Nagar,19,1/1/2002,1897.02235,3282.46316
"Unnamed Road, Sanjaynagar, Bengaluru",Ganga Nagar,20,1/1/2002,1876.468073,3327.177513
"Siroya Environ, Chola Nagar, Anandnagar, Hebbal, Bengaluru",Hebbala,21,1/1/2002,1802.934703,3132.056104
"Bhuwana Siri Apartments, 10th A Cross Road, Kanaka Nagar, Hebbal, Bengaluru",Vishwanath Nagenahalli,22,1/1/2002,1753.944119,2920.964405
"557, Dinnur, Hebbal, Bengaluru",Manorayanapalya,33,1/1/2002,1592.166394,2717.782955
"Mandenda Nilayam, 5th Main Road, Ganga Nagar Extension, Ganga Nagar, Bengaluru",Gangenahalli,34,1/1/2002,1647.479457,2869.749612
"300 14th Cross Road, 2nd Block, RT Nagar, Bengaluru",Jayachamarajendra Nagar,46,1/1/2002,1815.110762,3123.350751
"400 Masjid Road, Kushal Nagar, Kadugondanahalli, Bengaluru",Kushal Nagar,31,1/1/2002,1280.13013,2239.905226
"1085, Shampura, Kaval Bairasandra, Bengaluru",Kaval Bairasandra,32,1/1/2002,1747.879321,2883.047418
"null4th Cross Road, Modi Garden, Kaval Bairasandra, Bengaluru",Devara Jeevanahalli,47,1/1/2002,1699.018804,2898.313126
"100 3rd Cross Road, Dubai Layout, Amar layout, Kaval Bairasandra, Bengaluru",Muneshwara Nagar,48,1/1/2002,1301.770667,2218.347069
"0 Davis Road, Sagayapura, Richards Town, Bengaluru",Sagayarapuram,60,1/1/2002,1608.226744,2869.6934
"Masjid e Taqwa, S K Garden, Wahid Garden, Benson Town, Bengaluru",S K Garden,61,1/1/2002,1642.220082,2893.038257
"0 Coles Road, Cleveland Town, Pulikeshi Nagar, Bengaluru",Pulikeshinagar,78,1/1/2002,1595.795783,2917.86118
"creative elegance, 2nd A Cross, Vyalikaval HBCS Layout, Nagavara, Bengaluru",Nagavara,23,1/1/2002,1675.55515,2849.858286
"SRI NILAYAM #574, 15th Main Road, 5th Block, Telecom Layout, HBR Layout, Bengaluru",HBR Layout,24,1/1/2002,1875.456326,3347.068612
"800 2nd Cross Road, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru",Banasavadi,27,1/1/2002,1577.376661,2717.596294
"MM Buildings, Kammanahalli Main Road, Ramaswamipalya, Lingarajapuram, Bengaluru",Kammanahalli,28,1/1/2002,1536.521744,2656.770206
"300 3rd Cross Road, Indra Nagar, Kacharakanahalli, Bengaluru",Kacharkanahalli,29,1/1/2002,1561.973799,2793.651888
"0 5th Cross Road, Vinobha Nagar, Kadugondanahalli, Bengaluru",Kadugondanahalli,30,1/1/2002,1455.471682,2540.923703
"0 Lokesh Tent Main Road, Lingarajapura Village, Lingarajapuram, Bengaluru",Lingarajapura,49,1/1/2002,1468.02919,2618.28285
"Saijothi, 1st Cross Road, D Costa Layout, Cooke Town, Bengaluru",Maruthi Seva Nagar,59,1/1/2002,1728.15741,2955.118287
"Oxford Spires, Rustum Bagh Main Road, Rustam Bagh Layout, Bengaluru",Konena Agrahara,113,1/1/2002,2073.376739,3397.728354
"0 1st Cross Road, Sadanandanagar, Bennigana Halli, Bengaluru",Benniganahalli,50,1/1/2002,1801.0291,3163.351744
"C6/10, C6/10, 1st Phase, C V Raman Nagar, Bengaluru",C V Raman Nagar,57,1/1/2002,2081.421094,3575.73259
"Lalit Residency, 1st Cross Street, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru",New Tippasandara,58,1/1/2002,2043.133673,3453.906253
"Saint Johns Church Cemetry Road, Kalhalli, Ulsoor, Bengaluru",Sarvagna Nagar,79,1/1/2002,1947.820963,3383.58439
"25/6, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru",Hoysala Nagar,80,1/1/2002,1838.836657,3168.542847
"Pavan Enclave, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru",Jeevanbhima Nagar,88,1/1/2002,1707.52013,2930.889903
"0 Doctor Ambedkar Veedhi, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru",Sampangiram Nagar,110,1/1/2002,1790.509103,3311.333915
"0 3rd Cross Road, Munimarappa Garden, J.C.Nagar, Bengaluru",Ramaswamy Palya,62,1/1/2002,1866.827255,3209.931594
"1st Cross Road, Nandi Durga Road Extension, Jayamahal, Bengaluru",Jayamahal,63,1/1/2002,1745.056114,3265.804365
"Kensington Road, Ulsoor, Bengaluru",Halsoor,90,1/1/2002,1468.851495,2903.568337
"0 Fruit Street Road, 1st Block, Bharati Nagar, Shivaji Nagar, Bengaluru",Bharathi Nagar,91,1/1/2002,1263.352981,2363.193396
"Barkat Manzil, Sulthangunta, Shivaji Nagar, Bengaluru",Shivaji Nagar,92,1/1/2002,1016.179787,1861.052853
"0 Sankey Road, Abshot Layout, Vasanth Nagar, Bengaluru",Vasanth Nagar,93,1/1/2002,1870.841096,3450.459722
"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",Shantala Nagar,111,1/1/2002,1594.15543,3066.288746
"0 12th Cross Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru",Domlur,112,1/1/2002,1755.286528,3040.949393
"Intermediate Ring Road, Ejipura, Bengaluru",Agaram,114,1/1/2002,2439.415598,4082.275471
"100 Lower Agaram Road, Rose Garden, Vannarpet Layout, Viveka Nagar, Bengaluru",Vannarpet,115,1/1/2002,1724.119068,2914.493713
"Rose Garden 7th A Cross, Rose Garden, Richard Xavier's colony, Neelasandra, Bengaluru",Nilasandra,116,1/1/2002,1713.89334,2899.793292
"0 Hosur Road, Langford Town, Shanti Nagar, Bengaluru",Shanthi Nagar,117,1/1/2002,1654.180547,2988.544598
"0 4th Main Road, Lingayana Palya, Jogupalya, Bengaluru",Jogupalya,89,1/1/2002,1660.630519,2919.060489
"0 DK Lane, Anchepet, Chickpet, Bengaluru",Chickpete,109,1/1/2002,1111.856184,2159.40462
"200 12th Main Road, Keshava Nagar, Binnipete, Bengaluru",Cottonpete,120,1/1/2002,1138.175648,2274.795418
"0 5th A Cross Road, Mariyappanapalya, Binnipete, Bengaluru",Binnipete,121,1/1/2002,1137.109912,2197.833758
"U/65/1, Malleshwaram West, Bengaluru",Dattatreya Temple,77,1/1/2002,1313.559327,2578.416307
"24, RK Puram, Gandhi Nagar, Bengaluru",Gandhinagar,94,1/1/2002,1446.967303,2708.319782
"Bangalore City Junction Railway, M.G. Railway Colony, Sevashrama, Bengaluru",Subhash Nagar,95,1/1/2002,1272.031549,2523.371994
"0 3rd Cross Road, 4N Block, Ramchandrapuram, Srirampura, Bengaluru",Okalipuram,96,1/1/2002,1209.393202,2360.220498
"22/A, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru",Basaveshwara Nagar,100,1/1/2002,1457.639595,2592.420884
"0 4th Main Road, KHB Colony, Basaveshwar Nagar, Bengaluru",Kamakshipalya,101,1/1/2002,1423.94999,2521.51305
"Umamaheshwara Niwas, Bovi Colony, Basaveshwar Nagar, Bengaluru",Shivanagara,107,1/1/2002,1318.813958,2494.178881
"0 6th Cross Road, 4th M Block, Manjunath Nagar, Rajaji Nagar, Bengaluru",Sriramamandir,108,1/1/2002,1224.304884,2408.554811
"1400 6th Cross Road, Bashyam Nagar, Dayananda Nagar, Rajaji Nagar, Bengaluru",Dayananda Nagar,97,1/1/2002,1141.64526,2260.008328
"G/10, Mariappanapalya, Rajaji Nagar, Bengaluru",Prakash Nagar,98,1/1/2002,1298.605791,2548.571107
"0 12th Main Road, 2nd Block, Basaveshwar Nagar, Bengaluru",Rajaji Nagar,99,1/1/2002,1408.491904,2579.215584
"400 13th Cross Road, Govindaraja Nagar Ward, Cauvery Nagar, Vijaya Nagar, Bengaluru",Kaveripura,103,1/1/2002,1501.271875,2670.595644
"1700 5th Main Road, Govindaraja Nagar Ward, Govindarajanagar, Vijaya Nagar, Bengaluru",Govindaraja Nagar,104,1/1/2002,1447.125838,2609.151052
"0 17th A Cross Road, Agrahara Dasarahalli, Rajaji Nagar, Bengaluru",Agrahara Dasarahalli,105,1/1/2002,1407.186704,2519.771541
"Colorado, Rajaji Nagar Industrial Town, Rajaji Nagar, Bengaluru",Dr. Raj Kumar Ward,106,1/1/2002,1270.157676,2375.144538
"0 16th Main Road, CHBS Layout, Stage 2, Vijaya Nagar, Bengaluru",Marenahalli,125,1/1/2002,1400.610089,2595.594241
"200 6th Cross Road, Govindaraja Nagar Ward, GKW Layout, Vijaya Nagar, Bengaluru",Maruthi Mandir ward,126,1/1/2002,1410.83855,2502.100357
"0 Manjunatha Talkies Road, Sanjivini Nagara, Govindarajanagar, Vijaya Nagar, Bengaluru",Mudalapalya,127,1/1/2002,1469.506745,2553.261963
"1600 14th Cross Road, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru",Nagarabhavi,128,1/1/2002,1703.291442,2936.896895
"0 Nayandahalli Main Road, Vinayaka Extension, Nayanda Halli, Bengaluru",Nayandahalli,131,1/1/2002,2116.691509,3463.913089
"0 5th Main Road, Kempapura Agrahara, Bengaluru",Kempapura Agrahara,122,1/1/2002,1105.909592,2092.010838
"1100 2nd Main Road, Hoshalli Extension, Stage 1, Vijaya Nagar, Bengaluru",Vijayanagar,123,1/1/2002,1329.589719,2418.725077
"2300 9th Cross Road, Hampi Nagar, Stage 1, Vijaya Nagar, Bengaluru",Hosahalli,124,1/1/2002,1376.337494,2493.5715
"0 2nd Cross Road, Basaveshawara HBCS Layout 2nd Stage, Chandra Layout, Attiguppe, Bengaluru",Attiguppe,132,1/1/2002,1432.396351,2474.979375
"400 4th Cross Road, Vijaya Nagar II Stage, Vijaya Nagar, Bengaluru",Hampi Nagar,133,1/1/2002,1475.362609,2591.957728
"0 F Street, New Guddadahalli, Bapuji Nagar, Bengaluru",Bapuji Nagar,134,1/1/2002,1336.677202,2413.044005
"0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru",Gali Anjenaya Temple ward,157,1/1/2002,1499.02546,2656.621023
"300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru",Deepanjali Nagar,158,1/1/2002,2041.35517,3284.502939
"0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru",Padarayanapura,135,1/1/2002,1210.727277,2196.482593
"0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru",Jagajivanaramnagar,136,1/1/2002,1297.516228,2417.604201
"0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru",Rayapuram,137,1/1/2002,1251.255919,2369.401681
"100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru",Chalavadipalya,138,1/1/2002,1177.171505,2355.281033
"0 2nd Main Road, New Tharagupet, Bengaluru",K R Market,139,1/1/2002,1093.017659,2131.905098
"100 7th Cross Road, Chamrajpet, Bengaluru",Chamrajapet,140,1/1/2002,1328.743601,2551.24211
"165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru",Azad Nagar,141,1/1/2002,1453.653,2668.312929
"3rd Cross Road, Sampangi Rama Nagar, Bengaluru",Sudham Nagara,118,1/1/2002,1199.579984,2271.306491
"59, Kalasipalyam New Extension, Kalasipalya, Bengaluru",Dharmaraya Swamy Temple,119,1/1/2002,1014.664163,2005.673723
"Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru",Sunkenahalli,142,1/1/2002,1527.015946,2929.328585
"0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru",Vishveshwara Puram,143,1/1/2002,1607.751027,3081.677335
"Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru",Siddapura,144,1/1/2002,1600.216076,2881.363881
"0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru",Hombegowda Nagara,145,1/1/2002,1420.889686,2641.384736
"Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru",Jayanagar,153,1/1/2002,1829.289236,3250.538723
"Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru",Hanumanth Nagar,155,1/1/2002,1513.949682,2814.623835
"12, Srinagar, Banashankari, Bengaluru",Srinagar,156,1/1/2002,1475.610022,2631.812191
"0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru",Basavanagudi,154,1/1/2002,1486.669069,2756.993609
"Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru",Girinagar,162,1/1/2002,1803.728491,3002.780845
"0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru",Katriguppe,163,1/1/2002,1486.466631,2581.762116
"6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru",Vidyapeeta ward,164,1/1/2002,1464.407811,2598.367034
"Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru",Hosakerehalli,161,1/1/2002,2211.883763,3454.308813
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru",Ganesh Mandir ward,165,1/1/2002,1560.821071,2726.844543
"300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru",Karisandra,166,1/1/2002,1688.557922,3055.432196
"30/2, Sakamma Garden, Jayanagar, Bengaluru",Yediyur,167,1/1/2002,1576.431293,2891.434524
"200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru",Banashankari Temple ward,180,1/1/2002,1587.203476,2726.077944
"1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru",Kumaraswamy Layout,181,1/1/2002,1686.233726,2836.878871
"100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru",Padmanabha Nagar,182,1/1/2002,1691.81288,2846.819507
"0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad",Lakkasandra,146,1/1/2002,1671.569868,2931.029587
"900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru",Adugodi,147,1/1/2002,1868.821478,3184.304961
"26, Gowda Muniswamy Garden, Ejipura, Bengaluru",Ejipura,148,1/1/2002,1623.727383,2710.761014
"Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru",Koramangala,151,1/1/2002,1979.377185,3348.901566
"0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru",Suddagunte Palya,152,1/1/2002,1592.356121,2772.882844
"0 34th Main Road, 1st Phase, JP Nagar, Bengaluru",Sarakki,178,1/1/2002,1635.610285,2784.485684
"0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru",Jakkasandra,173,1/1/2002,2025.953433,3271.879285
"1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru",BTM Layout,176,1/1/2002,1886.636581,3156.339463
"Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru",Pattabhiram Nagar,168,1/1/2002,1710.795833,3083.18003
"100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru",Byrasandra,169,1/1/2002,1782.58989,3116.979518
"725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru",Shakambari Nagar,179,1/1/2002,1712.774138,3073.01451
"State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru",Varthuru,149,1/1/2002,2631.627711,4501.825692
"Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru",Bellanduru,150,1/1/2002,2370.99412,4236.780765
"300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru",Garudachar Playa,82,1/1/2002,1755.571812,3118.307666
"Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru",Kadugodi,83,1/1/2002,2218.165677,3904.989491
"M4, Phase 1, Whitefield, Bengaluru",Hagadur,84,1/1/2002,2470.8203,4275.841458
"Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru",Dodda Nekkundi,85,1/1/2002,1775.189733,3130.479219
"2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru",HSR Layout,174,1/1/2002,2101.007891,3497.645773
"200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru",Bommanahalli,175,1/1/2002,1721.658686,2728.869651
"Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru",Jaraganahalli,186,1/1/2002,1717.73031,2890.190523
"0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru",Puttenahalli,187,1/1/2002,2050.588876,3321.248305
"100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru",Bilekhalli,188,1/1/2002,2213.217154,3475.312054
"0 2nd Cross Road, Hongasandra, Bengaluru",Hongasandra,189,1/1/2002,1691.30667,2654.242022
"100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru",Mangammanapalya,190,1/1/2002,1752.895376,2925.565333
"Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru",Singasandra,191,1/1/2002,1743.052267,3030.131978
"100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru",Arakere,193,1/1/2002,1929.613242,3098.762509
"4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru",Uttarahalli,184,1/1/2002,2113.54259,3511.015697
"300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru",Yelchenahalli,185,1/1/2002,1667.141075,2812.730352
"469/2, Begur, Bengaluru",Begur,192,1/1/2002,2064.744198,3483.531488
"1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru",Gottigere,194,1/1/2002,2064.54084,3412.94086
"0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru",Konankunte,195,1/1/2002,1968.585603,3187.239557
"Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru",Anjanapura,196,1/1/2002,1902.221187,3183.910294
"NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru",Kempegowda Ward,1,1/1/2002,2182.557044,3741.463747
"0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru",K R Puram,52,1/1/2002,2075.211784,3432.415128
"300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru",Jnana Bharathi ward,129,1/1/2002,1966.856222,3476.259993
"400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru",Jayanagar East,170,1/1/2002,1421.419363,2511.264191
"0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru",Gurappanapalya,171,1/1/2002,1303.81963,2237.617124
"500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru",Chikkalsandra,183,1/1/2002,1649.027084,2711.09963
"0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru",Vasanthpura,197,1/1/2002,1891.256652,3154.194133
"100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru",J P Nagar,177,1/1/2002,1705.601406,2893.525335
"0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru",Madivala,172,1/1/2002,1489.670746,2461.597612
"Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru",Ramamurthy Nagar,26,1/1/2002,2210.997286,3734.744113
"0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru",Horamavu,25,1/1/2002,2119.401378,3522.074151
"0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru",Marathahalli,86,1/1/2002,2521.804124,4193.659885
"BGS Road, Kodipalya, Bengaluru",Hemmigepura,198,1/1/2002,2293.768043,3971.899409
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,4/1/2002,2534.95461,3787.841398
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,4/1/2002,2334.21424,3374.329653
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,4/1/2002,2325.347482,3409.749474
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,4/1/2002,1916.244586,2739.638253
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,4/1/2002,2116.071249,3085.755253
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,4/1/2002,2419.518499,3493.547897
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,4/1/2002,2088.142684,3122.853041
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,4/1/2002,1821.549719,2592.542392
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,4/1/2002,2231.048706,3203.57351
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,4/1/2002,2337.921931,3317.776136
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,4/1/2002,2607.225211,3868.427642
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,4/1/2002,2670.655615,4072.651644
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,4/1/2002,2312.973742,3217.132442
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,4/1/2002,2171.243668,3003.448296
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,4/1/2002,2408.688971,3432.693724
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,4/1/2002,2403.773217,3484.903306
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,4/1/2002,2332.477348,3412.532121
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,4/1/2002,2518.635852,3798.43457
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,4/1/2002,2463.746397,3669.113479
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,4/1/2002,2540.488355,3807.685432
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,4/1/2002,2695.343394,4074.541418
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,4/1/2002,2562.215821,4054.673603
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,4/1/2002,2609.375554,3708.407847
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,4/1/2002,1815.615612,2736.564091
"0 4th Cross Road, H Gurumurthy ReddyColony, Yeshwanthpur, Bengaluru",Yeshwanthpura,37,4/1/2002,1615.527912,2523.534294
"700 Ashwath Katte Road, Yeshwanthpur Suburb II Stage, Peenya, Peenya, Bengaluru",HMT Ward,38,4/1/2002,2025.965743,3189.456756
"Ramanjaneya Temple Road, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru",Lakshmi Devi Nagar,42,4/1/2002,1890.252507,2836.935752
"0 17th Main Road, Narasimhaswamy Nagar, Laggere, Bengaluru",Laggere,69,4/1/2002,2026.265401,2843.669146
"Service Road, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru",Kottegepalya,73,4/1/2002,2326.239007,3477.51882
"Kammagondana Halli Road, Srikrupa Layout, Abbigere, Abbigere, Bengaluru",Shettihalli,12,4/1/2002,2528.311364,3771.98656
"3rd Main, Shetty Halli, Jalahalli West, Bengaluru",Mallasandra,13,4/1/2002,2048.814564,3031.142878
