DISPLAY_NA,WARD_NAME,WARD_NO,date,mean
"Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru",Dodda Nekkundi,85,01/01/00,3.081748038
"2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru",HSR Layout,174,01/01/00,5.704044733
"200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru",Bommanahalli,175,01/01/00,7.003872984
"Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru",Jaraganahalli,186,01/01/00,8.482504292
"0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru",Puttenahalli,187,01/01/00,6.47431333
"100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru",Bilekhalli,188,01/01/00,5.535844799
"0 2nd Cross Road, Hongasandra, Bengaluru",Hongasandra,189,01/01/00,7.730112078
"100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru",Mangammanapalya,190,01/01/00,12.15266093
"Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru",Singasandra,191,01/01/00,14.57586819
"100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru",Arakere,193,01/01/00,4.414635946
"4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru",Uttarahalli,184,01/01/00,2.376881777
"300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru",Yelchenahalli,185,01/01/00,8.49677007
"469/2, Begur, Bengaluru",Begur,192,01/01/00,2.173274795
"1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru",Gottigere,194,01/01/00,2.213872379
"0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru",Konankunte,195,01/01/00,4.60473544
"Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru",Anjanapura,196,01/01/00,1.70258265
"NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru",Kempegowda Ward,1,01/01/00,53.42913427
"0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru",K R Puram,52,01/01/00,3.337212493
"300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru",Jnana Bharathi ward,129,01/01/00,61.30433634
"400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru",Jayanagar East,170,01/01/00,12.36644983
"0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru",Gurappanapalya,171,01/01/00,12.54105494
"500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru",Chikkalsandra,183,01/01/00,10.82459649
"0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru",Vasanthpura,197,01/01/00,5.405810343
"100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru",J P Nagar,177,01/01/00,11.92883413
"0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru",Madivala,172,01/01/00,11.70316733
"Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru",Ramamurthy Nagar,26,01/01/00,1.90843789
"0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru",Horamavu,25,01/01/00,2.761745508
"0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru",Marathahalli,86,01/01/00,2.857266137
"BGS Road, Kodipalya, Bengaluru",Hemmigepura,198,01/01/00,1.396916458
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,01/01/00,61.39348846
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,01/01/00,72.70246852
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,01/01/00,103.9780902
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,01/01/00,5.872220161
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,01/01/00,2.54707329
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,01/01/00,1.659957279
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,01/01/00,5.258170308
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,01/01/00,5.915427889
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,01/01/00,3.344416721
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,01/01/00,4.344160458
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,01/01/00,118.3828847
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,01/01/00,62.41262511
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,01/01/00,24.4383786
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,01/01/00,19.28978255
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,01/01/00,104.7061093
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,01/01/00,123.2717942
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,01/01/00,73.39689152
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,01/01/00,14.82923357
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,01/01/00,3.290417262
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,01/01/00,50.41993599
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,01/01/00,47.60954285
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,01/01/00,99.97308124
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,01/01/00,3.794149917
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,01/01/00,161.0554148
"0 4th Cross Road, H Gurumurthy ReddyColony, Yeshwanthpur, Bengaluru",Yeshwanthpura,37,01/01/00,203.3637963
"700 Ashwath Katte Road, Yeshwanthpur Suburb II Stage, Peenya, Peenya, Bengaluru",HMT Ward,38,01/01/00,166.1361602
"Ramanjaneya Temple Road, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru",Lakshmi Devi Nagar,42,01/01/00,189.2890281
"0 17th Main Road, Narasimhaswamy Nagar, Laggere, Bengaluru",Laggere,69,01/01/00,106.6596204
"Service Road, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru",Kottegepalya,73,01/01/00,110.9157571
"Kammagondana Halli Road, Srikrupa Layout, Abbigere, Abbigere, Bengaluru",Shettihalli,12,01/01/00,57.26911567
"3rd Main, Shetty Halli, Jalahalli West, Bengaluru",Mallasandra,13,01/01/00,101.9625821
"Manjunath Nagar Main Road, Vijayalakshmi Layout, Manjunatha Nagar, Bagalakunte, Bengaluru",Bagalakunte,14,01/01/00,92.18596169
"0 1st Cross Road, Kalahasti Nagar, Prashanth Nagar, T. Dasarahalli, Bengaluru",T Dasarahalli,15,01/01/00,182.4474241
"Andrahalli Main Road, Vidya Nagar, Peenya, Bengaluru",Chokkasandra,39,01/01/00,124.0940487
"400 12th Cross Road, Peenya Industrial Area Phase IV, Peenya, Bengaluru",Peenya Industrial Area,41,01/01/00,187.1139284
"2nd Main Road, Rajagopala Nagar, Peenya, Bengaluru",Rajagopal Nagar,70,01/01/00,119.0753789
"6th Cross Road, Lakshman Nagar, State Bank of India Colony, Bengaluru",Hegganahalli,71,01/01/00,119.7705785
"Sai Residency, Sannakki Bayalu, Vrishabha Nagar, Kamaksipalya, Bengaluru",Vrisabhavathi Nagar,102,01/01/00,232.8296408
"0 5th Cross Road, Panchadeep Colony, Nandini Layout, Bengaluru",Nandini Layout,43,01/01/00,174.42495
"500 9th Cross, APMC Yard, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru",Marappana Palya,44,01/01/00,240.7197815
"Samartha Infosolutions, 3rd Main Road, West of Chord Road 2nd Stage, Nagapura, Bengaluru",Nagapura,67,01/01/00,247.8924614
"0 8th Cross Road, Satyanarayana Layout, Maruthi Nagar, Bengaluru",Mahalakshimpuram,68,01/01/00,257.3391832
"Olety Heritage, 15th Main Road, Maruthi Nagar, Basaweshwara Nagar, Bengaluru",Shakthi Ganapathi Nagar,74,01/01/00,254.3356969
"100 18th Main Road, JC Nagar, Kurubarahalli, Basaweshwara Nagar, Bengaluru",Shankar Matt,75,01/01/00,260.2706849
"94, RMV 2nd Stage, Ashwath Nagar, Armane Nagar, Bengaluru",Aramane Nagara,35,01/01/00,140.1443104
"500 MD Rajsikhar Road, Gokula Extension, Mathikere Extension, Mathikere, Bengaluru",Mattikere,36,01/01/00,209.5566018
"18, Malleshwaram West, Bengaluru",Malleswaram,45,01/01/00,219.6058525
"0 DB Street, M V Block, Guttahalli, Bengaluru",Rajamahal Guttahalli,64,01/01/00,243.4118083
"49, Malleshwaram West, Bengaluru",Kadu Malleshwar Ward,65,01/01/00,267.6038396
"2500 1st Main Road, E block, 2nd Stage, Rajaji Nagar, Bengaluru",Subramanya Nagar,66,01/01/00,236.1160811
"0 2nd Cross Road, Srirampura, Bengaluru",Gayithri Nagar,76,01/01/00,244.9553236
"400 8th Cross Road, RMV 2nd Stage, Dollars Colony, R.M.V. 2nd Stage, Bengaluru",Radhakrishna Temple Ward,18,01/01/00,195.6853052
"0 6th B Cross Road, RMV, Stage 2, Sanjaynagar, Bengaluru",Sanjaya Nagar,19,01/01/00,191.5424931
"Unnamed Road, Sanjaynagar, Bengaluru",Ganga Nagar,20,01/01/00,164.7016137
"Siroya Environ, Chola Nagar, Anandnagar, Hebbal, Bengaluru",Hebbala,21,01/01/00,214.0673071
"Bhuwana Siri Apartments, 10th A Cross Road, Kanaka Nagar, Hebbal, Bengaluru",Vishwanath Nagenahalli,22,01/01/00,181.0891935
"557, Dinnur, Hebbal, Bengaluru",Manorayanapalya,33,01/01/00,244.7823569
"Mandenda Nilayam, 5th Main Road, Ganga Nagar Extension, Ganga Nagar, Bengaluru",Gangenahalli,34,01/01/00,182.9071538
"300 14th Cross Road, 2nd Block, RT Nagar, Bengaluru",Jayachamarajendra Nagar,46,01/01/00,200.9979724
"400 Masjid Road, Kushal Nagar, Kadugondanahalli, Bengaluru",Kushal Nagar,31,01/01/00,254.8385337
"1085, Shampura, Kaval Bairasandra, Bengaluru",Kaval Bairasandra,32,01/01/00,189.3874904
"null4th Cross Road, Modi Garden, Kaval Bairasandra, Bengaluru",Devara Jeevanahalli,47,01/01/00,155.6054158
"100 3rd Cross Road, Dubai Layout, Amar layout, Kaval Bairasandra, Bengaluru",Muneshwara Nagar,48,01/01/00,243.3777185
"0 Davis Road, Sagayapura, Richards Town, Bengaluru",Sagayarapuram,60,01/01/00,221.9521702
"Masjid e Taqwa, S K Garden, Wahid Garden, Benson Town, Bengaluru",S K Garden,61,01/01/00,149.2596428
"0 Coles Road, Cleveland Town, Pulikeshi Nagar, Bengaluru",Pulikeshinagar,78,01/01/00,221.7204219
"creative elegance, 2nd A Cross, Vyalikaval HBCS Layout, Nagavara, Bengaluru",Nagavara,23,01/01/00,172.0079955
"SRI NILAYAM #574, 15th Main Road, 5th Block, Telecom Layout, HBR Layout, Bengaluru",HBR Layout,24,01/01/01,157.6691965
"800 2nd Cross Road, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru",Banasavadi,27,01/01/01,8.436380109
"MM Buildings, Kammanahalli Main Road, Ramaswamipalya, Lingarajapuram, Bengaluru",Kammanahalli,28,01/01/01,170.1739541
"300 3rd Cross Road, Indra Nagar, Kacharakanahalli, Bengaluru",Kacharkanahalli,29,01/01/01,201.8640926
"0 5th Cross Road, Vinobha Nagar, Kadugondanahalli, Bengaluru",Kadugondanahalli,30,01/01/01,217.9095776
"0 Lokesh Tent Main Road, Lingarajapura Village, Lingarajapuram, Bengaluru",Lingarajapura,49,01/01/01,251.8005259
"Saijothi, 1st Cross Road, D Costa Layout, Cooke Town, Bengaluru",Maruthi Seva Nagar,59,01/01/01,146.466923
"Oxford Spires, Rustum Bagh Main Road, Rustam Bagh Layout, Bengaluru",Konena Agrahara,113,01/01/01,5.198471006
"0 1st Cross Road, Sadanandanagar, Bennigana Halli, Bengaluru",Benniganahalli,50,01/01/01,4.226870244
"C6/10, C6/10, 1st Phase, C V Raman Nagar, Bengaluru",C V Raman Nagar,57,01/01/01,4.635354295
"Lalit Residency, 1st Cross Street, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru",New Tippasandara,58,01/01/01,5.845917248
"Saint Johns Church Cemetry Road, Kalhalli, Ulsoor, Bengaluru",Sarvagna Nagar,79,01/01/01,97.57276441
"25/6, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru",Hoysala Nagar,80,01/01/01,106.8562288
"Pavan Enclave, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru",Jeevanbhima Nagar,88,01/01/01,6.236039402
"0 Doctor Ambedkar Veedhi, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru",Sampangiram Nagar,110,01/01/01,191.2145597
"0 3rd Cross Road, Munimarappa Garden, J.C.Nagar, Bengaluru",Ramaswamy Palya,62,01/01/01,180.9441548
"1st Cross Road, Nandi Durga Road Extension, Jayamahal, Bengaluru",Jayamahal,63,01/01/01,211.7596122
"Kensington Road, Ulsoor, Bengaluru",Halsoor,90,01/01/01,209.9064339
"0 Fruit Street Road, 1st Block, Bharati Nagar, Shivaji Nagar, Bengaluru",Bharathi Nagar,91,01/01/01,220.9742733
"Barkat Manzil, Sulthangunta, Shivaji Nagar, Bengaluru",Shivaji Nagar,92,01/01/01,253.4134291
"0 Sankey Road, Abshot Layout, Vasanth Nagar, Bengaluru",Vasanth Nagar,93,01/01/01,190.9744275
"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",Shantala Nagar,111,01/01/01,217.6310544
"0 12th Cross Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru",Domlur,112,01/01/01,144.4815877
"Intermediate Ring Road, Ejipura, Bengaluru",Agaram,114,01/01/01,79.28849816
"100 Lower Agaram Road, Rose Garden, Vannarpet Layout, Viveka Nagar, Bengaluru",Vannarpet,115,01/01/01,187.6575421
"Rose Garden 7th A Cross, Rose Garden, Richard Xavier's colony, Neelasandra, Bengaluru",Nilasandra,116,01/01/01,79.98033206
