DISPLAY_NA,WARD_NAME,WARD_NO,date,maximum_2m_air_temperature,minimum_2m_air_temperature
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,1980-01-01T00:00:00,305.4678484,288.0856164
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,1980-01-01T00:00:00,305.6688294,288.1386146
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,1980-01-01T00:00:00,305.6798096,288.14151
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,1980-01-01T00:00:00,305.6798096,288.14151
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,1980-01-01T00:00:00,305.3522949,288.0551453
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,1980-01-01T00:00:00,305.3522949,288.0551453
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,1980-01-01T00:00:00,305.3522949,288.0551453
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,1980-01-01T00:00:00,305.3522949,288.0551453
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,1980-01-01T00:00:00,305.3522949,288.0551453
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,1980-01-01T00:00:00,305.3522949,288.0551453
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,1980-01-01T00:00:00,305.3522949,288.0551453
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,1980-01-01T00:00:00,306.0047483,288.3247305
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,1980-01-01T00:00:00,306.0047607,288.3247375
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,1980-01-01T00:00:00,305.732059,288.3958624
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,1980-01-01T00:00:00,305.9970221,288.3263412
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,1980-01-01T00:00:00,305.3522949,288.0551453
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,1980-01-01T00:00:00,305.6798096,288.14151
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,1980-01-01T00:00:00,305.3522949,288.0551453
"0 4th Cross Road, H Gurumurthy ReddyColony, Yeshwanthpur, Bengaluru",Yeshwanthpura,37,1980-01-01T00:00:00,305.3522949,288.0551453
"700 Ashwath Katte Road, Yeshwanthpur Suburb II Stage, Peenya, Peenya, Bengaluru",HMT Ward,38,1980-01-01T00:00:00,305.3522949,288.0551453
"Ramanjaneya Temple Road, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru",Lakshmi Devi Nagar,42,1980-01-01T00:00:00,305.3522949,288.0551453
"0 17th Main Road, Narasimhaswamy Nagar, Laggere, Bengaluru",Laggere,69,1980-01-01T00:00:00,305.3525501,288.0552126
"Service Road, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru",Kottegepalya,73,1980-01-01T00:00:00,305.6665428,288.1380116
"Kammagondana Halli Road, Srikrupa Layout, Abbigere, Abbigere, Bengaluru",Shettihalli,12,1980-01-01T00:00:00,305.3539112,288.0568542
"3rd Main, Shetty Halli, Jalahalli West, Bengaluru",Mallasandra,13,1980-01-01T00:00:00,305.3522949,288.0551453
"Manjunath Nagar Main Road, Vijayalakshmi Layout, Manjunatha Nagar, Bagalakunte, Bengaluru",Bagalakunte,14,1980-01-01T00:00:00,305.5234363,288.2361024
"0 1st Cross Road, Kalahasti Nagar, Prashanth Nagar, T. Dasarahalli, Bengaluru",T Dasarahalli,15,1980-01-01T00:00:00,305.3522949,288.0551453
"Andrahalli Main Road, Vidya Nagar, Peenya, Bengaluru",Chokkasandra,39,1980-01-01T00:00:00,305.4267523,288.1338731
"400 12th Cross Road, Peenya Industrial Area Phase IV, Peenya, Bengaluru",Peenya Industrial Area,41,1980-01-01T00:00:00,305.3989081,288.1044319
"2nd Main Road, Rajagopala Nagar, Peenya, Bengaluru",Rajagopal Nagar,70,1980-01-01T00:00:00,305.385787,288.063977
"6th Cross Road, Lakshman Nagar, State Bank of India Colony, Bengaluru",Hegganahalli,71,1980-01-01T00:00:00,305.5834794,288.2007558
"Sai Residency, Sannakki Bayalu, Vrishabha Nagar, Kamaksipalya, Bengaluru",Vrisabhavathi Nagar,102,1980-01-01T00:00:00,305.6798096,288.14151
"0 5th Cross Road, Panchadeep Colony, Nandini Layout, Bengaluru",Nandini Layout,43,1980-01-01T00:00:00,305.3522949,288.0551453
"500 9th Cross, APMC Yard, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru",Marappana Palya,44,1980-01-01T00:00:00,305.3522949,288.0551453
"Samartha Infosolutions, 3rd Main Road, West of Chord Road 2nd Stage, Nagapura, Bengaluru",Nagapura,67,1980-01-01T00:00:00,305.4066788,288.0694862
"0 8th Cross Road, Satyanarayana Layout, Maruthi Nagar, Bengaluru",Mahalakshimpuram,68,1980-01-01T00:00:00,305.3522949,288.0551453
"Olety Heritage, 15th Main Road, Maruthi Nagar, Basaweshwara Nagar, Bengaluru",Shakthi Ganapathi Nagar,74,1980-01-01T00:00:00,305.6798096,288.14151
"100 18th Main Road, JC Nagar, Kurubarahalli, Basaweshwara Nagar, Bengaluru",Shankar Matt,75,1980-01-01T00:00:00,305.519008,288.0991071
"94, RMV 2nd Stage, Ashwath Nagar, Armane Nagar, Bengaluru",Aramane Nagara,35,1980-01-01T00:00:00,305.3752004,288.0611854
"500 MD Rajsikhar Road, Gokula Extension, Mathikere Extension, Mathikere, Bengaluru",Mattikere,36,1980-01-01T00:00:00,305.3522949,288.0551453
"18, Malleshwaram West, Bengaluru",Malleswaram,45,1980-01-01T00:00:00,305.3522949,288.0551453
"0 DB Street, M V Block, Guttahalli, Bengaluru",Rajamahal Guttahalli,64,1980-01-01T00:00:00,305.4355416,288.0770972
"49, Malleshwaram West, Bengaluru",Kadu Malleshwar Ward,65,1980-01-01T00:00:00,305.4294878,288.0755008
"2500 1st Main Road, E block, 2nd Stage, Rajaji Nagar, Bengaluru",Subramanya Nagar,66,1980-01-01T00:00:00,305.3522949,288.0551453
"0 2nd Cross Road, Srirampura, Bengaluru",Gayithri Nagar,76,1980-01-01T00:00:00,305.6229168,288.1265075
"400 8th Cross Road, RMV 2nd Stage, Dollars Colony, R.M.V. 2nd Stage, Bengaluru",Radhakrishna Temple Ward,18,1980-01-01T00:00:00,305.3522949,288.0551453
"0 6th B Cross Road, RMV, Stage 2, Sanjaynagar, Bengaluru",Sanjaya Nagar,19,1980-01-01T00:00:00,305.3522949,288.0551453
"Unnamed Road, Sanjaynagar, Bengaluru",Ganga Nagar,20,1980-01-01T00:00:00,305.3522949,288.0551453
"Siroya Environ, Chola Nagar, Anandnagar, Hebbal, Bengaluru",Hebbala,21,1980-01-01T00:00:00,305.3522949,288.0551453
"Bhuwana Siri Apartments, 10th A Cross Road, Kanaka Nagar, Hebbal, Bengaluru",Vishwanath Nagenahalli,22,1980-01-01T00:00:00,305.3522949,288.0551453
"557, Dinnur, Hebbal, Bengaluru",Manorayanapalya,33,1980-01-01T00:00:00,305.3522949,288.0551453
"Mandenda Nilayam, 5th Main Road, Ganga Nagar Extension, Ganga Nagar, Bengaluru",Gangenahalli,34,1980-01-01T00:00:00,305.3522949,288.0551453
"300 14th Cross Road, 2nd Block, RT Nagar, Bengaluru",Jayachamarajendra Nagar,46,1980-01-01T00:00:00,305.3522949,288.0551453
"400 Masjid Road, Kushal Nagar, Kadugondanahalli, Bengaluru",Kushal Nagar,31,1980-01-01T00:00:00,305.3522949,288.0551453
"1085, Shampura, Kaval Bairasandra, Bengaluru",Kaval Bairasandra,32,1980-01-01T00:00:00,305.3522949,288.0551453
"null4th Cross Road, Modi Garden, Kaval Bairasandra, Bengaluru",Devara Jeevanahalli,47,1980-01-01T00:00:00,305.3522949,288.0551453
"100 3rd Cross Road, Dubai Layout, Amar layout, Kaval Bairasandra, Bengaluru",Muneshwara Nagar,48,1980-01-01T00:00:00,305.3522949,288.0551453
"0 Davis Road, Sagayapura, Richards Town, Bengaluru",Sagayarapuram,60,1980-01-01T00:00:00,305.3522949,288.0551453
"Masjid e Taqwa, S K Garden, Wahid Garden, Benson Town, Bengaluru",S K Garden,61,1980-01-01T00:00:00,305.3758769,288.0613638
"0 Coles Road, Cleveland Town, Pulikeshi Nagar, Bengaluru",Pulikeshinagar,78,1980-01-01T00:00:00,305.6427761,288.1317444
"creative elegance, 2nd A Cross, Vyalikaval HBCS Layout, Nagavara, Bengaluru",Nagavara,23,1980-01-01T00:00:00,305.3522949,288.0551453
"SRI NILAYAM #574, 15th Main Road, 5th Block, Telecom Layout, HBR Layout, Bengaluru",HBR Layout,24,1980-01-01T00:00:00,305.3522949,288.0551453
"800 2nd Cross Road, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru",Banasavadi,27,1980-01-01T00:00:00,305.3522949,288.0551453
"MM Buildings, Kammanahalli Main Road, Ramaswamipalya, Lingarajapuram, Bengaluru",Kammanahalli,28,1980-01-01T00:00:00,305.3522949,288.0551453
"300 3rd Cross Road, Indra Nagar, Kacharakanahalli, Bengaluru",Kacharkanahalli,29,1980-01-01T00:00:00,305.3522949,288.0551453
"0 5th Cross Road, Vinobha Nagar, Kadugondanahalli, Bengaluru",Kadugondanahalli,30,1980-01-01T00:00:00,305.3522949,288.0551453
"0 Lokesh Tent Main Road, Lingarajapura Village, Lingarajapuram, Bengaluru",Lingarajapura,49,1980-01-01T00:00:00,305.3522949,288.0551453
"Saijothi, 1st Cross Road, D Costa Layout, Cooke Town, Bengaluru",Maruthi Seva Nagar,59,1980-01-01T00:00:00,305.5232325,288.100221
"Oxford Spires, Rustum Bagh Main Road, Rustam Bagh Layout, Bengaluru",Konena Agrahara,113,1980-01-01T00:00:00,305.6798096,288.14151
"0 1st Cross Road, Sadanandanagar, Bennigana Halli, Bengaluru",Benniganahalli,50,1980-01-01T00:00:00,305.5228313,288.1001153
"C6/10, C6/10, 1st Phase, C V Raman Nagar, Bengaluru",C V Raman Nagar,57,1980-01-01T00:00:00,305.6798096,288.14151
"Lalit Residency, 1st Cross Street, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru",New Tippasandara,58,1980-01-01T00:00:00,305.6798096,288.14151
"Saint Johns Church Cemetry Road, Kalhalli, Ulsoor, Bengaluru",Sarvagna Nagar,79,1980-01-01T00:00:00,305.6798096,288.14151
"25/6, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru",Hoysala Nagar,80,1980-01-01T00:00:00,305.6798096,288.14151
"Pavan Enclave, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru",Jeevanbhima Nagar,88,1980-01-01T00:00:00,305.6798096,288.14151
"0 Doctor Ambedkar Veedhi, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru",Sampangiram Nagar,110,1980-01-01T00:00:00,305.6798096,288.14151
"0 3rd Cross Road, Munimarappa Garden, J.C.Nagar, Bengaluru",Ramaswamy Palya,62,1980-01-01T00:00:00,305.3522949,288.0551453
"1st Cross Road, Nandi Durga Road Extension, Jayamahal, Bengaluru",Jayamahal,63,1980-01-01T00:00:00,305.6249853,288.127053
"Kensington Road, Ulsoor, Bengaluru",Halsoor,90,1980-01-01T00:00:00,305.6798096,288.14151
"0 Fruit Street Road, 1st Block, Bharati Nagar, Shivaji Nagar, Bengaluru",Bharathi Nagar,91,1980-01-01T00:00:00,305.6798096,288.14151
