date,mean,month,year,week
2020-05-18,-0.9886946657559524,5.0,2020.0,21
2020-05-25,-0.7186396128750001,5.0,2020.0,22
2020-06-01,-1.1988198536488095,5.142857142857143,2020.0,23
2020-06-08,-1.1949286995059523,6.0,2020.0,24
2020-06-15,-1.3562265789464285,6.0,2020.0,25
2020-06-22,-1.2470278695535713,6.0,2020.0,26
2020-06-29,-1.483993258047619,6.0,2020.0,27
2020-07-06,-1.3283467524375,6.833333333333333,2020.0,28
2020-07-13,-1.221306786845238,7.0,2020.0,29
2020-07-20,-1.2215052570902778,7.0,2020.0,30
2020-07-27,-1.3264414001190479,7.0,2020.0,31
2020-08-03,-1.3660600406944443,7.5,2020.0,32
2020-08-10,-1.2840031062678572,8.0,2020.0,33
2020-08-17,-0.8121859715535714,8.0,2020.0,34
2020-08-24,-1.239447062095238,8.0,2020.0,35
2020-08-31,-1.0337011629642858,8.0,2020.0,36
2020-09-07,-1.448171056,9.0,2020.0,37
2020-09-14,-1.6147576292678572,9.0,2020.0,38
2020-09-21,-1.3927328675892858,9.0,2020.0,39
2020-09-28,-1.5351792958571426,9.0,2020.0,40
2020-10-05,-1.4412834381904764,9.714285714285714,2020.0,41
2020-10-12,-1.2722035724464285,10.0,2020.0,42
2020-10-19,-1.1621754529999995,10.0,2020.0,43
