date,mean,Ward_No,month,year,week
2020-03-02,-1.361687180430348,34.0,2.3333333333333335,2020.0,10
2020-03-09,-1.4327502373432839,34.0,3.0,2020.0,11
2020-03-16,-1.4599608924154228,34.0,3.0,2020.0,12
2020-03-23,-0.8518070026247335,34.0,3.0,2020.0,13
2020-03-30,-1.5818036251257994,34.0,3.0,2020.0,14
2020-04-06,-1.4443361761940297,34.0,3.857142857142857,2020.0,15
2020-04-13,-0.7733573815074628,34.0,4.0,2020.0,16
2020-04-20,-0.6832800452814497,34.0,4.0,2020.0,17
2020-04-27,-0.9977455306226012,34.0,4.0,2020.0,18
2020-05-04,-1.1835393707057569,34.0,4.571428571428571,2020.0,19
2020-05-11,-0.9329862013496802,34.0,5.0,2020.0,20
2020-05-18,-1.4140768081279316,34.0,5.0,2020.0,21
2020-05-25,-0.7323543414669514,34.0,5.0,2020.0,22
2020-06-01,-0.8908413960703624,34.0,5.142857142857143,2020.0,23
2020-06-08,-1.7470756962196166,34.0,6.0,2020.0,24
2020-06-15,-1.2169312013816627,34.0,6.0,2020.0,25
2020-06-22,-1.3842483755820896,34.0,6.0,2020.0,26
2020-06-29,-1.3539693778891255,34.0,6.0,2020.0,27
2020-07-06,-1.211646758104478,34.0,6.833333333333333,2020.0,28
2020-07-13,-1.4239578472857146,34.0,7.0,2020.0,29
2020-07-20,-1.4309212279228856,34.0,7.0,2020.0,30
2020-07-27,-1.4763686466925372,34.0,7.0,2020.0,31
2020-08-03,-1.55416092982587,34.0,7.5,2020.0,32
2020-08-10,-1.423633609409382,34.0,8.0,2020.0,33
2020-08-17,-1.4460726188656716,34.0,8.0,2020.0,34
2020-08-24,-1.4958312533688702,34.0,8.0,2020.0,35
2020-08-31,-1.5365615878017054,34.0,8.0,2020.0,36
2020-09-07,-1.7850290916737745,34.0,9.0,2020.0,37
2020-09-14,-1.5028041694285712,34.0,9.0,2020.0,38
2020-09-21,-1.4118217383240939,34.0,9.0,2020.0,39
2020-09-28,-1.847646496733476,34.0,9.0,2020.0,40
2020-10-05,-1.3634376303006392,34.0,9.714285714285714,2020.0,41
2020-10-12,-1.0540222427206827,34.0,10.0,2020.0,42
2020-10-19,-1.4101264632985067,34.0,10.0,2020.0,43
