date,Ward_No,mean,month,year,week
2020-03-02,100.32501889644746,-1.5124899910248188,2.2857142857142856,2020.0,10
2020-03-09,100.0,-1.445609124901919,3.0,2020.0,11
2020-03-16,100.0,-1.2678268691542285,3.0,2020.0,12
2020-03-23,100.0,-1.2384069339523813,3.0,2020.0,13
2020-03-30,100.0,-1.2037337484705046,3.0,2020.0,14
2020-04-06,100.0,-1.4125663803681594,3.857142857142857,2020.0,15
2020-04-13,100.0,-1.2349543804968008,4.0,2020.0,16
2020-04-20,100.0,-0.9338495739808099,4.0,2020.0,17
2020-04-27,100.0,-1.2288219965103053,4.0,2020.0,18
2020-05-04,100.0,-1.0916195379132907,4.571428571428571,2020.0,19
2020-05-11,100.0,-1.2377371009609093,5.0,2020.0,20
2020-05-18,100.0,-1.6949659307931775,5.0,2020.0,21
2020-05-25,100.0,-0.5615407623212507,5.0,2020.0,22
2020-06-01,100.0,-1.3820827785202563,5.142857142857143,2020.0,23
2020-06-08,100.0,-1.4107939455358915,6.0,2020.0,24
2020-06-15,100.0,-1.1480945038692247,6.0,2020.0,25
2020-06-22,100.0,-1.2206361186936743,6.0,2020.0,26
2020-06-29,100.0,-1.5033061402224597,6.0,2020.0,27
2020-07-06,100.0,-1.3249064633524048,6.833333333333333,2020.0,28
2020-07-13,100.0,-1.3889036784470505,7.0,2020.0,29
2020-07-20,100.0,-1.1211189172653402,7.0,2020.0,30
2020-07-27,100.0,-1.4019060025679921,7.0,2020.0,31
2020-08-03,100.0,-1.0284316787429524,7.5,2020.0,32
2020-08-10,100.0,-1.5847011428180533,8.0,2020.0,33
2020-08-17,100.0,-1.2057648616922538,8.0,2020.0,34
2020-08-24,100.0,-1.4759204797562187,8.0,2020.0,35
2020-08-31,100.0,-1.6677143461613362,8.0,2020.0,36
2020-09-07,100.0,-1.566294880841507,9.0,2020.0,37
2020-09-14,100.0,-1.4474705672110875,9.0,2020.0,38
2020-09-21,100.0,-1.4430731121670226,9.0,2020.0,39
2020-09-28,100.0,-1.6732017529893384,9.0,2020.0,40
2020-10-05,100.0,-1.3715874549111577,9.714285714285714,2020.0,41
2020-10-12,100.0,-1.4638823389687279,10.0,2020.0,42
2020-10-19,100.0,-1.8101643525522386,10.0,2020.0,43
