date,mean,Ward_No,month,year,week
2018-07-16,-0.8960129490666667,8.0,7.0,2018.0,29
2018-07-23,-0.48063701250000007,8.0,7.0,2018.0,30
2018-07-30,-0.4177619757428572,8.0,7.0,2018.0,31
2018-08-06,0.27831568139999996,8.0,7.857142857142857,2018.0,32
2018-08-13,-0.33934035583333333,8.0,8.0,2018.0,33
2018-08-20,0.045644670295238075,8.0,8.0,2018.0,34
2018-08-27,-0.7658980906380951,8.0,8.0,2018.0,35
2018-09-03,-0.8260710990190478,8.0,8.428571428571429,2018.0,36
2018-09-10,-0.9209463860285714,8.0,9.0,2018.0,37
2018-09-17,-1.1902340597714285,8.0,9.0,2018.0,38
2018-09-24,-1.2906526588476193,8.0,9.0,2018.0,39
2018-10-01,-1.0701295074444446,8.0,9.166666666666666,2018.0,40
2018-10-08,-0.879177355811111,8.0,10.0,2018.0,41
2018-10-15,-0.785294587847619,8.0,10.0,2018.0,42
2018-10-22,-1.1632571089619048,8.0,10.0,2018.0,43
2018-10-29,-0.8707585406555554,8.0,10.0,2018.0,44
2018-11-05,-0.8697866313714284,8.0,10.714285714285714,2018.0,45
2018-11-12,-0.7869449567333335,8.0,11.0,2018.0,46
2018-11-19,-0.8873363024190476,8.0,11.0,2018.0,47
2018-11-26,-0.8888853085999999,8.0,11.0,2018.0,48
2018-12-03,-0.7220237616857144,8.0,11.428571428571429,2018.0,49
2018-12-10,-0.8553955069000002,8.0,12.0,2018.0,50
2018-12-17,-0.6275601469666666,8.0,12.0,2018.0,51
2018-12-24,-0.9778216115523809,8.0,12.0,2018.0,52
2018-12-31,-1.0176050894,8.0,12.0,2018.0,1
2019-01-07,-0.5285130435238096,8.0,1.0,2019.0,2
2019-01-14,-0.5168781291142858,8.0,1.0,2019.0,3
2019-01-21,-0.7388433417333333,8.0,1.0,2019.0,4
2019-01-28,-0.7718056764952381,8.0,1.0,2019.0,5
2019-02-04,-0.5645137240190475,8.0,1.5714285714285714,2019.0,6
2019-02-11,-0.6120246782761906,8.0,2.0,2019.0,7
2019-02-18,-0.6339972236476191,8.0,2.0,2019.0,8
2019-02-25,-0.6237652133904762,8.0,2.0,2019.0,9
2019-03-04,-0.35081670939047616,8.0,2.5714285714285716,2019.0,10
2019-03-11,-0.3660343482444444,8.0,3.0,2019.0,11
2019-03-18,-0.4648208271428572,8.0,3.0,2019.0,12
2019-03-25,-0.3895577057428571,8.0,3.0,2019.0,13
2019-04-01,-0.24024735612222217,8.0,3.1666666666666665,2019.0,14
2019-04-08,-0.4005799976476191,8.0,4.0,2019.0,15
2019-04-15,-0.45445863931428576,8.0,4.0,2019.0,16
2019-04-22,-0.6490082535904761,8.0,4.0,2019.0,17
2019-04-29,-0.46506014011428576,8.0,4.0,2019.0,18
2019-05-06,-0.34150818472380956,8.0,4.857142857142857,2019.0,19
2019-05-13,-0.5157042002285716,8.0,5.0,2019.0,20
2019-05-20,-0.4116873652666667,8.0,5.0,2019.0,21
2019-05-27,-0.4516629373142858,8.0,5.0,2019.0,22
2019-06-03,-0.4039256310555555,8.0,5.333333333333333,2019.0,23
2019-06-10,-0.678490149152381,8.0,6.0,2019.0,24
2019-06-17,-0.8820763002571427,8.0,6.0,2019.0,25
2019-06-24,-0.9326140405904761,8.0,6.0,2019.0,26
2019-07-01,-0.9407768076857143,8.0,6.142857142857143,2019.0,27
2019-07-08,-1.0445394622666666,8.0,7.0,2019.0,28
2019-07-15,-0.9030199967111111,8.0,7.0,2019.0,29
2019-07-22,-1.2537108096952383,8.0,7.0,2019.0,30
2019-07-29,-1.0026744207619047,8.0,7.0,2019.0,31
2019-08-05,-0.8972330258476191,8.0,7.714285714285714,2019.0,32
2019-08-12,-0.37191435272380957,8.0,8.0,2019.0,33
2019-08-19,-0.8905200339904764,8.0,8.0,2019.0,34
2019-08-26,-1.0453809922190476,8.0,8.0,2019.0,35
2019-09-02,-1.556881604514286,8.0,8.285714285714286,2019.0,36
2019-09-09,-1.3320474248380951,8.0,9.0,2019.0,37
2019-09-16,-1.122412631952381,8.0,9.0,2019.0,38
2019-09-23,-1.4316129782761904,8.0,9.0,2019.0,39
2019-09-30,-1.584666092304762,8.0,9.0,2019.0,40
2019-10-07,-1.2349009436476188,8.0,10.0,2019.0,41
2019-10-14,-1.6916056760952376,8.0,10.0,2019.0,42
2019-10-21,-1.2357415602476187,8.0,10.0,2019.0,43
2019-10-28,-0.9755117101142856,8.0,10.0,2019.0,44
2019-11-04,-1.2236136259714283,8.0,10.571428571428571,2019.0,45
2019-11-11,-1.485851614352381,8.0,11.0,2019.0,46
2019-11-18,-1.339923411266667,8.0,11.0,2019.0,47
2019-11-25,-1.6160431267666664,8.0,11.0,2019.0,48
2019-12-02,-1.3987078192952382,8.0,11.285714285714286,2019.0,49
2019-12-09,-1.2563852730380953,8.0,12.0,2019.0,50
2019-12-16,-1.3347654297047618,8.0,12.0,2019.0,51
2019-12-23,-1.257944044114286,8.0,12.0,2019.0,52
2019-12-30,-1.1849546542190477,8.0,12.0,2019.0,1
2020-01-06,-1.1834252295142857,8.0,2.5714285714285716,2019.857142857143,2
2020-01-13,-1.5208486254952382,8.0,1.0,2020.0,3
2020-01-20,-1.2734374613333332,8.0,1.0,2020.0,4
2020-01-27,-1.1263011561714285,8.0,1.0,2020.0,5
2020-02-03,-1.2810580303333334,8.0,1.3333333333333333,2020.0,6
2020-02-10,-1.4872085981714285,8.0,2.0,2020.0,7
2020-02-17,-1.263341869211111,8.0,2.0,2020.0,8
2020-02-24,-1.1387948771047618,8.0,2.0,2020.0,9
2020-03-02,-1.1929013060952383,8.0,2.2857142857142856,2020.0,10
2020-03-09,-0.7897725401714286,8.0,3.0,2020.0,11
2020-03-16,-1.1187456022933333,8.0,3.0,2020.0,12
2020-03-23,-0.9603230399619048,8.0,3.0,2020.0,13
2020-03-30,-1.154889090504762,8.0,3.0,2020.0,14
2020-04-06,-1.0217008779238097,8.0,3.857142857142857,2020.0,15
2020-04-13,-0.929503140847619,8.0,4.0,2020.0,16
2020-04-20,-0.7024310971523811,8.0,4.0,2020.0,17
2020-04-27,-0.7765888568000001,8.0,4.0,2020.0,18
2020-05-04,-0.8554623223714286,8.0,4.571428571428571,2020.0,19
2020-05-11,-0.6898389819333334,8.0,5.0,2020.0,20
2020-05-18,-0.9446267588190477,8.0,5.0,2020.0,21
2020-05-25,-0.6228262291333334,8.0,5.0,2020.0,22
2020-06-01,-1.1249117440190477,8.0,5.142857142857143,2020.0,23
2020-06-08,-1.2208064232190476,8.0,6.0,2020.0,24
2020-06-15,-1.3751835291714285,8.0,6.0,2020.0,25
2020-06-22,-1.4448669586761904,8.0,6.0,2020.0,26
2020-06-29,-1.4849116188380953,8.0,6.0,2020.0,27
2020-07-06,-1.3796313075999997,8.0,6.833333333333333,2020.0,28
2020-07-13,-1.4930627319809524,8.0,7.0,2020.0,29
2020-07-20,-1.5846540297222222,8.0,7.0,2020.0,30
2020-07-27,-1.3086745989904764,8.0,7.0,2020.0,31
2020-08-03,-1.1227441668777776,8.0,7.5,2020.0,32
2020-08-10,-1.6378877315238096,8.0,8.0,2020.0,33
2020-08-17,-0.8670401672571427,8.0,8.0,2020.0,34
2020-08-24,-1.3536805489428574,8.0,8.0,2020.0,35
2020-08-31,-1.4744485567619048,8.0,8.0,2020.0,36
2020-09-07,-1.5928291989428573,8.0,9.0,2020.0,37
2020-09-14,-1.9171141429142857,8.0,9.0,2020.0,38
2020-09-21,-1.6257376245428572,8.0,9.0,2020.0,39
2020-09-28,-1.3801338562571428,8.0,9.0,2020.0,40
2020-10-05,-1.6255096680571433,8.0,9.714285714285714,2020.0,41
