STATE_UT,date,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature
ANDAMAN & NICOBAR ISLAND,7/1/2015,302.1026195,300.4436885,298.85468
ANDAMAN & NICOBAR ISLAND,10/1/2015,302.2976556,300.4248088,298.3936
ANDAMAN & NICOBAR ISLAND,1/1/2016,302.3277694,300.2719461,298.1974
ANDAMAN & NICOBAR ISLAND,4/1/2016,303.9951143,301.8768443,299.64334
ANDAMAN & NICOBAR ISLAND,7/1/2016,302.1878823,300.5927428,298.85516
ANDAMAN & NICOBAR ISLAND,10/1/2016,301.9952632,300.2586036,298.3898
ANDAMAN & NICOBAR ISLAND,1/1/2017,301.8844826,300.0025204,297.7234
ANDAMAN & NICOBAR ISLAND,4/1/2017,302.9456009,301.225963,299.18515
ANDAMAN & NICOBAR ISLAND,7/1/2017,302.0225202,300.4534318,298.74603
ANDAMAN & NICOBAR ISLAND,10/1/2017,302.009506,300.2699498,298.43506
ANDAMAN & NICOBAR ISLAND,1/1/2018,301.787572,299.854575,297.75037
ANDAMAN & NICOBAR ISLAND,4/1/2018,302.9314824,301.0583792,298.8321
ANDAMAN & NICOBAR ISLAND,7/1/2018,301.9749293,300.3901739,298.74954
ANDAMAN & NICOBAR ISLAND,10/1/2018,302.3007876,300.2783013,298.21118
ANDAMAN & NICOBAR ISLAND,1/1/2019,302.0545216,300.2469065,298.26947
ANDAMAN & NICOBAR ISLAND,4/1/2019,303.3893731,301.3823067,299.3337
ANDAMAN & NICOBAR ISLAND,7/1/2019,302.1363582,300.5211853,298.78192
ANDAMAN & NICOBAR ISLAND,10/1/2019,302.176958,300.3964899,298.29306
ANDAMAN & NICOBAR ISLAND,1/1/2020,302.0545565,300.0529765,297.58194
ANDAMAN & NICOBAR ISLAND,4/1/2020,303.1965115,301.2774952,299.2513
ANDHRA PRADESH,1/1/2000,307.248827,298.7262049,289.88336
ANDHRA PRADESH,4/1/2000,312.4387026,303.5956157,296.50137
ANDHRA PRADESH,7/1/2000,306.9288442,300.2609211,296.04843
ANDHRA PRADESH,10/1/2000,304.9661187,297.6209837,289.60504
ANDHRA PRADESH,1/1/2001,308.2954672,299.0445046,289.63654
ANDHRA PRADESH,4/1/2001,312.6488382,303.8701061,296.9745
ANDHRA PRADESH,7/1/2001,307.5740325,300.8076178,296.34775
ANDHRA PRADESH,10/1/2001,304.774747,297.629048,290.37982
ANDHRA PRADESH,1/1/2002,308.1033873,298.8981246,290.37537
ANDHRA PRADESH,4/1/2002,312.9509694,304.4092478,297.39075
ANDHRA PRADESH,7/1/2002,308.0168174,301.2023516,296.2081
ANDHRA PRADESH,10/1/2002,306.1457574,297.7766437,289.7416
ANDHRA PRADESH,1/1/2003,308.0806682,299.1699418,290.73483
ANDHRA PRADESH,4/1/2003,315.105297,305.3569184,297.6873
ANDHRA PRADESH,7/1/2003,306.9323592,300.6785353,296.64432
ANDHRA PRADESH,10/1/2003,304.7596662,297.4149635,289.8646
ANDHRA PRADESH,1/1/2004,307.9767175,298.6112497,289.52557
ANDHRA PRADESH,4/1/2004,312.6501045,303.6833516,297.13916
ANDHRA PRADESH,7/1/2004,307.6537018,300.6466972,296.21924
ANDHRA PRADESH,10/1/2004,304.8202567,297.4496951,289.82156
ANDHRA PRADESH,1/1/2005,308.4520729,299.3605469,290.42758
ANDHRA PRADESH,4/1/2005,313.716908,304.6197096,297.09668
ANDHRA PRADESH,7/1/2005,307.3865009,300.4927434,296.1378
ANDHRA PRADESH,10/1/2005,304.2985578,296.9469608,289.93527
ANDHRA PRADESH,1/1/2006,308.6527837,298.5589846,289.46582
ANDHRA PRADESH,4/1/2006,312.6149157,303.7773623,296.6525
ANDHRA PRADESH,7/1/2006,307.6151792,300.9279169,296.08325
ANDHRA PRADESH,10/1/2006,304.9689421,297.8800592,291.11618
ANDHRA PRADESH,1/1/2007,307.7801966,298.7486371,290.17303
ANDHRA PRADESH,4/1/2007,313.0683961,303.9512967,297.17444
ANDHRA PRADESH,7/1/2007,306.6515422,300.6480588,296.6637
ANDHRA PRADESH,10/1/2007,305.8267106,297.6660554,289.4172
ANDHRA PRADESH,1/1/2008,306.951376,298.402211,289.88812
ANDHRA PRADESH,4/1/2008,312.9411497,304.0119519,297.0751
ANDHRA PRADESH,7/1/2008,307.3581163,300.5729297,295.94138
ANDHRA PRADESH,10/1/2008,305.6658435,297.9024886,289.8104
ANDHRA PRADESH,1/1/2009,309.2784662,299.3593111,291.25034
ANDHRA PRADESH,4/1/2009,313.5697095,304.7806741,297.315
ANDHRA PRADESH,7/1/2009,308.4972749,301.3438938,296.72073
ANDHRA PRADESH,10/1/2009,305.8156311,298.1991272,290.3813
ANDHRA PRADESH,1/1/2010,308.014627,299.3177587,291.0333
ANDHRA PRADESH,4/1/2010,314.2136599,304.844821,297.5217
ANDHRA PRADESH,7/1/2010,306.547902,300.276061,296.34964
ANDHRA PRADESH,10/1/2010,304.8182523,297.7655707,290.8099
ANDHRA PRADESH,1/1/2011,307.366605,298.2645778,289.2504
ANDHRA PRADESH,4/1/2011,311.9872474,303.7595,297.3949
ANDHRA PRADESH,7/1/2011,307.6014014,300.7749516,296.50607
ANDHRA PRADESH,10/1/2011,306.4237209,298.2973223,290.68643
ANDHRA PRADESH,1/1/2012,308.7776408,299.1097986,289.44553
ANDHRA PRADESH,4/1/2012,314.1132144,304.8498224,297.23
ANDHRA PRADESH,7/1/2012,307.4410193,300.5813168,296.42422
ANDHRA PRADESH,10/1/2012,305.8506898,297.8300594,289.89233
ANDHRA PRADESH,1/1/2013,308.1747081,299.062022,290.21014
ANDHRA PRADESH,4/1/2013,313.3077811,304.1859372,297.42822
ANDHRA PRADESH,7/1/2013,306.8139458,300.2073866,296.26752
