State,date,fire
Andhra Pradesh,2006-04-01,4.790261900086957
Andhra Pradesh,2006-07-01,4.5273532851304354
Andhra Pradesh,2006-10-01,4.863454798521738
Andhra Pradesh,2007-01-01,4.940771286478261
Andhra Pradesh,2007-04-01,4.7667865212173925
Andhra Pradesh,2007-07-01,4.494778354217391
Andhra Pradesh,2007-10-01,4.858920989043479
Andhra Pradesh,2008-01-01,4.894343086086957
Andhra Pradesh,2008-04-01,4.781677240608696
Andhra Pradesh,2008-07-01,4.528230346
Andhra Pradesh,2008-10-01,4.859159490130435
Andhra Pradesh,2009-01-01,4.933938763086958
Andhra Pradesh,2009-04-01,4.844030239521739
Andhra Pradesh,2009-07-01,4.553860154347825
Andhra Pradesh,2009-10-01,4.863335544217391
Andhra Pradesh,2010-01-01,4.9173284844782605
Andhra Pradesh,2010-04-01,4.748488931043478
Andhra Pradesh,2010-07-01,4.507564345173913
Andhra Pradesh,2010-10-01,4.7847450141304355
Andhra Pradesh,2011-01-01,4.9387838955652175
Andhra Pradesh,2011-04-01,4.8066876804782614
Andhra Pradesh,2011-07-01,4.51852518473913
Andhra Pradesh,2011-10-01,4.8950815031739126
Andhra Pradesh,2012-01-01,4.940266853173913
Andhra Pradesh,2012-04-01,4.782195024521739
Andhra Pradesh,2012-07-01,4.512688643739129
Andhra Pradesh,2012-10-01,4.844980025869564
Andhra Pradesh,2013-01-01,4.933370767347827
Andhra Pradesh,2013-04-01,4.750870968956521
Andhra Pradesh,2013-07-01,4.493163197173913
Andhra Pradesh,2013-10-01,4.809796768347827
Andhra Pradesh,2014-01-01,4.9225460506521745
Andhra Pradesh,2014-04-01,4.836946549695652
Andhra Pradesh,2014-07-01,4.521938541391303
Andhra Pradesh,2014-10-01,4.844530696173913
Andhra Pradesh,2015-01-01,4.931601978130435
Andhra Pradesh,2015-04-01,4.761177829391303
Andhra Pradesh,2015-07-01,4.630691818304347
Andhra Pradesh,2015-10-01,4.858719988391304
Andhra Pradesh,2016-01-01,4.920318010130435
Andhra Pradesh,2016-04-01,4.770880089217393
Andhra Pradesh,2016-07-01,4.495612021086957
Andhra Pradesh,2016-10-01,4.891277860391305
Andhra Pradesh,2017-01-01,4.935764474956522
Andhra Pradesh,2017-04-01,4.770933730347826
Andhra Pradesh,2017-07-01,4.522838500565217
Andhra Pradesh,2017-10-01,4.850391297304348
Andhra Pradesh,2018-01-01,4.919324280130434
Andhra Pradesh,2018-04-01,4.795079083913043
Andhra Pradesh,2018-07-01,4.529505297130434
Andhra Pradesh,2018-10-01,4.89188034
Andhra Pradesh,2019-01-01,4.938439772695651
Andhra Pradesh,2019-04-01,4.835412467652174
Andhra Pradesh,2019-07-01,4.485497093130435
Andhra Pradesh,2019-10-01,4.859236112086956
Arunanchal Pradesh,2000-01-01,4.469482363875
Arunanchal Pradesh,2000-04-01,4.5545523711875
Arunanchal Pradesh,2000-07-01,4.5224388358750005
Arunanchal Pradesh,2000-10-01,4.7971285580625
Arunanchal Pradesh,2001-01-01,4.6481996053125
Arunanchal Pradesh,2001-04-01,4.5824514010624995
Arunanchal Pradesh,2001-07-01,4.609691117375001
Arunanchal Pradesh,2001-10-01,4.7955930154374995
Arunanchal Pradesh,2002-01-01,4.637639133125
Arunanchal Pradesh,2002-04-01,4.6345785915625
Arunanchal Pradesh,2002-07-01,4.5415174025
Arunanchal Pradesh,2002-10-01,4.8021456198750005
Arunanchal Pradesh,2003-01-01,4.654226735437501
Arunanchal Pradesh,2003-04-01,4.5723723385625
Arunanchal Pradesh,2003-07-01,4.58500992925
Arunanchal Pradesh,2003-10-01,4.7273087085625
Arunanchal Pradesh,2004-01-01,4.647549566
Arunanchal Pradesh,2004-04-01,4.6074309545
Arunanchal Pradesh,2004-10-01,4.790008119818181
Arunanchal Pradesh,2005-01-01,4.506615183
Arunanchal Pradesh,2005-04-01,4.6265015634374995
Arunanchal Pradesh,2005-07-01,4.616525682
Arunanchal Pradesh,2005-10-01,4.7804191215
Arunanchal Pradesh,2006-01-01,4.654375251625
Arunanchal Pradesh,2006-04-01,4.597222717812499
Arunanchal Pradesh,2006-07-01,4.6970288286875
Arunanchal Pradesh,2006-10-01,4.771593152062501
Arunanchal Pradesh,2007-01-01,4.6281325099999995
Arunanchal Pradesh,2007-04-01,4.629246795250001
Arunanchal Pradesh,2007-07-01,4.588552818125
Arunanchal Pradesh,2007-10-01,4.8110649715625
Arunanchal Pradesh,2008-01-01,4.550157445750001
Arunanchal Pradesh,2008-04-01,4.6228422913125
Arunanchal Pradesh,2008-07-01,4.6001652731875
Arunanchal Pradesh,2008-10-01,4.8584233105625
Arunanchal Pradesh,2009-01-01,4.687926329062499
