ST_NM,date,evaptrans
Andhra Pradesh,2007-01-01,66.07103775043477
Andhra Pradesh,2007-04-01,51.25714012652174
Andhra Pradesh,2007-07-01,211.42166674347826
Andhra Pradesh,2007-10-01,170.96720726086957
Andhra Pradesh,2008-01-01,91.81565456434782
Andhra Pradesh,2008-04-01,46.368069090999995
Andhra Pradesh,2008-07-01,207.3852983347826
Andhra Pradesh,2008-10-01,160.6386877391304
Andhra Pradesh,2009-01-01,67.96273515652173
Andhra Pradesh,2009-04-01,49.53708124843477
Andhra Pradesh,2009-07-01,215.09440391739136
Andhra Pradesh,2009-10-01,168.71400656086956
Andhra Pradesh,2010-01-01,71.47060801826086
Andhra Pradesh,2010-04-01,46.956730245608696
Andhra Pradesh,2010-07-01,234.50385696521747
Andhra Pradesh,2010-10-01,187.72090863043485
Andhra Pradesh,2011-01-01,93.62787056608695
Andhra Pradesh,2011-04-01,58.677810843913036
Andhra Pradesh,2011-07-01,224.40282549565217
Andhra Pradesh,2011-10-01,154.83486813043478
Andhra Pradesh,2012-01-01,54.97019824956522
Andhra Pradesh,2012-04-01,41.81458549869565
Andhra Pradesh,2012-07-01,213.0469916043478
Andhra Pradesh,2012-10-01,174.9982044695652
Andhra Pradesh,2013-01-01,76.60725899217391
Andhra Pradesh,2013-04-01,55.2922203678261
Andhra Pradesh,2013-07-01,256.04050953478264
Andhra Pradesh,2013-10-01,188.0208823347826
Andhra Pradesh,2014-01-01,85.54005006434784
Andhra Pradesh,2014-04-01,48.55708856826087
Andhra Pradesh,2014-07-01,215.29435475652173
Andhra Pradesh,2014-10-01,142.90601448434782
Andhra Pradesh,2015-01-01,72.11227590521739
Andhra Pradesh,2015-04-01,57.47628122782609
Andhra Pradesh,2015-07-01,199.91410924782613
Andhra Pradesh,2015-10-01,156.67107338434784
Andhra Pradesh,2016-01-01,63.631142604782625
Andhra Pradesh,2016-04-01,36.98227100730435
Andhra Pradesh,2016-07-01,214.67066242608692
Andhra Pradesh,2016-10-01,157.21233026913043
Andhra Pradesh,2017-01-01,68.94209507608696
Andhra Pradesh,2017-04-01,32.41641341078261
Andhra Pradesh,2017-07-01,203.85817114782603
Andhra Pradesh,2017-10-01,158.86234059999998
Andhra Pradesh,2018-01-01,62.80036958782608
Andhra Pradesh,2018-04-01,57.4099795152174
Andhra Pradesh,2018-07-01,215.9268385652174
Andhra Pradesh,2018-10-01,127.51740816434778
Andhra Pradesh,2019-01-01,66.57107355173913
Andhra Pradesh,2019-04-01,33.293973633217384
Andhra Pradesh,2019-07-01,212.72981814347824
Andhra Pradesh,2019-10-01,190.00108863913042
Andhra Pradesh,2020-01-01,104.15467686391302
Andhra Pradesh,2020-04-01,50.77444227391304
Andhra Pradesh,2020-07-01,218.1528281652174
Arunanchal Pradesh,2001-01-01,125.09343150062499
Arunanchal Pradesh,2001-04-01,196.00585141874998
Arunanchal Pradesh,2001-07-01,256.70910301249995
Arunanchal Pradesh,2001-10-01,150.24950456250002
Arunanchal Pradesh,2002-01-01,138.892792434375
Arunanchal Pradesh,2002-04-01,233.09961286249995
Arunanchal Pradesh,2002-07-01,256.5219233875
Arunanchal Pradesh,2002-10-01,155.1419336025
Arunanchal Pradesh,2003-01-01,151.922399619375
Arunanchal Pradesh,2003-04-01,211.857407675
Arunanchal Pradesh,2003-07-01,258.933123
Arunanchal Pradesh,2003-10-01,149.10211848125
Arunanchal Pradesh,2004-01-01,137.02742487687502
Arunanchal Pradesh,2004-04-01,231.25773726875
Arunanchal Pradesh,2004-07-01,247.12684462500002
Arunanchal Pradesh,2004-10-01,151.48936138500002
Arunanchal Pradesh,2005-01-01,132.79909677375
Arunanchal Pradesh,2005-04-01,210.40557595
Arunanchal Pradesh,2005-07-01,259.89577434375
Arunanchal Pradesh,2005-10-01,151.96312769125
Arunanchal Pradesh,2006-01-01,132.171648396875
Arunanchal Pradesh,2006-04-01,242.091185175
Arunanchal Pradesh,2006-07-01,280.15409289375
Arunanchal Pradesh,2006-10-01,155.67704939375
Arunanchal Pradesh,2007-01-01,154.4625027375
Arunanchal Pradesh,2007-04-01,240.29383776875
Arunanchal Pradesh,2007-07-01,274.82651023125
Arunanchal Pradesh,2007-10-01,149.578142236875
Arunanchal Pradesh,2008-01-01,136.7570368625
Arunanchal Pradesh,2008-04-01,210.85866055625
Arunanchal Pradesh,2008-07-01,255.40477682500003
Arunanchal Pradesh,2008-10-01,163.663203413125
Arunanchal Pradesh,2009-01-01,136.6192796975
Arunanchal Pradesh,2009-04-01,224.92878606250002
Arunanchal Pradesh,2009-07-01,262.03388138125
Arunanchal Pradesh,2009-10-01,151.17646585
Arunanchal Pradesh,2010-01-01,133.553676114375
Arunanchal Pradesh,2010-04-01,185.79394235625
Arunanchal Pradesh,2010-07-01,235.0542175375
Arunanchal Pradesh,2010-10-01,147.687080695
Arunanchal Pradesh,2011-01-01,135.72811304625
Arunanchal Pradesh,2011-04-01,223.64238305
Arunanchal Pradesh,2011-07-01,262.41828038750003
