ST_NM,date,aod
Andhra Pradesh,4/1/2008,637.2318473
Andhra Pradesh,7/1/2008,648.2292785
Andhra Pradesh,10/1/2008,473.1037491
Andhra Pradesh,1/1/2009,456.2365368
Andhra Pradesh,4/1/2009,641.9335905
Andhra Pradesh,7/1/2009,587.3799408
Andhra Pradesh,10/1/2009,506.726323
Andhra Pradesh,1/1/2010,491.8654531
Andhra Pradesh,4/1/2010,592.4990347
Andhra Pradesh,7/1/2010,522.1304427
Andhra Pradesh,10/1/2010,517.8840488
Andhra Pradesh,1/1/2011,404.2254626
Andhra Pradesh,4/1/2011,663.4606752
Andhra Pradesh,7/1/2011,518.8790563
Andhra Pradesh,10/1/2011,669.2445624
Andhra Pradesh,1/1/2012,407.5274528
Andhra Pradesh,4/1/2012,658.3558125
Andhra Pradesh,7/1/2012,446.5826743
Andhra Pradesh,10/1/2012,523.0742412
Andhra Pradesh,1/1/2013,542.9896306
Andhra Pradesh,4/1/2013,761.2454158
Andhra Pradesh,7/1/2013,622.1853241
Andhra Pradesh,10/1/2013,469.2929445
Andhra Pradesh,1/1/2014,609.4751706
Andhra Pradesh,4/1/2014,907.9031599
Andhra Pradesh,7/1/2014,648.5050261
Andhra Pradesh,10/1/2014,590.4677293
Andhra Pradesh,1/1/2015,501.8173254
Andhra Pradesh,4/1/2015,636.0929716
Andhra Pradesh,7/1/2015,701.4788826
Andhra Pradesh,10/1/2015,710.7763351
Andhra Pradesh,1/1/2016,632.2941127
Andhra Pradesh,4/1/2016,689.3212619
Andhra Pradesh,7/1/2016,593.2072028
Andhra Pradesh,10/1/2016,540.7461066
Andhra Pradesh,1/1/2017,625.9312555
Andhra Pradesh,4/1/2017,881.4071077
Andhra Pradesh,7/1/2017,537.2993283
Andhra Pradesh,10/1/2017,669.6806201
Andhra Pradesh,1/1/2018,745.3379983
Andhra Pradesh,4/1/2018,695.8521241
Andhra Pradesh,7/1/2018,720.3646206
Andhra Pradesh,10/1/2018,634.9305454
Andhra Pradesh,1/1/2019,694.2409809
Andhra Pradesh,4/1/2019,655.2111184
Andhra Pradesh,7/1/2019,561.9237534
Andhra Pradesh,10/1/2019,554.8472013
Arunanchal Pradesh,4/1/2000,323.090305
Arunanchal Pradesh,7/1/2000,227.8273116
Arunanchal Pradesh,10/1/2000,78.96760117
Arunanchal Pradesh,1/1/2001,178.4461788
Arunanchal Pradesh,4/1/2001,305.8108341
Arunanchal Pradesh,7/1/2001,132.9907671
Arunanchal Pradesh,10/1/2001,55.61785146
Arunanchal Pradesh,1/1/2002,113.3144094
Arunanchal Pradesh,4/1/2002,225.6758099
Arunanchal Pradesh,7/1/2002,392.3813792
Arunanchal Pradesh,10/1/2002,117.4556477
Arunanchal Pradesh,1/1/2003,133.1959586
Arunanchal Pradesh,4/1/2003,277.1339916
Arunanchal Pradesh,7/1/2003,129.6227191
Arunanchal Pradesh,10/1/2003,127.0539886
Arunanchal Pradesh,1/1/2004,121.7793645
Arunanchal Pradesh,4/1/2004,278.0423841
Arunanchal Pradesh,7/1/2004,259.6216173
Arunanchal Pradesh,10/1/2004,110.6144062
Arunanchal Pradesh,1/1/2005,165.9138372
Arunanchal Pradesh,4/1/2005,397.2081875
Arunanchal Pradesh,7/1/2005,275.3525265
Arunanchal Pradesh,10/1/2005,119.3539664
Arunanchal Pradesh,1/1/2006,176.3623996
Arunanchal Pradesh,4/1/2006,275.0991301
Arunanchal Pradesh,7/1/2006,193.8004773
Arunanchal Pradesh,10/1/2006,91.1592483
Arunanchal Pradesh,1/1/2007,188.3910929
Arunanchal Pradesh,4/1/2007,290.2214736
Arunanchal Pradesh,7/1/2007,201.1747806
Arunanchal Pradesh,10/1/2007,131.7412666
Arunanchal Pradesh,1/1/2008,145.452733
Arunanchal Pradesh,4/1/2008,431.2373081
Arunanchal Pradesh,7/1/2008,122.5163672
Arunanchal Pradesh,10/1/2008,85.4242211
Arunanchal Pradesh,1/1/2009,216.6588868
Arunanchal Pradesh,4/1/2009,391.0728047
Arunanchal Pradesh,7/1/2009,172.6094626
Arunanchal Pradesh,10/1/2009,116.0358737
Arunanchal Pradesh,1/1/2010,140.7606981
Arunanchal Pradesh,4/1/2010,356.4046584
Arunanchal Pradesh,7/1/2010,210.9371156
Arunanchal Pradesh,10/1/2010,114.8581928
Arunanchal Pradesh,1/1/2011,193.1915439
Arunanchal Pradesh,4/1/2011,371.0246602
Arunanchal Pradesh,7/1/2011,311.4163809
Arunanchal Pradesh,10/1/2011,168.9492755
Arunanchal Pradesh,1/1/2012,215.0969494
Arunanchal Pradesh,4/1/2012,431.8513982
Arunanchal Pradesh,7/1/2012,293.1718684
Arunanchal Pradesh,10/1/2012,100.8032059
Arunanchal Pradesh,1/1/2013,171.5845241
Arunanchal Pradesh,4/1/2013,325.558243
Arunanchal Pradesh,7/1/2013,254.7757173
Arunanchal Pradesh,10/1/2013,88.65537531
Arunanchal Pradesh,1/1/2014,181.3617581
Arunanchal Pradesh,4/1/2014,473.1284356
Arunanchal Pradesh,7/1/2014,265.1929892
Arunanchal Pradesh,10/1/2014,134.0968795
Arunanchal Pradesh,1/1/2015,140.9973576
Arunanchal Pradesh,4/1/2015,340.1464518
Arunanchal Pradesh,7/1/2015,133.0456767
Arunanchal Pradesh,10/1/2015,138.573226
Arunanchal Pradesh,1/1/2016,185.5054172
Arunanchal Pradesh,4/1/2016,380.1910323
Arunanchal Pradesh,7/1/2016,236.2824955
Arunanchal Pradesh,10/1/2016,92.80319749
Arunanchal Pradesh,1/1/2017,156.4116016
Arunanchal Pradesh,4/1/2017,394.525612
Arunanchal Pradesh,7/1/2017,191.3160936
Arunanchal Pradesh,10/1/2017,127.3946581
Arunanchal Pradesh,1/1/2018,165.3057008
Arunanchal Pradesh,4/1/2018,359.776298
Arunanchal Pradesh,7/1/2018,258.9669481
Arunanchal Pradesh,10/1/2018,162.8985088
Arunanchal Pradesh,1/1/2019,151.6763151
Arunanchal Pradesh,4/1/2019,283.3701972
Arunanchal Pradesh,7/1/2019,327.4814599
Arunanchal Pradesh,10/1/2019,157.2364045
Assam,4/1/2000,467.5741797
Assam,7/1/2000,377.1594969
Assam,10/1/2000,260.2969931
Assam,1/1/2001,612.9283764
Assam,4/1/2001,509.4196043
Assam,7/1/2001,327.0805254
Assam,10/1/2001,156.4447391
Assam,1/1/2002,455.0060422
Assam,4/1/2002,426.2093495
Assam,7/1/2002,591.048322
Assam,10/1/2002,230.3846604
Assam,1/1/2003,509.7114002
Assam,4/1/2003,470.4762943
Assam,7/1/2003,248.30003
Assam,10/1/2003,297.21035
Assam,1/1/2004,358.2732599
Assam,4/1/2004,423.9364992
Assam,7/1/2004,405.940516
Assam,10/1/2004,230.9304319
Assam,1/1/2005,475.1482344
Assam,4/1/2005,616.7073735
Assam,7/1/2005,312.4019715
Assam,10/1/2005,194.9721439
Assam,1/1/2006,633.1774153
Assam,4/1/2006,413.492764
Assam,7/1/2006,297.3993427
Assam,10/1/2006,200.1433601
Assam,1/1/2007,673.9623155
Assam,4/1/2007,519.3051992
Assam,7/1/2007,286.5961946
Assam,10/1/2007,263.090999
Assam,1/1/2008,605.7713423
Assam,4/1/2008,640.9987872
Assam,7/1/2008,261.8911881
Assam,10/1/2008,153.4962652
Assam,1/1/2009,641.0519961
Assam,4/1/2009,622.8409309
Assam,7/1/2009,263.103726
Assam,10/1/2009,266.7013339
Assam,1/1/2010,336.040759
Assam,4/1/2010,692.1300632
Assam,7/1/2010,371.0526438
Assam,10/1/2010,241.9950246
Assam,1/1/2011,715.9477818
Assam,4/1/2011,641.3200866
Assam,7/1/2011,517.711537
Assam,10/1/2011,313.9716337
Assam,1/1/2012,806.0796219
Assam,4/1/2012,626.6696371
Assam,7/1/2012,399.7472188
Assam,10/1/2012,240.9511343
Assam,1/1/2013,559.6759797
Assam,4/1/2013,663.4467083
Assam,7/1/2013,419.1760991
Assam,10/1/2013,356.1596793
Assam,1/1/2014,560.7950069
Assam,4/1/2014,639.6321699
Assam,7/1/2014,370.5283948
Assam,10/1/2014,274.5559096
Assam,1/1/2015,432.5720359
Assam,4/1/2015,581.9622509
Assam,7/1/2015,262.7070984
Assam,10/1/2015,316.673861
Assam,1/1/2016,686.2042994
Assam,4/1/2016,755.1005414
Assam,7/1/2016,377.0527923
Assam,10/1/2016,192.8896422
Assam,1/1/2017,448.4262226
Assam,4/1/2017,697.1433354
Assam,7/1/2017,346.219134
Assam,10/1/2017,313.2281631
Assam,1/1/2018,736.7528786
Assam,4/1/2018,735.3495538
Assam,7/1/2018,368.3690993
Assam,10/1/2018,460.9668561
Assam,1/1/2019,407.2264923
Assam,4/1/2019,628.7822914
Assam,7/1/2019,581.577734
Assam,10/1/2019,304.3215363
Bihar,4/1/2000,478.433189
Bihar,7/1/2000,576.6175084
Bihar,10/1/2000,513.9182865
Bihar,1/1/2001,793.0308091
Bihar,4/1/2001,438.4611616
Bihar,7/1/2001,517.9423213
Bihar,10/1/2001,516.309836
Bihar,1/1/2002,789.5353073
Bihar,4/1/2002,531.9608531
Bihar,7/1/2002,1198.506356
Bihar,10/1/2002,587.2102031
Bihar,1/1/2003,865.8981569
Bihar,4/1/2003,493.4466991
Bihar,7/1/2003,416.0076376
Bihar,10/1/2003,523.9462996
Bihar,1/1/2004,776.9653927
Bihar,4/1/2004,652.9660264
Bihar,7/1/2004,724.970714
Bihar,10/1/2004,500.8053646
Bihar,1/1/2005,796.898681
Bihar,4/1/2005,553.695141
Bihar,7/1/2005,516.0615624
Bihar,10/1/2005,564.1724674
Bihar,1/1/2006,776.7158625
Bihar,4/1/2006,617.3005051
Bihar,7/1/2006,492.1537864
Bihar,10/1/2006,532.2242017
Bihar,1/1/2007,976.9762602
Bihar,4/1/2007,603.1454417
Bihar,7/1/2007,555.8275325
Bihar,10/1/2007,697.3161958
Bihar,1/1/2008,848.3942564
Bihar,4/1/2008,448.3870188
Bihar,7/1/2008,508.1534868
Bihar,10/1/2008,571.7330087
Bihar,1/1/2009,996.0129326
Bihar,4/1/2009,520.5131318
Bihar,7/1/2009,701.1481652
Bihar,10/1/2009,533.6389079
Bihar,1/1/2010,926.9630743
Bihar,4/1/2010,593.4186849
Bihar,7/1/2010,455.0871171
Bihar,10/1/2010,545.8716219
