date,Ward_No,mean
12/3/2019,18,-1.820582954
12/3/2019,19,-1.826536297
12/3/2019,20,-1.909165375
12/3/2019,21,-1.913408789
12/3/2019,1,-1.489786663
12/3/2019,2,-1.506739718
12/3/2019,3,-1.503725845
12/3/2019,4,-1.599086401
12/3/2019,5,-1.611079793
12/3/2019,6,-1.71502674
12/3/2019,7,-1.638821747
12/3/2019,8,-1.781289288
12/3/2019,9,-1.784369867
12/3/2019,10,-1.839148131
12/3/2019,11,-1.926728429
12/3/2019,22,-1.93148316
12/3/2019,23,-1.795762133
12/3/2019,24,-1.821565924
12/4/2019,12,-0.497589866
12/4/2019,13,-0.665300362
12/4/2019,14,0.119416148
12/4/2019,15,-0.954677262
12/4/2019,16,-0.459732013
12/4/2019,17,-0.637653807
12/4/2019,18,-0.390225192
12/4/2019,19,0.045635218
12/4/2019,20,0.11967437
12/4/2019,21,-0.387701771
12/4/2019,1,-0.623898523
12/4/2019,2,-0.389903188
12/4/2019,3,-0.410015522
12/4/2019,4,-0.756970374
12/4/2019,5,-0.52617831
12/4/2019,6,-0.650408318
12/4/2019,7,-0.672420021
12/4/2019,8,-0.650080945
12/4/2019,9,-0.649638036
12/4/2019,10,-0.371416688
12/4/2019,11,-0.906400868
12/4/2019,22,-0.587606513
12/4/2019,23,-0.451211401
12/4/2019,24,-0.245261563
12/5/2019,12,-0.836352078
12/5/2019,13,-0.713109337
12/5/2019,14,-1.303306601
12/5/2019,15,-0.851565582
12/5/2019,16,-1.32618396
12/5/2019,17,-1.313133765
12/5/2019,18,-1.252552572
12/5/2019,19,-1.076915778
12/5/2019,20,-1.069166908
12/5/2019,21,-1.229804371
12/5/2019,1,-1.444040695
12/5/2019,2,-1.348488038
12/5/2019,3,-1.370108073
12/5/2019,4,-1.354362376
12/5/2019,5,-1.335331389
12/5/2019,6,-1.337546535
12/5/2019,7,-1.355261183
12/5/2019,8,-1.347382872
12/5/2019,9,-1.338925412
12/5/2019,10,-1.158937471
12/5/2019,11,-1.027730771
12/5/2019,22,-1.047859739
12/5/2019,23,-1.338307934
12/5/2019,24,-1.117264044
12/6/2019,12,-1.681897404
12/6/2019,13,-1.800434273
12/6/2019,14,-1.691071784
12/6/2019,15,-1.940648023
12/6/2019,16,-1.844551528
12/6/2019,17,-1.737207136
12/6/2019,18,-1.581959639
12/6/2019,19,-1.535375074
12/6/2019,20,-1.679822042
12/6/2019,21,-1.643537643
12/6/2019,1,-1.818002188
12/6/2019,2,-1.926980911
12/6/2019,3,-1.841116275
12/6/2019,4,-1.774793464
12/6/2019,5,-1.779433741
12/6/2019,6,-1.746117742
12/6/2019,7,-1.716715361
12/6/2019,8,-1.723611302
12/6/2019,9,-1.680637024
12/6/2019,10,-1.732106589
12/6/2019,11,-1.859698599
12/6/2019,22,-1.68679352
12/6/2019,23,-1.682343827
12/6/2019,24,-1.5803371
12/7/2019,12,-1.586144632
12/7/2019,13,-1.699195848
12/7/2019,14,-1.426129778
12/7/2019,15,-1.607751011
12/7/2019,16,-1.545887694
12/7/2019,17,-1.488602733
12/7/2019,18,-1.330364147
12/7/2019,19,-1.390737463
12/7/2019,20,-1.592831229
12/7/2019,21,-1.564175093
12/7/2019,1,-1.36922717
12/7/2019,2,-1.400031173
12/7/2019,3,-1.365688779
12/7/2019,4,-1.305356516
12/7/2019,5,-1.368709578
12/7/2019,6,-1.374030833
12/7/2019,7,-1.339478349
12/7/2019,8,-1.442847558
12/7/2019,9,-1.317175137
12/7/2019,10,-1.546561186
12/7/2019,11,-1.657056737
12/7/2019,22,-1.648021075
12/7/2019,23,-1.304752097
12/7/2019,24,-1.44239095
12/8/2019,12,-0.733571988
12/8/2019,13,-0.780515451
12/8/2019,14,-0.54187708
12/8/2019,15,-0.747851802
12/8/2019,16,-0.699902025
12/8/2019,17,-0.697053486
12/8/2019,18,-0.576287468
12/8/2019,19,-0.717086775
12/8/2019,20,-0.72708951
12/8/2019,21,-0.62854132
12/8/2019,1,-0.639592763
12/8/2019,2,-0.650799751
12/8/2019,3,-0.650799751
12/8/2019,4,-0.635153797
12/8/2019,5,-0.644234224
12/8/2019,6,-0.626715365
12/8/2019,7,-0.62206359
12/8/2019,8,-0.652950421
12/8/2019,9,-0.585015439
12/8/2019,10,-0.681107441
12/8/2019,11,-0.710793876
12/8/2019,22,-0.748589365
12/8/2019,23,-0.503000007
12/8/2019,24,-0.685508777
12/9/2019,12,-0.594782418
12/9/2019,13,-0.584212129
12/9/2019,14,-0.676706861
12/9/2019,15,-0.745398589
12/9/2019,16,-0.703886082
12/9/2019,17,-0.727054568
12/9/2019,18,-0.731550951
12/9/2019,19,-0.641047701
12/9/2019,20,-0.688717023
12/9/2019,21,-0.723328374
12/9/2019,1,-1.036862346
12/9/2019,2,-0.955712884
12/9/2019,3,-0.988680349
12/9/2019,4,-1.052550564
12/9/2019,5,-0.959913959
12/9/2019,6,-0.932585384
12/9/2019,7,-0.961874074
12/9/2019,8,-0.870607907
12/9/2019,9,-0.832400414
12/9/2019,10,-0.616081911
12/9/2019,11,-0.761165215
12/9/2019,22,-0.695907217
12/9/2019,23,-0.738470091
12/9/2019,24,-0.63244731
12/10/2019,12,-1.061368289
12/10/2019,13,-1.078440856
12/10/2019,14,-1.188178823
12/10/2019,15,-1.076803699
12/10/2019,16,-1.061870398
12/10/2019,17,-1.185378611
12/10/2019,18,-1.211687004
12/10/2019,19,-1.13865972
12/10/2019,20,-1.160993105
12/10/2019,21,-1.233835773
12/10/2019,1,-1.569315407
12/10/2019,2,-1.542034092
12/10/2019,3,-1.547105074
12/10/2019,4,-1.523452288
12/10/2019,5,-1.481324278
12/10/2019,6,-1.455465
12/10/2019,7,-1.501413224
12/10/2019,8,-1.313656618
12/10/2019,9,-1.304977981
12/10/2019,10,-0.799216999
12/10/2019,11,-1.201441405
12/10/2019,22,-1.204844157
12/10/2019,23,-1.246352163
12/10/2019,24,-0.974368189
12/11/2019,12,-1.286323551
12/11/2019,13,-1.472490674
12/11/2019,14,-1.677355934
12/11/2019,15,-1.855194747
12/11/2019,16,-1.520537227
12/11/2019,17,-1.588000733
12/11/2019,18,-1.526708301
12/11/2019,19,-1.580127164
12/11/2019,20,-1.748361736
12/11/2019,21,-1.80781501
12/11/2019,1,-1.526139251
12/11/2019,2,-1.519688178
12/11/2019,3,-1.514687133
12/11/2019,4,-1.602102523
12/11/2019,5,-1.587059854
12/11/2019,6,-1.60782015
12/11/2019,7,-1.636718033
12/11/2019,8,-1.578165423
12/11/2019,9,-1.578451791
12/11/2019,10,-1.357336649
12/11/2019,11,-1.923084625
12/11/2019,22,-1.786528445
12/11/2019,23,-1.610106667
12/11/2019,24,-1.527852037
12/12/2019,12,-1.948844069
12/12/2019,13,-2.002420767
12/12/2019,14,-1.748372451
12/12/2019,15,-1.992970192
12/12/2019,16,-1.881501596
12/12/2019,17,-1.835918497
12/12/2019,18,-1.720609939
12/12/2019,19,-1.761645594
12/12/2019,20,-1.909872538
12/12/2019,21,-1.925361965
12/12/2019,1,-1.82103755
12/12/2019,2,-1.784288654
12/12/2019,3,-1.783409357
12/12/2019,4,-1.782917878
12/12/2019,5,-1.788815787
12/12/2019,6,-1.854453837
12/12/2019,7,-1.779129674
12/12/2019,8,-1.846662965
12/12/2019,9,-1.782957034
12/12/2019,10,-1.91129509
12/12/2019,11,-1.996339228
12/12/2019,22,-1.964072381
12/12/2019,23,-1.697429334
12/12/2019,24,-1.825916736
12/13/2019,12,-1.903684778
12/13/2019,13,-1.881906016
12/13/2019,14,-1.939638337
12/13/2019,15,-1.818144847
12/13/2019,16,-1.731933462
12/13/2019,17,-1.762183236
12/13/2019,18,-1.968483906
12/13/2019,19,-1.940945066
12/13/2019,20,-1.834489237
12/13/2019,21,-1.838546758
12/13/2019,1,-1.801040132
12/13/2019,2,-1.498056835
12/13/2019,3,-1.7488335
12/13/2019,4,-1.931039993
12/13/2019,5,-1.637097632
12/13/2019,6,-1.72299192
12/13/2019,7,-1.790230073
12/13/2019,8,-1.772507577
12/13/2019,9,-1.879382699
12/13/2019,10,-1.908303768
12/13/2019,11,-1.835404398
12/13/2019,22,-1.769734171
12/13/2019,23,-1.974287778
12/13/2019,24,-1.910338427
12/14/2019,12,-0.910331399
12/14/2019,13,-1.021487603
12/14/2019,14,-0.796875647
12/14/2019,15,-0.923381232
12/14/2019,16,-0.809190671
12/14/2019,17,-0.817221212
12/14/2019,18,-0.766468531
12/14/2019,19,-0.869651096
12/14/2019,20,-0.943262975
12/14/2019,21,-0.844706411
12/14/2019,1,-0.744339588
12/14/2019,2,-0.732863821
12/14/2019,3,-0.733544239
12/14/2019,4,-0.767597745
12/14/2019,5,-0.730614577
12/14/2019,6,-0.726359607
12/14/2019,7,-0.721392278
12/14/2019,8,-0.755465677
12/14/2019,9,-0.716214345
12/14/2019,10,-0.845924607
12/14/2019,11,-0.93739192
12/14/2019,22,-0.94530819
12/14/2019,23,-0.713360241
12/14/2019,24,-0.831137332
12/15/2019,12,-1.189294148
12/15/2019,13,-1.234682249
12/15/2019,14,-1.161533504
12/15/2019,15,-1.305207265
12/15/2019,16,-1.154413984
12/15/2019,17,-1.162687877
12/15/2019,18,-1.134550095
12/15/2019,19,-1.144161618
12/15/2019,20,-1.183325799
12/15/2019,21,-1.221028595
12/15/2019,1,-1.211674762
12/15/2019,2,-1.211352772
12/15/2019,3,-1.18613854
12/15/2019,4,-1.190167588
12/15/2019,5,-1.199312459
12/15/2019,6,-1.194013366
12/15/2019,7,-1.201855622
12/15/2019,8,-1.162682795
12/15/2019,9,-1.156605322
12/15/2019,10,-1.153330715
12/15/2019,11,-1.291056626
12/15/2019,22,-1.237126928
