date,Ward_No,mean
7/17/2018,22,0.09367914599999999
7/17/2018,23,-0.585227554
7/17/2018,24,-0.655902432
7/19/2018,12,-1.083894935
7/19/2018,13,-1.10128922
7/19/2018,14,-0.9384141579999999
7/19/2018,15,-0.9201712120000001
7/19/2018,16,-1.251646195
7/19/2018,17,-1.354635373
7/19/2018,18,-1.333575515
7/19/2018,19,-0.89125717
7/19/2018,20,-0.974851372
7/19/2018,21,-1.0894440440000002
7/19/2018,1,-1.5253957630000001
7/19/2018,2,-1.525159776
7/19/2018,3,-1.525197515
7/19/2018,4,-1.525213225
7/19/2018,5,-1.519742415
7/19/2018,6,-1.400821841
7/19/2018,7,-1.5782732659999998
7/19/2018,8,-1.390105652
7/19/2018,9,-1.4839091309999999
7/19/2018,10,-1.287613968
7/19/2018,11,-1.06344263
7/19/2018,22,-1.018479877
7/19/2018,23,-1.3795359530000002
7/19/2018,24,-1.25030847
7/20/2018,12,-1.7500712980000002
7/20/2018,13,-1.803040659
7/20/2018,14,-1.505953373
7/20/2018,15,-1.870249391
7/20/2018,16,-1.60790312
7/20/2018,17,-1.5837318230000001
7/20/2018,18,-1.5654910080000002
7/20/2018,19,-1.566896061
7/20/2018,20,-1.731167324
7/20/2018,21,-1.727897754
7/20/2018,1,-0.716711454
7/20/2018,2,-1.261847958
7/20/2018,3,-0.74412954
7/20/2018,4,-0.631327017
7/20/2018,5,-1.307336398
7/20/2018,6,-1.501393879
7/20/2018,7,-1.126165801
7/20/2018,8,-1.57690387
7/20/2018,9,-1.5932151190000001
7/20/2018,10,-1.684885221
7/20/2018,11,-1.8505505969999998
7/20/2018,22,-1.86668915
7/20/2018,23,-1.549334935
7/20/2018,24,-1.6743660809999998
7/21/2018,12,-0.12763150199999998
7/21/2018,13,-0.046980767
7/21/2018,14,-0.2244382
7/21/2018,15,-0.259340385
7/21/2018,16,0.048967559
7/21/2018,17,0.015469862
7/21/2018,18,-0.121802235
7/21/2018,19,-0.235367603
7/21/2018,20,-0.236953245
7/21/2018,21,-0.24882312399999998
7/21/2018,1,-0.511195821
7/21/2018,2,-0.011798235
7/21/2018,3,-0.074258937
7/21/2018,4,-0.018188311000000002
7/21/2018,5,-0.001569088
7/21/2018,6,0.081752625
7/21/2018,7,0.046200677
7/21/2018,8,-0.006559931
7/21/2018,9,0.045417726
7/21/2018,10,-0.14382319
7/21/2018,11,-0.277085763
7/21/2018,22,-0.24715163199999998
7/21/2018,23,0.000213
7/21/2018,24,-0.17373107399999999
7/22/2018,12,0.15649824699999998
7/22/2018,13,0.237011177
7/22/2018,14,0.162506031
7/22/2018,15,0.300477606
7/22/2018,16,0.10032628
7/22/2018,17,0.048096394
7/22/2018,18,0.07375929099999999
7/22/2018,19,0.125392774
7/22/2018,20,0.25352556
7/22/2018,21,0.07267787
7/22/2018,1,-0.43872174399999997
7/22/2018,2,-0.0036314290000000003
7/22/2018,3,-0.020695226
7/22/2018,4,-0.072472824
7/22/2018,5,-0.00569539
7/22/2018,6,-0.035329627999999995
7/22/2018,7,-0.0655686
7/22/2018,8,-0.003646644
7/22/2018,9,-0.059468442
7/22/2018,10,0.10781313099999999
7/22/2018,11,0.154724225
7/22/2018,22,0.254811317
7/22/2018,23,0.051566451
7/22/2018,24,0.062820711
7/23/2018,12,-0.302687925
7/23/2018,13,-0.20204135399999998
7/23/2018,14,0.072242772
7/23/2018,15,0.244094378
7/23/2018,16,0.09727283800000001
7/23/2018,17,-0.10675486599999999
7/23/2018,18,0.014374751000000003
7/23/2018,19,0.134606501
7/23/2018,20,0.141950747
7/23/2018,21,0.183683094
7/23/2018,1,0.09527600300000001
7/23/2018,2,0.117103988
7/23/2018,3,0.11529968300000001
7/23/2018,4,-0.143493716
7/23/2018,5,-0.24391877
7/23/2018,6,-0.46458541799999997
7/23/2018,7,-0.39727244
7/23/2018,8,-0.29783674600000004
7/23/2018,9,-0.293283199
7/23/2018,10,-0.382860466
7/23/2018,11,0.25174642
7/23/2018,22,0.28651250100000003
7/23/2018,23,-0.033325921
7/23/2018,24,-0.11023866800000001
7/24/2018,12,-0.337152774
7/24/2018,13,-0.25173374600000004
7/24/2018,14,-0.095546586
7/24/2018,15,-0.008892027
7/24/2018,16,-0.29103247
7/24/2018,17,-0.322303644
7/24/2018,18,-0.193982848
7/24/2018,19,-0.18965914
7/24/2018,20,-0.144294292
7/24/2018,21,-0.079866731
7/24/2018,1,-0.17912984
7/24/2018,2,-0.20590930699999999
7/24/2018,3,-0.18982732300000002
7/24/2018,4,-0.18751834
7/24/2018,5,-0.224086797
7/24/2018,6,-0.313770824
7/24/2018,7,-0.184110451
7/24/2018,8,-0.324409257
7/24/2018,9,-0.313886905
7/24/2018,10,-0.268218517
7/24/2018,11,-0.00213375
7/24/2018,22,-0.110695536
7/24/2018,23,-0.17389084
7/24/2018,24,-0.266197252
7/25/2018,12,-1.177671251
7/25/2018,13,-0.735467105
7/25/2018,14,-1.171574621
7/25/2018,15,-1.129245427
7/25/2018,16,-0.612933165
7/25/2018,17,-0.580873096
7/25/2018,18,-1.024934319
7/25/2018,19,-1.2156732829999999
7/25/2018,20,-0.724395633
7/25/2018,21,-0.9405228109999999
7/25/2018,1,-0.901544694
7/25/2018,2,-0.931995749
7/25/2018,3,-0.931995749
7/25/2018,4,-0.9348303590000001
7/25/2018,5,-0.932316692
7/25/2018,6,-1.0588279440000001
7/25/2018,7,-1.156593365
7/25/2018,8,-0.9004200809999999
7/25/2018,9,-1.200235529
7/25/2018,10,-0.609932025
7/25/2018,11,-1.1123093259999999
7/25/2018,22,-0.658897011
7/25/2018,23,-1.328237219
7/25/2018,24,-0.8625671779999999
7/26/2018,12,-0.094376124
7/26/2018,13,-0.065836649
7/26/2018,14,-0.148180607
7/26/2018,15,-0.12484282
7/26/2018,16,-0.17755447300000002
7/26/2018,17,-0.177578232
7/26/2018,18,-0.12093985300000001
7/26/2018,19,-0.101037857
7/26/2018,20,-0.131938715
7/26/2018,21,-0.112288661
7/26/2018,1,-0.210861322
7/26/2018,2,-0.25146123800000003
7/26/2018,3,-0.25146123800000003
7/26/2018,4,-0.25143859
7/26/2018,5,-0.25146123800000003
7/26/2018,6,-0.209432163
7/26/2018,7,-0.209117303
7/26/2018,8,-0.182962922
7/26/2018,9,-0.17560525
7/26/2018,10,-0.092303049
7/26/2018,11,-0.047800195999999996
7/26/2018,22,-0.034386577
7/26/2018,23,-0.166477763
7/26/2018,24,-0.102135184
7/27/2018,12,0.8474369490000001
7/27/2018,13,0.8523237929999999
7/27/2018,14,0.771752888
7/27/2018,15,1.118998135
7/27/2018,16,0.9666459829999999
7/27/2018,17,0.9767450240000001
7/27/2018,18,0.84420723
7/27/2018,19,0.902544314
7/27/2018,20,0.913964065
7/27/2018,21,0.9286708840000001
7/27/2018,1,0.596185228
7/27/2018,2,0.897740654
7/27/2018,3,0.8425568459999999
7/27/2018,4,0.8075259290000001
7/27/2018,5,0.893148921
7/27/2018,6,0.90990236
7/27/2018,7,0.84780861
7/27/2018,8,0.9491454570000001
7/27/2018,9,0.9157062220000001
7/27/2018,10,0.872504678
7/27/2018,11,1.105509604
7/27/2018,22,1.077514753
7/27/2018,23,0.789763978
7/27/2018,24,0.927736711
7/28/2018,12,0.357671966
7/28/2018,13,0.328921352
7/28/2018,14,0.349797099
7/28/2018,15,0.28388906199999997
7/28/2018,16,0.7892170959999999
7/28/2018,17,0.667601969
7/28/2018,18,0.38241484600000003
7/28/2018,19,0.358210517
7/28/2018,20,0.37215764
7/28/2018,21,0.206457227
7/28/2018,1,0.36804661899999996
7/28/2018,2,0.6891267459999999
7/28/2018,3,0.618495645
7/28/2018,4,0.298171053
7/28/2018,5,0.291368911
7/28/2018,6,0.324394658
7/28/2018,7,0.272371237
7/28/2018,8,0.448279786
7/28/2018,9,0.380887737
7/28/2018,10,0.8837884640000001
7/28/2018,11,0.31938713399999996
7/28/2018,22,0.6793525309999999
7/28/2018,23,0.413104554
7/28/2018,24,0.318760191
7/29/2018,12,0.315530784
7/29/2018,13,0.329632476
7/29/2018,14,0.089364375
7/29/2018,15,0.469885129
7/29/2018,16,0.094084838
7/29/2018,17,0.035877179
7/29/2018,18,0.21078527600000002
7/29/2018,19,0.367569855
7/29/2018,20,0.438621865
7/29/2018,21,0.235309252
7/29/2018,1,-0.24344095300000002
7/29/2018,2,-0.02236938
7/29/2018,3,-0.043982158
7/29/2018,4,-0.054030337000000005
7/29/2018,5,-0.017760698999999998
7/29/2018,6,0.018863872
7/29/2018,7,-0.061956212999999996
7/29/2018,8,0.135147602
7/29/2018,9,0.134515117
7/29/2018,10,0.577372455
7/29/2018,11,0.382863536
7/29/2018,22,0.557724094
7/29/2018,23,0.123059375
7/29/2018,24,0.358089602
7/30/2018,12,-0.23904921899999998
7/30/2018,13,0.189860817
7/30/2018,14,-0.26917689
7/30/2018,15,-0.636114124
7/30/2018,16,-0.139048278
7/30/2018,17,-0.278111343
7/30/2018,18,-0.403180039
7/30/2018,19,-0.357309042
7/30/2018,20,-0.1756002
7/30/2018,21,-0.400273304
7/30/2018,1,0.5791621029999999
7/30/2018,2,0.580139693
7/30/2018,3,0.580142498
7/30/2018,4,0.249841395
7/30/2018,5,0.24151934
7/30/2018,6,-0.23591232899999998
7/30/2018,7,-0.20059413199999998
7/30/2018,8,-0.296219595
7/30/2018,9,-0.27752107800000003
7/30/2018,10,-0.19993393899999998
7/30/2018,11,-0.614435038
7/30/2018,22,-0.382033064
7/30/2018,23,-0.389515259
7/30/2018,24,-0.39144035299999996
7/31/2018,12,1.400696104
7/31/2018,13,1.26670226
7/31/2018,14,1.7220880459999999
7/31/2018,15,1.237196954
7/31/2018,16,1.6570591000000001
7/31/2018,17,1.7188165990000002
7/31/2018,18,1.8735160240000002
7/31/2018,19,1.725056564
7/31/2018,20,1.6003466709999998
7/31/2018,21,1.582079136
7/31/2018,1,1.647362779
7/31/2018,2,1.598403121
7/31/2018,3,1.614522934
7/31/2018,4,1.6166696759999999
7/31/2018,5,1.589918542
7/31/2018,6,1.6514550159999999
7/31/2018,7,1.71362397
7/31/2018,8,1.677277069
7/31/2018,9,1.722174128
7/31/2018,10,1.655224559
7/31/2018,11,1.398272765
7/31/2018,22,1.4585537830000002
7/31/2018,23,1.8597498369999999
7/31/2018,24,1.7815950390000002
8/1/2018,12,1.81945467
8/1/2018,13,2.04745169
8/1/2018,14,1.671233384
8/1/2018,15,1.443335126
8/1/2018,16,1.756835564
8/1/2018,17,1.817126864
8/1/2018,18,1.752914349
8/1/2018,19,1.837751748
8/1/2018,20,1.8430073580000002
8/1/2018,21,1.747903671
8/1/2018,1,1.7440177819999998
8/1/2018,2,1.8269476519999999
8/1/2018,3,1.824834946
8/1/2018,4,1.73784825
8/1/2018,5,1.843920339
8/1/2018,6,1.84609163
8/1/2018,7,1.843264838
8/1/2018,8,1.8155870669999998
8/1/2018,9,1.736313283
8/1/2018,10,1.7587088180000001
8/1/2018,11,1.580948665
8/1/2018,22,1.89092272
8/1/2018,23,1.6660559380000002
8/1/2018,24,1.810319727
8/2/2018,12,0.9484029829999999
8/2/2018,13,1.309429699
8/2/2018,14,0.62889925
8/2/2018,15,0.871692183
8/2/2018,16,1.274338167
8/2/2018,17,1.5561549
8/2/2018,18,0.830168476
8/2/2018,19,1.0225326940000001
8/2/2018,20,1.317304915
8/2/2018,21,0.907788565
8/2/2018,1,-0.0039288479999999995
8/2/2018,2,0.18795015199999998
8/2/2018,3,0.16848897899999998
8/2/2018,4,0.232079142
8/2/2018,5,0.19436171
8/2/2018,6,0.286866197
8/2/2018,7,0.058084025
8/2/2018,8,1.0755509509999999
8/2/2018,9,0.396896112
8/2/2018,10,1.0081861090000002
8/2/2018,11,0.7737629220000001
8/2/2018,22,1.104580073
8/2/2018,23,0.335131002
8/2/2018,24,1.294842508
8/3/2018,12,0.429759314
8/3/2018,13,0.266594243
8/3/2018,14,-0.307815061
8/3/2018,15,0.18555460199999999
8/3/2018,16,0.7970704000000001
8/3/2018,17,0.7334206090000001
8/3/2018,18,0.13120684300000002
8/3/2018,19,-0.34551205100000004
8/3/2018,20,-0.737257306
8/3/2018,21,0.349817895
8/3/2018,1,1.955492904
8/3/2018,2,1.944779326
8/3/2018,3,1.946043282
8/3/2018,4,1.736379425
8/3/2018,5,1.6309984419999999
8/3/2018,6,1.203278377
8/3/2018,7,1.030629278
8/3/2018,8,1.132134624
8/3/2018,9,1.084088404
8/3/2018,10,0.366028321
8/3/2018,11,0.4961649420000001
8/3/2018,22,0.473599902
8/3/2018,23,0.23902907
8/3/2018,24,-0.0213939
8/4/2018,12,2.628184498
8/4/2018,13,2.786575945
8/4/2018,14,2.758489893
8/4/2018,15,1.890205875
8/4/2018,16,2.023420299
8/4/2018,17,1.94829386
8/4/2018,18,2.003767014
8/4/2018,19,2.528630136
8/4/2018,20,2.625644484
8/4/2018,21,1.899884315
8/4/2018,1,1.8885095319999998
8/4/2018,2,1.834464011
8/4/2018,3,1.82369431
8/4/2018,4,1.70616937
8/4/2018,5,1.729182616
8/4/2018,6,1.75651224
8/4/2018,7,1.732893195
8/4/2018,8,1.8029657330000002
8/4/2018,9,1.9070781280000002
8/4/2018,10,2.327460679
8/4/2018,11,1.650614905
8/4/2018,22,2.1706165669999997
8/4/2018,23,2.005027741
8/4/2018,24,2.246050959
8/5/2018,12,-0.732800023
8/5/2018,13,-0.980161803
8/5/2018,14,-0.6937100629999999
8/5/2018,15,-1.3853959569999998
8/5/2018,16,-0.19488354300000002
8/5/2018,17,-0.210484705
8/5/2018,18,-0.566251527
8/5/2018,19,-0.588296696
8/5/2018,20,-0.7407547520000001
8/5/2018,21,-0.978713652
8/5/2018,1,-0.25790394
8/5/2018,2,-0.42566143100000003
8/5/2018,3,-0.36961340299999995
8/5/2018,4,-0.034403922
8/5/2018,5,-0.322666776
8/5/2018,6,-0.28360403
8/5/2018,7,-0.249757384
8/5/2018,8,-0.273196441
8/5/2018,9,-0.332786509
8/5/2018,10,-0.45156923600000004
8/5/2018,11,-1.286365945
