Ward_No,date,mean
96,7/12/2018,-1.093082428
88,7/12/2018,-1.561792015
44,7/12/2018,-1.594499993
85,7/12/2018,-1.601771593
89,7/12/2018,-1.323915203
67,7/12/2018,-1.440729592
76,7/12/2018,-1.601771593
74,7/12/2018,-1.601771593
87,7/12/2018,-1.492913542
132,7/12/2018,-1.62268367
69,7/12/2018,-1.601771593
22,7/12/2018,-1.501275832
119,7/12/2018,-1.585399903
54,7/12/2018,-1.601771593
122,7/12/2018,-1.093348368
29,7/12/2018,-1.367071193
109,7/12/2018,-1.037930936
32,7/12/2018,-1.363840681
57,7/12/2018,-1.359391313
136,7/12/2018,-1.674457198
106,7/12/2018,-1.062127561
4,7/12/2018,-1.667265534
52,7/12/2018,-1.601771593
38,7/12/2018,-1.582577688
81,7/12/2018,-1.582573734
127,7/12/2018,-1.521586628
53,7/12/2018,-1.601771593
34,7/12/2018,-1.349581838
135,7/12/2018,-1.675535559
117,7/12/2018,-1.329586621
105,7/12/2018,-1.093082428
20,7/12/2018,-1.496024157
102,7/12/2018,-1.093082428
46,7/12/2018,-1.601771593
73,7/12/2018,-1.601771593
82,7/12/2018,-1.600119329
124,7/12/2018,-1.183173068
56,7/12/2018,-1.515571624
3,7/12/2018,-1.665703942
36,7/12/2018,-1.476090246
41,7/12/2018,-1.561588846
37,7/12/2018,-1.597122488
139,7/12/2018,-1.661465908
23,7/12/2018,-1.510261381
40,7/12/2018,-1.596895666
121,7/12/2018,-1.156835707
33,7/12/2018,-1.349581838
103,7/12/2018,-1.093082428
13,7/12/2018,-1.658068823
66,7/12/2018,-1.486763726
123,7/12/2018,-1.124538071
63,7/12/2018,-1.601771593
21,7/12/2018,-1.496030717
49,7/12/2018,-1.601771593
70,7/12/2018,-1.601771593
45,7/12/2018,-1.574148924
100,7/12/2018,-1.093082428
92,7/12/2018,-1.097897279
9,7/12/2018,-1.516951139
114,7/12/2018,-1.093082428
101,7/12/2018,-1.093082428
138,7/12/2018,-1.015070738
31,7/12/2018,-1.349581838
104,7/12/2018,-1.090662191
5,7/12/2018,-1.664580929
126,7/12/2018,-1.24411522
14,7/12/2018,-1.422312835
111,7/12/2018,-1.09271631
130,7/12/2018,-1.651066249
19,7/12/2018,-1.496020555
78,7/12/2018,-1.601771593
27,7/12/2018,-1.530147358
98,7/12/2018,-1.093082428
6,7/12/2018,-1.665299636
2,7/12/2018,-1.667265534
59,7/12/2018,-1.564480804
131,7/12/2018,-1.749152955
42,7/12/2018,-1.569353805
129,7/12/2018,-1.800204447
51,7/12/2018,-1.601771593
120,7/12/2018,-1.502976369
8,7/12/2018,-1.589426585
1,7/12/2018,-1.667265534
80,7/12/2018,-1.668702743
55,7/12/2018,-1.572507289
64,7/12/2018,-1.601771593
107,7/12/2018,-1.083973191
77,7/12/2018,-1.601771593
28,7/12/2018,-1.37666792
112,7/12/2018,-1.093082428
133,7/12/2018,-1.837539154
65,7/12/2018,-1.601771593
24,7/12/2018,-1.496045382
128,7/12/2018,-1.596626376
50,7/12/2018,-1.601771593
113,7/12/2018,-1.093082428
94,7/12/2018,-1.093082428
79,7/12/2018,-1.601771593
11,7/12/2018,-1.622656944
15,7/12/2018,-1.494325712
140,7/12/2018,-1.073309424
97,7/12/2018,-1.094624474
48,7/12/2018,-1.601771593
35,7/12/2018,-1.382023296
116,7/12/2018,-1.196291961
95,7/12/2018,-1.093082428
30,7/12/2018,-1.350625025
58,7/12/2018,-1.26816934
93,7/13/2018,-1.045534956
61,7/13/2018,-0.868154654
86,7/13/2018,-1.06573821
90,7/13/2018,-1.090387453
26,7/13/2018,-1.285222389
72,7/13/2018,-0.877448033
134,7/13/2018,-0.447301122
99,7/13/2018,-0.921303108
125,7/13/2018,-0.708003994
118,7/13/2018,-0.64151848
83,7/13/2018,-0.980072821
43,7/13/2018,-1.214559149
47,7/13/2018,-1.176270843
