Ward_No,date,mean
93,8/12/2018,-1.289221523
61,8/12/2018,-1.74213943
86,8/12/2018,-1.644761426
90,8/12/2018,-1.431803191
26,8/12/2018,-1.379088745
72,8/12/2018,-1.672577024
134,8/12/2018,-1.13278687
99,8/12/2018,-1.282106891
125,8/12/2018,-1.176308181
118,8/12/2018,-1.17352782
83,8/12/2018,-1.672577024
43,8/12/2018,-1.764032227
47,8/12/2018,-1.72643964
115,8/12/2018,-1.172009426
68,8/12/2018,-1.663347794
39,8/12/2018,-1.905679588
12,8/12/2018,-1.330331683
108,8/12/2018,-1.77797933
110,8/12/2018,-1.49892094
141,8/12/2018,-1.821378792
17,8/12/2018,-1.343564582
7,8/12/2018,-1.330331683
16,8/12/2018,-1.471958449
137,8/12/2018,-1.164140386
84,8/12/2018,-1.672570769
18,8/12/2018,-1.362063744
25,8/12/2018,-1.492056413
60,8/12/2018,-1.846473338
10,8/12/2018,-1.330331683
62,8/12/2018,-1.745298316
71,8/12/2018,-1.672577024
91,8/12/2018,-1.674918842
75,8/12/2018,-1.670755627
96,8/12/2018,-1.282396958
88,8/12/2018,-1.576543849
44,8/12/2018,-1.775687856
85,8/12/2018,-1.669462333
89,8/12/2018,-1.367599305
67,8/12/2018,-1.843453794
76,8/12/2018,-1.391998516
74,8/12/2018,-1.582759519
87,8/12/2018,-1.514338515
132,8/12/2018,-1.13278687
69,8/12/2018,-1.683874167
22,8/12/2018,-1.715677442
119,8/12/2018,-1.156613703
54,8/12/2018,-1.896636689
122,8/12/2018,-1.034742183
29,8/12/2018,-1.933039442
109,8/12/2018,-1.683608701
32,8/12/2018,-1.85275014
57,8/12/2018,-1.803194979
136,8/12/2018,-1.179589768
106,8/12/2018,-1.68808043
4,8/12/2018,-1.326621887
52,8/12/2018,-1.674627607
38,8/12/2018,-1.920469387
81,8/12/2018,-1.452122821
127,8/12/2018,-1.684261934
53,8/12/2018,-1.819506441
34,8/12/2018,-1.933308721
135,8/12/2018,-1.13278687
117,8/12/2018,-1.346484519
105,8/12/2018,-1.566640089
20,8/12/2018,-1.380833375
102,8/12/2018,-1.338712569
46,8/12/2018,-1.68749156
73,8/12/2018,-1.672577024
82,8/12/2018,-1.645704273
124,8/12/2018,-1.015590549
56,8/12/2018,-1.933308721
3,8/12/2018,-1.229453053
36,8/12/2018,-1.933308721
41,8/12/2018,-1.713197857
37,8/12/2018,-1.929828715
139,8/12/2018,-1.530024757
23,8/12/2018,-1.556544376
40,8/12/2018,-1.92860052
121,8/12/2018,-1.052148523
33,8/12/2018,-1.847281061
103,8/12/2018,-1.569137659
13,8/12/2018,-1.346335467
66,8/12/2018,-1.931489587
123,8/12/2018,-1.015590549
63,8/12/2018,-1.672371368
21,8/12/2018,-1.579894497
49,8/12/2018,-1.933308721
70,8/12/2018,-1.672577024
45,8/12/2018,-1.729143001
100,8/12/2018,-1.281931162
92,8/12/2018,-1.377651874
9,8/12/2018,-1.335348557
114,8/12/2018,-1.200460783
101,8/12/2018,-1.421608452
138,8/12/2018,-1.58982906
31,8/12/2018,-1.91179863
104,8/12/2018,-1.543706453
5,8/12/2018,-1.327372048
126,8/12/2018,-1.360127771
14,8/12/2018,-1.690791846
111,8/12/2018,-1.288426585
