Ward_No,date,mean
,11/26/2019,-1.103989638
150,11/26/2019,-1.152328037
176,11/26/2019,-1.151788615
129,11/26/2019,-1.095972294
173,11/26/2019,-1.142061937
140,11/26/2019,-1.139817455
206,11/26/2019,-1.079649772
145,11/26/2019,-1.098137202
179,11/26/2019,-1.14731538
3,11/26/2019,-1.095292574
28,11/26/2019,-1.071557284
156,11/26/2019,-1.099529476
7,11/26/2019,-1.135973916
255,11/26/2019,-1.017086267
29,11/26/2019,-1.072722529
108,11/26/2019,-1.080758844
215,11/26/2019,-1.132965302
1,11/26/2019,-1.057049027
126,11/26/2019,-0.980373204
21,11/26/2019,-1.094038824
263,11/26/2019,-0.941242791
2,11/26/2019,-1.095015707
19,11/26/2019,-1.123796473
133,11/26/2019,-1.160991556
216,11/26/2019,-1.132957993
231,11/26/2019,-1.097743988
122,11/26/2019,-0.928583785
201,11/26/2019,-1.115720302
8,11/26/2019,-1.057784716
238,11/26/2019,-1.004739679
196,11/26/2019,-0.961321118
181,11/26/2019,-1.139808084
104,11/26/2019,-1.153386354
136,11/26/2019,-1.087382437
252,11/26/2019,-1.017050078
30,11/26/2019,-0.959289653
166,11/26/2019,-1.106512119
152,11/26/2019,-1.14047807
32,11/26/2019,-0.918414035
34,11/26/2019,-1.018096212
62,11/26/2019,-1.13957647
22,11/26/2019,-1.09702823
199,11/26/2019,-1.106033838
232,11/26/2019,-1.096910648
27,11/26/2019,-1.070030601
141,11/26/2019,-1.138395941
128,11/26/2019,-1.025183433
13,11/26/2019,-1.107893085
262,11/26/2019,-0.976404651
261,11/26/2019,-0.994591806
135,11/26/2019,-1.019668014
183,11/26/2019,-1.047255053
170,11/26/2019,-1.117384865
52,11/26/2019,-1.117867759
131,11/26/2019,-1.091944069
237,11/26/2019,-1.077116902
67,11/26/2019,-1.124846471
175,11/26/2019,-1.113092549
260,11/26/2019,-1.001021015
203,11/26/2019,-1.149075031
210,11/26/2019,-1.133895367
153,11/26/2019,-1.152125289
92,11/26/2019,-1.167714715
164,11/26/2019,-1.083793448
162,11/26/2019,-1.087198119
143,11/26/2019,-1.150186988
169,11/26/2019,-1.115815159
18,11/26/2019,-1.129288598
9,11/26/2019,-1.169677452
218,11/26/2019,-1.11273763
204,11/26/2019,-1.149075031
138,11/26/2019,-0.903408285
88,11/26/2019,-1.17262495
142,11/26/2019,-1.087710142
247,11/26/2019,-1.013646107
87,11/26/2019,-1.173576474
59,11/26/2019,-1.153380776
223,11/26/2019,-1.11419897
120,11/26/2019,-1.093258422
10,11/26/2019,-1.161583627
61,11/26/2019,-1.125134366
250,11/26/2019,-1.05022764
235,11/26/2019,-1.097700656
86,11/26/2019,-1.173576474
253,11/26/2019,-1.017086267
23,11/26/2019,-1.082877965
174,11/26/2019,-1.103993814
233,11/26/2019,-1.082001058
245,11/26/2019,-0.949981234
111,11/26/2019,-1.13473841
85,11/26/2019,-1.173576474
151,11/26/2019,-1.140472375
100,11/26/2019,-1.140643244
91,11/26/2019,-1.16522027
214,11/26/2019,-1.131478738
172,11/26/2019,-1.137848398
144,11/26/2019,-1.15701137
130,11/26/2019,-1.089424645
47,11/26/2019,-1.010483815
202,11/26/2019,-1.1408116
81,11/26/2019,-1.173343817
72,11/26/2019,-1.148327583
99,11/26/2019,-1.146670695
6,11/26/2019,-1.075304853
268,11/26/2019,-1.017086267
168,11/26/2019,-1.174844168
243,11/26/2019,-0.941236794
154,11/26/2019,-1.125954299
89,11/26/2019,-1.173053565
220,11/26/2019,-1.13577795
42,11/26/2019,-0.967959086
33,11/26/2019,-1.073577962
198,11/26/2019,-1.134245993
137,11/26/2019,-0.891691527
146,11/26/2019,-1.087710958
66,11/26/2019,-1.124983977
64,11/26/2019,-1.137236155
191,11/26/2019,-1.049141961
265,11/26/2019,-1.023602979
171,11/26/2019,-1.146697525
123,11/26/2019,-1.002918768
160,11/26/2019,-0.962483996
225,11/26/2019,-0.994779226
159,11/26/2019,-1.05136686
246,11/26/2019,-0.943703648
68,11/26/2019,-1.124842644
254,11/26/2019,-1.017086267
76,11/26/2019,-1.172350099
195,11/26/2019,-0.974628425
264,11/26/2019,-0.941943307
79,11/26/2019,-1.173576474
213,11/26/2019,-1.132966042
69,11/26/2019,-1.144080989
258,11/26/2019,-0.992369819
97,11/26/2019,-1.144207933
75,11/26/2019,-1.153331807
221,11/26/2019,-1.100044325
222,11/26/2019,-1.097743988
148,11/26/2019,-0.983848178
119,11/26/2019,-1.023618127
90,11/26/2019,-1.17092148
110,11/26/2019,-1.108709655
267,11/26/2019,-1.017086267
25,11/26/2019,-1.07913405
228,11/26/2019,-1.07025233
184,11/26/2019,-1.078742017
167,11/26/2019,-1.110139137
101,11/26/2019,-1.142577179
51,11/26/2019,-1.128689459
71,11/26/2019,-1.127455342
272,11/26/2019,-1.032645858
114,11/26/2019,-1.099952457
211,11/26/2019,-1.135715512
197,11/26/2019,-1.110106699
270,11/26/2019,-1.017086267
127,11/26/2019,-0.980373204
24,11/26/2019,-1.075498904
124,11/26/2019,-1.076425244
217,11/26/2019,-1.124027637
239,11/26/2019,-0.980330613
205,11/26/2019,-1.097882727
93,11/26/2019,-1.162797416
189,11/26/2019,-0.990794151
12,11/26/2019,-1.167339873
234,11/26/2019,-1.097777263
230,11/26/2019,-1.097743988
259,11/26/2019,-1.020970862
82,11/26/2019,-1.173576474
155,11/26/2019,-1.064519379
125,11/26/2019,-0.979557076
43,11/26/2019,-0.958407708
251,11/26/2019,-1.033686247
65,11/26/2019,-1.124842644
224,11/26/2019,-1.124437958
36,11/26/2019,-0.914343242
103,11/26/2019,-1.153121756
49,11/26/2019,-1.105712483
45,11/26/2019,-1.141252945
178,11/26/2019,-1.148561501
208,11/26/2019,-1.089715638
84,11/26/2019,-1.173576474
165,11/26/2019,-1.177619068
256,11/26/2019,-1.015808234
4,11/26/2019,-1.059337019
83,11/26/2019,-1.173576474
80,11/26/2019,-1.171549142
139,11/26/2019,-0.937567766
200,11/26/2019,-1.016574081
227,11/26/2019,-1.026098212
77,11/26/2019,-1.17094172
269,11/26/2019,-1.017086267
63,11/26/2019,-1.150391367
113,11/26/2019,-1.088659314
78,11/26/2019,-1.170026567
161,11/26/2019,-1.09253069
NDMC_1,11/26/2019,-1.152406425
NDMC_2,11/26/2019,-1.172083561
NDMC_3,11/26/2019,-1.132908166
NDMC_4,11/26/2019,-1.146338159
NDMC_5,11/26/2019,-1.111969551
NDMC_6,11/26/2019,-1.102191571
NDMC_7,11/26/2019,-1.081110339
NDMC_8,11/26/2019,-1.078313231
NDMC_9,11/26/2019,-1.080677921
236,11/26/2019,-1.083550467
132,11/26/2019,-1.094052762
177,11/26/2019,-1.168129009
73,11/26/2019,-1.127593036
193,11/26/2019,-1.008055129
112,11/26/2019,-1.128021061
244,11/26/2019,-0.941236794
106,11/26/2019,-1.104712437
107,11/26/2019,-1.088015104
14,11/26/2019,-1.124177259
182,11/26/2019,-1.129148818
249,11/26/2019,-1.031191127
240,11/26/2019,-0.958059493
241,11/26/2019,-0.946851864
16,11/26/2019,-1.123812199
157,11/26/2019,-1.123665639
229,11/26/2019,-1.097581845
242,11/26/2019,-0.942720133
54,11/26/2019,-1.125780891
102,11/26/2019,-1.14589674
149,11/26/2019,-1.167703559
105,11/26/2019,-1.138578733
50,11/26/2019,-1.094735494
17,11/26/2019,-1.122949073
116,11/26/2019,-1.075480545
226,11/26/2019,-1.062865888
248,11/26/2019,-1.052575792
190,11/26/2019,-0.96745714
194,11/26/2019,-0.962693032
117,11/26/2019,-1.099068176
207,11/26/2019,-1.115897667
147,11/26/2019,-1.071909788
11,11/26/2019,-1.155687062
212,11/26/2019,-1.135518515
53,11/26/2019,-1.135113985
60,11/26/2019,-1.140673561
257,11/26/2019,-1.01702485
39,11/26/2019,-0.993452276
