date,mean,Ward_No
8/14/2018,-0.782725918,22
8/14/2018,-0.831310752,23
8/14/2018,-0.767189801,24
8/14/2018,-0.767189801,25
8/14/2018,-0.767189801,26
8/14/2018,-0.916064477,27
8/14/2018,-0.803757042,28
8/14/2018,-0.76618687,29
8/14/2018,-0.767189801,30
8/14/2018,-0.768627667,31
8/14/2018,-0.825548304,32
8/14/2018,-0.840883427,33
8/14/2018,-0.851551364,34
8/14/2018,-0.857015848,35
8/14/2018,-0.767189801,36
8/14/2018,-0.857015848,37
8/14/2018,-0.795128251,38
8/14/2018,-0.773177131,39
8/14/2018,-0.774098838,40
8/14/2018,-0.856791988,41
8/14/2018,-0.856749276,42
8/14/2018,-0.361034828,43
8/14/2018,-0.6631719,44
8/14/2018,-0.744553058,45
8/14/2018,-0.41730598,46
8/14/2018,-0.405771047,47
8/14/2018,-0.405771047,48
8/15/2018,-1.438156937,49
8/15/2018,-1.452137544,50
8/15/2018,-1.165095282,51
8/15/2018,-1.055774342,52
8/15/2018,-1.122338862,53
8/15/2018,-1.107718168,54
8/15/2018,-0.724143465,55
8/15/2018,-1.093144821,56
8/15/2018,-0.519324945,57
8/15/2018,-0.541898074,58
8/15/2018,-0.590546227,59
8/15/2018,-0.931277858,60
8/15/2018,-1.703694838,61
8/15/2018,-1.915547759,62
8/15/2018,-0.789756099,63
8/15/2018,-1.1328606,64
8/15/2018,-1.366906471,65
8/15/2018,-1.057370853,66
8/15/2018,-1.095097381,67
8/15/2018,-1.935101151,1
8/15/2018,-1.033803466,2
8/15/2018,-1.05089943,3
8/15/2018,-0.513749046,4
8/15/2018,-1.934856008,5
8/15/2018,-1.735340847,6
8/15/2018,-1.872366001,7
8/15/2018,-0.702749058,8
8/15/2018,-1.78906382,9
8/15/2018,-1.708489757,10
8/15/2018,-1.261326724,11
8/15/2018,-1.596787118,12
8/15/2018,-1.663741391,13
8/15/2018,-1.052668185,14
8/15/2018,-1.750257077,15
8/15/2018,-0.513713896,16
8/15/2018,-0.513713896,17
8/15/2018,-0.513713896,18
8/15/2018,-0.513713896,19
8/15/2018,-0.516446448,20
8/15/2018,-0.513713896,21
8/15/2018,-0.550406773,22
8/15/2018,-0.825751882,23
8/15/2018,-0.526148205,24
8/15/2018,-0.992044416,25
8/15/2018,-0.643922975,26
8/15/2018,-1.051932812,27
8/15/2018,-1.051932812,28
8/15/2018,-0.620868534,29
8/15/2018,-0.546683677,30
8/15/2018,-0.528340839,31
8/15/2018,-0.513789421,32
8/15/2018,-0.513994241,33
8/15/2018,-0.513713896,34
8/15/2018,-0.517314681,35
8/15/2018,-1.668433266,36
8/15/2018,-0.514714527,37
8/15/2018,-0.513713896,38
8/15/2018,-0.887157721,39
8/15/2018,-1.051815256,40
8/15/2018,-0.978244274,41
8/15/2018,-0.553346646,42
8/15/2018,-1.824368094,43
8/15/2018,-1.863630915,44
8/15/2018,-1.470161754,45
8/15/2018,-1.92173512,46
8/15/2018,-1.528468994,47
8/15/2018,-1.628308007,48
8/16/2018,-1.322184498,49
8/16/2018,-1.433899445,50
8/16/2018,-1.265959988,51
8/16/2018,-1.127847876,52
8/16/2018,-1.134522878,53
8/16/2018,-1.044437439,54
8/16/2018,-1.451776364,55
8/16/2018,-1.138579866,56
8/16/2018,-1.550943189,57
8/16/2018,-1.559155164,58
8/16/2018,-1.596906783,59
8/16/2018,-1.640817521,60
8/16/2018,-1.365932004,61
8/16/2018,-1.368404917,62
8/16/2018,-1.046292832,63
8/16/2018,-1.009303587,64
8/16/2018,-1.102003637,65
8/16/2018,-1.132753178,66
8/16/2018,-1.118617604,67
8/16/2018,-1.382218253,1
8/16/2018,-1.122447699,2
8/16/2018,-0.994340659,3
8/16/2018,-1.548071045,4
8/16/2018,-1.375195243,5
8/16/2018,-1.366834331,6
8/16/2018,-1.367155839,7
8/16/2018,-1.182443631,8
8/16/2018,-1.372876293,9
8/16/2018,-1.406458903,10
8/16/2018,-1.489537959,11
8/16/2018,-1.260687346,12
8/16/2018,-1.315284643,13
8/16/2018,-1.139112626,14
8/16/2018,-1.332218845,15
8/16/2018,-1.554470232,16
8/16/2018,-1.554602265,17
8/16/2018,-1.545044312,18
