date,mean,Ward_No
11/26/2019,-0.988308655,49
11/26/2019,-0.988126732,50
11/26/2019,-0.994211345,51
11/26/2019,-0.998049974,52
11/26/2019,-0.992858447,53
11/26/2019,-0.995124794,54
11/26/2019,-0.991749947,55
11/26/2019,-0.984160994,56
11/26/2019,-0.998049974,57
11/26/2019,-1.00068124,58
11/26/2019,-1.002503974,59
11/26/2019,-0.962927464,60
11/26/2019,-0.987582673,61
11/26/2019,-0.984000739,62
11/26/2019,-0.99178218,63
11/26/2019,-0.992156531,64
11/26/2019,-0.984224842,65
11/26/2019,-0.996412488,66
11/26/2019,-0.995605785,67
11/26/2019,-0.985986813,1
11/26/2019,-0.98909051,2
11/26/2019,-0.998049974,3
11/26/2019,-0.998049974,4
11/26/2019,-0.958121751,5
11/26/2019,-0.964063684,6
11/26/2019,-0.987782717,7
11/26/2019,-0.988017268,8
11/26/2019,-0.987782717,9
11/26/2019,-0.98762632,10
11/26/2019,-0.987245479,11
11/26/2019,-0.987782717,12
11/26/2019,-0.987782717,13
11/26/2019,-0.993808582,14
11/26/2019,-0.987782717,15
11/26/2019,-0.988771962,16
11/26/2019,-0.993871791,17
11/26/2019,-0.989653776,18
11/26/2019,-0.995627939,19
11/26/2019,-0.998049974,20
11/26/2019,-0.989713092,21
11/26/2019,-0.996920087,22
11/26/2019,-0.998049974,23
11/26/2019,-0.990701426,24
11/26/2019,-0.991845259,25
11/26/2019,-0.99680231,26
11/26/2019,-0.998049974,27
11/26/2019,-0.998049974,28
11/26/2019,-0.967444532,29
11/26/2019,-0.984198056,30
11/26/2019,-0.997895611,31
11/26/2019,-0.998049974,32
11/26/2019,-0.998365245,33
11/26/2019,-0.998049974,34
11/26/2019,-0.996825575,35
11/26/2019,-0.987782717,36
11/26/2019,-0.998049974,37
11/26/2019,-0.998049974,38
11/26/2019,-0.998049974,39
11/26/2019,-0.996977165,40
11/26/2019,-0.997436577,41
11/26/2019,-0.998049974,42
11/26/2019,-0.94560883,43
11/26/2019,-0.958102852,44
11/26/2019,-0.976053217,45
11/26/2019,-0.959485236,46
11/26/2019,-0.956123173,47
11/26/2019,-0.957027601,48
11/27/2019,-0.819998818,49
11/27/2019,-0.812444105,50
11/27/2019,-0.870757845,51
11/27/2019,-0.907191386,52
11/27/2019,-0.958068356,53
11/27/2019,-0.934352724,54
11/27/2019,-0.97605896,55
11/27/2019,-1.020397895,56
11/27/2019,-0.922568389,57
11/27/2019,-0.917189277,58
11/27/2019,-0.948222469,59
11/27/2019,-0.94422093,60
11/27/2019,-0.830433998,61
11/27/2019,-0.838883896,62
11/27/2019,-0.971172923,63
11/27/2019,-0.981768473,64
11/27/2019,-1.046393043,65
11/27/2019,-0.907596891,66
11/27/2019,-0.937015175,67
11/27/2019,-0.839052677,1
11/27/2019,-0.834032356,2
11/27/2019,-0.907486994,3
11/27/2019,-0.911708967,4
11/27/2019,-0.917288143,5
11/27/2019,-0.87095806,6
11/27/2019,-0.839052677,7
11/27/2019,-0.846695024,8
11/27/2019,-0.839052677,9
11/27/2019,-0.839052677,10
11/27/2019,-0.839052677,11
