date,mean,Ward_No
7/11/2018,-1.170512797,49
7/11/2018,-1.160022316,50
7/11/2018,-1.188916653,51
7/11/2018,-1.180832389,52
7/11/2018,-1.157590959,53
7/11/2018,-1.147515295,54
7/11/2018,-1.128245021,55
7/11/2018,-1.14547956,56
7/11/2018,-1.066934146,57
7/11/2018,-1.013607314,58
7/11/2018,-1.033682835,59
7/11/2018,-1.091748258,60
7/11/2018,-1.07820008,61
7/11/2018,-1.100803699,62
7/11/2018,-1.14547445,63
7/11/2018,-1.14547956,64
7/11/2018,-1.14547956,65
7/11/2018,-1.159615062,66
7/11/2018,-1.152406764,67
7/11/2018,-1.102653091,1
7/11/2018,-1.174705625,2
7/11/2018,-1.174698135,3
7/11/2018,-1.12969867,4
7/11/2018,-1.005533107,5
7/11/2018,-1.000539212,6
7/11/2018,-1.170730899,7
7/11/2018,-1.174705625,8
7/11/2018,-1.1400699,9
7/11/2018,-1.092883833,10
7/11/2018,-1.109149688,11
7/11/2018,-1.174705625,12
7/11/2018,-1.174705625,13
7/11/2018,-1.174705625,14
7/11/2018,-1.174691019,15
7/11/2018,-1.092730921,16
7/11/2018,-1.091638367,17
7/11/2018,-1.133461047,18
7/11/2018,-1.135634507,19
7/11/2018,-1.154986599,20
7/11/2018,-1.16431572,21
7/11/2018,-1.172421458,22
7/11/2018,-1.169852952,23
7/11/2018,-1.174705625,24
7/11/2018,-1.174705625,25
7/11/2018,-1.174705625,26
7/11/2018,-1.173178423,27
7/11/2018,-1.172312284,28
7/11/2018,-1.092498541,29
7/11/2018,-1.090143826,30
7/11/2018,-1.066769999,31
7/11/2018,-1.074965846,32
7/11/2018,-1.019916057,33
7/11/2018,-1.097755836,34
7/11/2018,-1.14547956,35
7/11/2018,-1.174705625,36
7/11/2018,-1.142977957,37
7/11/2018,-1.101937545,38
7/11/2018,-1.174673411,39
7/11/2018,-1.174703993,40
7/11/2018,-1.147715955,41
7/11/2018,-1.145990422,42
7/11/2018,-1.080742875,43
7/11/2018,-1.091434481,44
7/11/2018,-1.092303019,45
7/11/2018,-1.029871225,46
7/11/2018,-1.015691817,47
7/11/2018,-1.002356047,48
7/12/2018,-1.454712341,49
7/12/2018,-1.291844249,50
7/12/2018,-1.296017425,51
7/12/2018,-1.428088432,52
7/12/2018,-1.487447977,53
7/12/2018,-1.497497165,54
7/12/2018,-1.623441115,55
7/12/2018,-1.611597827,56
7/12/2018,-1.6234442,57
7/12/2018,-1.6234442,58
7/12/2018,-1.623653566,59
7/12/2018,-1.650848401,60
7/12/2018,-1.638838053,61
7/12/2018,-1.638838053,62
7/12/2018,-1.6234442,63
7/12/2018,-1.596027812,64
7/12/2018,-1.521080483,65
7/12/2018,-1.487447977,66
7/12/2018,-1.487738179,67
7/12/2018,-1.638838053,1
7/12/2018,-1.638834964,2
7/12/2018,-1.529339411,3
7/12/2018,-1.6234442,4
7/12/2018,-1.627638554,5
7/12/2018,-1.638471971,6
7/12/2018,-1.638838053,7
7/12/2018,-1.638825661,8
7/12/2018,-1.638838053,9
7/12/2018,-1.638703408,10
7/12/2018,-1.63845262,11
7/12/2018,-1.638838053,12
7/12/2018,-1.638838053,13
7/12/2018,-1.297855869,14
7/12/2018,-1.638838053,15
7/12/2018,-1.627705913,16
7/12/2018,-1.62345809,17
7/12/2018,-1.631569997,18
7/12/2018,-1.624517893,19
7/12/2018,-1.6234442,20
7/12/2018,-1.635370875,21
7/12/2018,-1.624529848,22
7/12/2018,-1.618904625,23
7/12/2018,-1.636992914,24
7/12/2018,-1.633302387,25
7/12/2018,-1.625183711,26
7/12/2018,-1.481922804,27
7/12/2018,-1.443036903,28
7/12/2018,-1.625160103,29
7/12/2018,-1.624619772,30
7/12/2018,-1.6234442,31
7/12/2018,-1.6234442,32
7/12/2018,-1.6234442,33
7/12/2018,-1.6234442,34
7/12/2018,-1.6234442,35
7/12/2018,-1.638838053,36
7/12/2018,-1.6234442,37
7/12/2018,-1.6234442,38
7/12/2018,-1.616247609,39
7/12/2018,-1.594643205,40
7/12/2018,-1.585869472,41
7/12/2018,-1.6234442,42
7/12/2018,-1.781518564,43
7/12/2018,-1.701842983,44
7/12/2018,-1.636554682,45
7/12/2018,-1.63522796,46
7/12/2018,-1.587225115,47
7/12/2018,-1.594023886,48
7/13/2018,-0.088948384,49
7/13/2018,-0.091973661,50
7/13/2018,0.002894802,51
7/13/2018,0.029839467,52
7/13/2018,-0.104430033,53
7/13/2018,-0.07343433,54
7/13/2018,-0.366125814,55
7/13/2018,-0.757027778,56
7/13/2018,-0.249763697,57
7/13/2018,-0.249763697,58
7/13/2018,-0.249763697,59
7/13/2018,0.018618071,60
7/13/2018,-0.127391374,61
7/13/2018,0.015357743,62
7/13/2018,-0.308355763,63
7/13/2018,-0.217398715,64
7/13/2018,-0.833298634,65
7/13/2018,-0.002948705,66
7/13/2018,-0.039507318,67
7/13/2018,0.292630358,1
7/13/2018,-0.016809487,2
7/13/2018,0.029839467,3
7/13/2018,-0.249763697,4
7/13/2018,0.137577006,5
7/13/2018,-0.106269585,6
7/13/2018,-0.087962375,7
7/13/2018,-0.035511769,8
7/13/2018,0.240417528,9
7/13/2018,0.289497111,10
7/13/2018,0.096954254,11
7/13/2018,-0.076011485,12
7/13/2018,-0.1267583,13
7/13/2018,0.029839467,14
7/13/2018,-0.058515121,15
7/13/2018,-0.180205661,16
7/13/2018,-0.249763697,17
7/13/2018,-0.154379667,18
7/13/2018,-0.249763697,19
7/13/2018,-0.210173729,20
7/13/2018,-0.11528399,21
7/13/2018,-0.136121683,22
7/13/2018,0.024369041,23
7/13/2018,-0.060205129,24
7/13/2018,0.029839467,25
7/13/2018,-0.028606672,26
7/13/2018,0.029839467,27
7/13/2018,0.029839467,28
7/13/2018,-0.17885113,29
7/13/2018,-0.207858997,30
7/13/2018,-0.249763697,31
7/13/2018,-0.249490766,32
