date,mean,Ward_No,month,year,week
2018-07-31,-0.2725126474937499,24.5,7,2018,31
2018-08-31,-0.03469440671604952,24.5,8,2018,35
2018-09-30,-0.37038729007183924,24.5,9,2018,39
2018-10-31,-0.30646922717782743,24.5,10,2018,44
2018-11-30,-0.3774777674633621,24.5,11,2018,48
2018-12-31,-0.5563826946264367,24.5,12,2018,1
2019-01-31,-0.5419502955309139,24.5,1,2019,5
2019-02-28,-0.419197315889137,24.5,2,2019,9
2019-03-31,-0.023347686618534508,24.5,3,2019,13
2019-04-30,-0.0384676514111111,24.5,4,2019,18
2019-05-31,0.19411724111021503,24.5,5,2019,22
2019-06-30,-0.4656167808814656,24.5,6,2019,26
2019-07-31,-0.5804214804870691,24.5,7,2019,31
2019-08-31,-0.8146818333944891,24.5,8,2019,35
2019-09-30,-1.0786812755222224,24.5,9,2019,40
2019-10-31,-0.9370215626465056,24.5,10,2019,44
2019-11-30,-0.9157239224313272,24.5,11,2019,48
2019-12-31,-1.029204453096774,24.5,12,2019,1
2020-01-31,-1.061141855131048,24.5,1,2020,5
2020-02-29,-0.9015133720115742,24.5,2,2020,9
2020-03-31,-0.4556469163850576,24.5,3,2020,14
2020-04-30,-0.17972289080138898,24.5,4,2020,18
2020-05-31,0.07164892946908599,24.5,5,2020,22
2020-06-30,-0.8664435981576388,24.5,6,2020,27
2020-07-31,-1.1014664670833332,24.5,7,2020,31
2020-08-31,-1.1155755265940859,24.5,8,2020,36
2020-09-30,-1.2500789043694447,24.5,9,2020,40
2020-10-31,-0.9984672041410259,24.5,10,2020,44
