date,Ward_No,mean,month,year,week
2018-07-31,99.5,-0.5260886736621213,7,2018,31
2018-08-31,99.5,-0.3520597509666308,8,2018,35
2018-09-30,99.5,-0.8962211617730642,9,2018,39
2018-10-31,99.5,-0.8383461520764546,10,2018,44
2018-11-30,99.5,-0.8943731467190873,11,2018,48
2018-12-31,99.5,-0.8835453676736327,12,2018,1
2019-01-31,99.5,-0.7576767018333331,1,2019,5
2019-02-28,99.5,-0.7791850918658011,2,2019,9
2019-03-31,99.5,-0.686137111889063,3,2019,13
2019-04-30,99.5,-0.9315347805961278,4,2019,18
2019-05-31,99.5,-0.9502586562319969,5,2019,22
2019-06-30,99.5,-0.8917910253627941,6,2019,26
2019-07-31,99.5,-1.2290688648955068,7,2019,31
2019-08-31,99.5,-0.9902693173141088,8,2019,35
2019-09-30,99.5,-1.1902381449956225,9,2019,40
2019-10-31,99.5,-1.199320957455034,10,2019,44
2019-11-30,99.5,-1.1248857227149271,11,2019,48
2019-12-31,99.5,-1.2056259410663086,12,2019,1
2020-01-31,99.5,-1.1538521468025416,1,2020,5
2020-02-29,99.5,-1.1093737152353158,2,2020,9
2020-03-31,99.5,-1.1322848968706025,3,2020,14
2020-04-30,99.5,-1.2699411422249158,4,2020,18
2020-05-31,99.5,-1.1032566756924078,5,2020,22
2020-06-30,99.5,-1.4457859834006732,6,2020,27
2020-07-31,99.67019774011298,-1.3190376510659803,7,2020,31
2020-08-31,99.5,-1.2070181482075597,8,2020,36
2020-09-30,99.5,-1.3964233416634673,9,2020,40
2020-10-31,99.5,-1.518255389879176,10,2020,44
