date,mean,month,year,week
2018-07-31,-0.6631485678618874,7,2018,31
2018-08-31,-0.44331522082899105,8,2018,35
2018-09-30,-0.5712615979018473,9,2018,39
2018-10-31,-0.0024902513855910935,10,2018,44
2018-11-30,-0.020089599320332902,11,2018,48
2018-12-31,-0.48204119659869205,12,2018,1
2019-01-31,-0.5567969620075862,1,2019,5
2019-02-28,-0.7916306205628355,2,2019,9
2019-03-31,-0.5882502521596907,3,2019,13
2019-04-30,-0.07274605484287343,4,2019,18
2019-05-31,0.15267551426818707,5,2019,22
2019-06-30,-0.12873608992033272,6,2019,26
2019-07-31,-0.2910164820602855,7,2019,31
2019-08-31,-1.154463498919911,8,2019,35
2019-09-30,-1.1940574524958623,9,2019,40
2019-10-31,-0.5860221572238042,10,2019,44
2019-11-30,-0.4316892547197955,11,2019,48
2019-12-31,-0.855821112443604,12,2019,1
2020-01-31,-1.1967529239696326,1,2020,5
2020-02-29,-1.1776903641816094,2,2020,9
2020-03-31,-0.9924385310185493,3,2020,14
2020-04-30,-0.7982331269293103,4,2020,18
2020-05-31,-0.38984375111601793,5,2020,22
2020-06-30,-0.6163056941071343,6,2020,27
2020-07-31,-1.2153838552357925,7,2020,31
2020-08-31,-1.31963008980356,8,2020,36
2020-09-30,-1.3105218670888508,9,2020,40
2020-10-31,-0.8523982819583555,10,2020,44
