date,Ward_No,mean,month,year,week
2018-07-31,39.0,-0.4475096056165415,7,2018,31
2018-08-31,39.0,-0.6310501231693124,8,2018,35
2018-09-30,39.00972590627763,-0.4893362162592466,9,2018,39
2018-10-31,39.0,-0.16876170379684594,10,2018,44
2018-11-30,39.0,-0.34435789040562775,11,2018,48
2018-12-31,39.0,-0.6134332007527991,12,2018,1
2019-01-31,39.0,-0.5660745469514035,1,2019,5
2019-02-28,39.0,-0.6999675107138048,2,2019,9
2019-03-31,39.0,-0.40756324541513644,3,2019,13
2019-04-30,39.0,0.02233974894935067,4,2019,18
2019-05-31,39.0,0.10309504840175956,5,2019,22
2019-06-30,39.0,-0.18266734999955214,6,2019,26
2019-07-31,39.0,-0.6142052947845948,7,2019,31
2019-08-31,39.0,-1.1133984672048596,8,2019,35
2019-09-30,39.0,-1.2518187368852811,9,2019,40
2019-10-31,39.0,-0.8456646380418936,10,2019,44
2019-11-30,39.0,-0.9136136575805677,11,2019,48
2019-12-31,39.0,-1.047329267370758,12,2019,1
2020-01-31,39.0,-1.048573563556347,1,2020,5
2020-02-29,39.0,-1.0738070090788845,2,2020,9
2020-03-31,39.0,-0.8486795055006716,3,2020,14
2020-04-30,39.0,-0.6212440473580086,4,2020,18
2020-05-31,39.0,-0.2880590243720152,5,2020,22
2020-06-30,39.0,-0.5898615973623378,6,2020,27
2020-07-31,39.0,-1.0938983151270874,7,2020,31
2020-08-31,39.0,-1.2866294814767487,8,2020,36
2020-09-30,39.0,-1.2637366931229437,9,2020,40
2020-10-31,39.0,-0.9059263489330667,10,2020,44
