date,Ward_No,mean,month,year,week
2018-07-31,71,-0.7072273024621129,7,2018,31
2018-08-31,71,-0.9491318350583138,8,2018,35
2018-09-30,71,-0.9084975184627052,9,2018,39
2018-10-31,71,-0.6652676652765958,10,2018,44
2018-11-30,71,-0.5515604730163854,11,2018,48
2018-12-31,71,-0.4963532499097578,12,2018,1
2019-01-31,71,-0.5449737044988994,1,2019,5
2019-02-28,71,-0.7870940271276596,2,2019,9
2019-03-31,71,-0.6688841674878945,3,2019,13
2019-04-30,71,-0.3951286407945707,4,2019,18
2019-05-31,71,-0.3076951564911919,5,2019,22
2019-06-30,71,-0.9131955167735225,6,2019,26
2019-07-31,71,-1.1322022750092193,7,2019,31
2019-08-31,71,-1.1148129421063828,8,2019,35
2019-09-30,71,-1.1374485792654851,9,2019,40
2019-10-31,71,-1.2339526213772591,10,2019,44
2019-11-30,71,-0.9796491785190435,11,2019,48
2019-12-31,71,-1.0809799942024707,12,2019,1
2020-01-31,71,-1.0301176872457105,1,2020,5
2020-02-29,71,-1.1637478558843424,2,2020,9
2020-03-31,71,-1.1251086598120572,3,2020,14
2020-04-30,71,-0.8440512540283686,4,2020,18
2020-05-31,71,-0.9772152131031799,5,2020,22
2020-06-30,71,-1.237502070028369,6,2020,27
2020-07-31,71,-1.3318816420943813,7,2020,31
2020-08-31,71,-1.2935408093290783,8,2020,36
2020-09-30,71,-1.5678874741442084,9,2020,40
2020-10-31,71,-1.4654348280289144,10,2020,44
