date,mean,Ward_No,month,year,week
2018-07-31,-0.703230864175962,34,7,2018,31
2018-08-31,-0.8968337958805971,34,8,2018,35
2018-09-30,-1.1372848805872362,34,9,2018,39
2018-10-31,-1.0327413847354607,34,10,2018,44
2018-11-30,-0.8222905872696861,34,11,2018,48
2018-12-31,-0.7499419496515698,34,12,2018,1
2019-01-31,-0.7820540920905815,34,1,2019,5
2019-02-28,-0.9377418563499168,34,2,2019,9
2019-03-31,-0.757100371669583,34,3,2019,13
2019-04-30,-0.5115790263592382,34,4,2019,18
2019-05-31,-0.5698879726003852,34,5,2019,22
2019-06-30,-0.9999439360566136,34,6,2019,26
2019-07-31,-1.1963863532223877,34,7,2019,31
2019-08-31,-1.1803467192951373,34,8,2019,35
2019-09-30,-1.3519190139333332,34,9,2019,40
2019-10-31,-1.4086789962311026,34,10,2019,44
2019-11-30,-1.1867897484223324,34,11,2019,48
2019-12-31,-1.2717925290096295,34,12,2019,1
2020-01-31,-1.2877225823933558,34,1,2020,5
2020-02-29,-1.3255504009219288,34,2,2020,9
2020-03-31,-1.3437059487124379,34,3,2020,14
2020-04-30,-0.9760713630820896,34,4,2020,18
2020-05-31,-1.020303399311988,34,5,2020,22
2020-06-30,-1.4243171315198144,34,6,2020,27
2020-07-31,-1.3706360616515498,34,7,2020,31
2020-08-31,-1.4902614770990052,34,8,2020,36
2020-09-30,-1.6584330486592043,34,9,2020,40
2020-10-31,-1.1084972759839267,34,10,2020,44
