Ward_No,date,mean
0,11/26/2019,-0.499631381
7,11/26/2019,-0.647847305
1,11/26/2019,-1.190912809
2,11/26/2019,-1.024809253
3,11/26/2019,-1.063072749
4,11/26/2019,-1.077565404
6,11/26/2019,-0.988085538
5,11/26/2019,-1.077573872
8,11/26/2019,-1.077573776
9,11/26/2019,-1.075556093
10,11/26/2019,-1.014351947
11,11/26/2019,-1.041654313
12,11/26/2019,-0.789795658
13,11/26/2019,-0.679189707
14,11/26/2019,-1.005787232
60,11/26/2019,-0.773049692
53,11/26/2019,-0.602333172
51,11/26/2019,-0.583349466
49,11/26/2019,-0.583349466
50,11/26/2019,-0.642848096
54,11/26/2019,-0.684444948
55,11/26/2019,-0.682957684
56,11/26/2019,-0.691826332
52,11/26/2019,-0.583349466
57,11/26/2019,-0.744847638
61,11/26/2019,-1.010517359
58,11/26/2019,-0.936218282
63,11/26/2019,-0.972166346
62,11/26/2019,-0.868831786
59,11/26/2019,-0.806223107
127,11/26/2019,-0.533300767
136,11/26/2019,-0.749633783
128,11/26/2019,-0.576571677
129,11/26/2019,-0.527348707
138,11/26/2019,-0.638901116
137,11/26/2019,-0.54232942
142,11/26/2019,-0.684497058
139,11/26/2019,-0.684497058
140,11/26/2019,-0.675627627
141,11/26/2019,-0.688398781
134,11/26/2019,-0.560484461
135,11/26/2019,-0.624068754
133,11/26/2019,-0.568459086
131,11/26/2019,-0.571916675
130,11/26/2019,-0.524913251
132,11/26/2019,-0.60544064
16,11/26/2019,-0.687741606
17,11/26/2019,-0.454151699
19,11/26/2019,-0.47838776
20,11/26/2019,-0.524761
21,11/26/2019,-0.537067968
18,11/26/2019,-0.537592133
15,11/26/2019,-0.785437667
37,11/26/2019,-0.578928599
34,11/26/2019,-0.503928705
35,11/26/2019,-0.503956422
44,11/26/2019,-0.499047331
45,11/26/2019,-0.523338038
36,11/26/2019,-0.504424914
46,11/26/2019,-0.565540701
47,11/26/2019,-0.583349466
48,11/26/2019,-0.583349466
42,11/26/2019,-0.583349466
43,11/26/2019,-0.591920353
39,11/26/2019,-0.624264413
40,11/26/2019,-0.585814405
41,11/26/2019,-0.583349466
38,11/26/2019,-0.58336295
109,11/26/2019,-0.631321864
112,11/26/2019,-0.604136649
110,11/26/2019,-0.9004223
111,11/26/2019,-1.010356251
114,11/26/2019,-0.81923842
116,11/26/2019,-0.852232431
115,11/26/2019,-0.970918044
113,11/26/2019,-0.967186627
117,11/26/2019,-0.928153426
122,11/26/2019,-0.983357432
126,11/26/2019,-0.998368613
124,11/26/2019,-0.998394174
125,11/26/2019,-0.937847802
123,11/26/2019,-0.99999246
118,11/26/2019,-1.006203535
120,11/26/2019,-0.904030422
121,11/26/2019,-0.951248978
119,11/26/2019,-0.994837234
70,11/26/2019,-0.504104272
64,11/26/2019,-0.531867736
65,11/26/2019,-0.548444283
67,11/26/2019,-0.50985622
68,11/26/2019,-0.49904725
66,11/26/2019,-0.50327501
77,11/26/2019,-0.725187344
73,11/26/2019,-0.647573582
71,11/26/2019,-0.561182737
69,11/26/2019,-0.512501958
72,11/26/2019,-0.590965073
74,11/26/2019,-0.76920111
75,11/26/2019,-0.707679748
78,11/26/2019,-0.861450622
76,11/26/2019,-0.708649287
150,11/26/2019,-1.095077858
153,11/26/2019,-0.610805363
149,11/26/2019,-0.618901072
152,11/26/2019,-0.596765145
155,11/26/2019,-0.523983902
154,11/26/2019,-0.511803795
151,11/26/2019,-0.585415167
146,11/26/2019,-0.618910697
143,11/26/2019,-0.624843882
145,11/26/2019,-0.599489201
144,11/26/2019,-0.618870946
148,11/26/2019,-0.616227964
147,11/26/2019,-0.618602885
192,11/26/2019,-0.934821295
193,11/26/2019,-0.952029132
194,11/26/2019,-0.736248753
195,11/26/2019,-0.67310736
196,11/26/2019,-0.672937082
197,11/26/2019,-0.654039406
198,11/26/2019,-0.611952236
199,11/26/2019,-0.504153527
200,11/26/2019,-0.6624538
26,11/26/2019,-0.517535609
22,11/26/2019,-0.594879506
23,11/26/2019,-0.579552502
32,11/26/2019,-0.558757942
24,11/26/2019,-0.624691249
25,11/26/2019,-0.607528134
29,11/26/2019,-0.541149796
28,11/26/2019,-0.493230502
27,11/26/2019,-0.466668852
30,11/26/2019,-0.471839313
33,11/26/2019,-0.499028585
31,11/26/2019,-0.492120882
79,11/26/2019,-0.823038405
80,11/26/2019,-0.826773428
83,11/26/2019,-0.580327643
81,11/26/2019,-0.83104039
82,11/26/2019,-0.778801673
85,11/26/2019,-0.865930451
84,11/26/2019,-0.726426836
93,11/26/2019,-0.601177776
90,11/26/2019,-0.535512273
91,11/26/2019,-0.736677741
92,11/26/2019,-0.69626001
88,11/26/2019,-0.577099178
87,11/26/2019,-0.699058366
89,11/26/2019,-0.652366352
86,11/26/2019,-0.845116848
160,11/26/2019,-0.607589028
161,11/26/2019,-0.541082698
165,11/26/2019,-0.503475001
159,11/26/2019,-0.446308563
156,11/26/2019,-0.448292385
158,11/26/2019,-0.478219411
167,11/26/2019,-0.498740645
166,11/26/2019,-0.491873159
164,11/26/2019,-0.484477473
162,11/26/2019,-0.481534347
163,11/26/2019,-0.527253714
157,11/26/2019,-0.46949519
186,11/26/2019,-1.012703701
187,11/26/2019,-0.501021266
169,11/26/2019,-0.59927029
168,11/26/2019,-0.500718494
190,11/26/2019,-0.614798943
188,11/26/2019,-0.563993902
191,11/26/2019,-0.626466691
183,11/26/2019,-0.962709988
185,11/26/2019,-0.969675848
184,11/26/2019,-1.012713313
189,11/26/2019,-0.804842792
103,11/26/2019,-1.004427247
102,11/26/2019,-0.732933873
108,11/26/2019,-0.524913251
106,11/26/2019,-0.554505373
101,11/26/2019,-0.562282053
94,11/26/2019,-0.550267935
100,11/26/2019,-0.535691807
99,11/26/2019,-0.535232557
95,11/26/2019,-0.550267935
96,11/26/2019,-0.522144763
97,11/26/2019,-0.578291562
105,11/26/2019,-0.524913251
104,11/26/2019,-1.010517359
107,11/26/2019,-0.979863509
98,11/26/2019,-0.812491881
179,11/26/2019,-0.994591764
182,11/26/2019,-0.938238301
181,11/26/2019,-0.954196198
176,11/26/2019,-0.992856053
173,11/26/2019,-0.999965022
170,11/26/2019,-0.663242032
171,11/26/2019,-0.704233323
175,11/26/2019,-0.984564475
180,11/26/2019,-0.959785239
172,11/26/2019,-0.862752546
